ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.174741,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,-9999,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.183527,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.176955,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.174741,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.169419,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,48.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.174246,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,-9999,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.183571,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.177791,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.175711,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.169673,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,63.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.182408,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,61.25,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,-9999,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,61.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.187558,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,61.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.182575,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,61.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.180811,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,61.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.174868,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,63.75,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.182408,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,61.25,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,-9999,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,61.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.187558,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,61.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.182575,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,61.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.180811,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,61.25,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.174868,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,63.75,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.182408,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,-9999,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.187558,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.182575,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.180811,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.174868,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,61.25,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.180811,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,61.25,2017
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,-9999,2017
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,61.25,2018
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.187558,2018
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,61.25,2019
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.182575,2019
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,61.25,2020
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.180811,2020
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,61.25,2021
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.174868,2021
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,58.75,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.179525,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,51.25,2017
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,-9999,2017
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,51.25,2018
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.183571,2018
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,51.25,2019
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.177791,2019
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,51.25,2020
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.175711,2020
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,51.25,2021
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.169673,2021
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,58.75,-9999
17,RECO_NT_CUT_REF,DD_USTAR_THRESHOLD,0.179525,-9999
