TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-1.591,0.0,131.575,73.777,0.0,250.257,0.0,2.035,0.0,98.162,0.0,0.894,0.0,2.836,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33889,-9999,5.57181,-9999,-9999,-9999,-9999,-9999,11.642,-9999,-9999,-9999,-9999,-9999,0.706295,0.0,-9999,0.683261,0.706295,0.761098,0.0,0.0,0.0,0.721072,0.711564,0.726759,0.784323,0.013773,0.017013,0.0239063,0.0366284,0.79147,0.776945,0.786859,0.797979,0.0,0.0,0.0,0.0,-9999,-9999
20170102,-4.427,0.0,132.198,84.401,0.0,233.925,0.0,2.029,0.0,99.632,0.0,0.0,0.0,1.154,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.31337,-9999,1.57991,-9999,-9999,-9999,-9999,-9999,15.3373,-9999,-9999,-9999,-9999,-9999,0.747562,0.0,-9999,0.729776,0.750605,0.750719,0.0,0.0,0.0,0.651795,0.642408,0.656429,0.709811,-0.0985225,-0.13163,-0.0953808,-0.0526484,0.667992,0.666761,0.667485,0.672039,0.0,0.0,0.0,0.0,-9999,-9999
20170103,-1.406,0.0,132.882,12.385,0.0,308.193,0.0,1.172,0.0,98.451,0.0,15.016,0.0,1.995,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.34942,-9999,4.19667,-9999,-9999,-9999,-9999,-9999,6.42766,-9999,-9999,-9999,-9999,-9999,0.687503,0.0,-9999,0.679141,0.687503,0.735179,0.0,0.0,0.0,0.725536,0.716024,0.731293,0.789121,0.0391761,0.0208726,0.0380026,0.0471707,0.799803,0.784373,0.794909,0.806491,0.0,0.0,0.0,0.0,-9999,-9999
20170104,1.813,0.0,133.623,58.749,0.0,292.047,0.0,1.927,0.0,96.066,0.0,5.873,0.0,2.573,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33889,-9999,5.57181,-9999,-9999,-9999,-9999,-9999,11.642,-9999,-9999,-9999,-9999,-9999,0.706295,0.0,-9999,0.683261,0.706295,0.761098,0.0,0.0,0.0,0.799521,0.790053,0.806513,0.868521,0.0915308,0.0958825,0.107422,0.120161,0.951402,0.916485,0.944813,0.961852,0.0,0.0,0.0,0.0,-9999,-9999
20170105,-5.465,0.0,134.423,74.905,0.0,225.435,0.0,1.858,0.0,96.991,0.0,0.367,0.0,3.866,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.31337,-9999,1.57991,-9999,-9999,-9999,-9999,-9999,15.3373,-9999,-9999,-9999,-9999,-9999,0.747562,0.0,-9999,0.729776,0.750605,0.750719,0.0,0.0,0.0,0.628445,0.61901,0.632668,0.684786,-0.121659,-0.154779,-0.118638,-0.0673825,0.61672,0.617674,0.621671,0.62771,0.0,0.0,0.0,0.0,-9999,-9999
20170106,-9.139,0.0,135.282,87.496,0.0,217.494,0.0,1.298,0.0,98.033,0.0,0.212,0.0,1.63,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.34942,-9999,4.19667,-9999,-9999,-9999,-9999,-9999,6.42766,-9999,-9999,-9999,-9999,-9999,0.687503,0.0,-9999,0.679141,0.687503,0.735179,0.0,0.0,0.0,0.536389,0.527261,0.537834,0.585095,-0.14842,-0.171272,-0.155278,-0.145124,0.467511,0.469263,0.48419,0.497946,0.0,0.0,0.0,0.0,-9999,-9999
20170107,-12.333,0.0,136.199,51.787,0.0,234.41,0.0,1.18,0.0,98.716,0.0,1.418,0.0,1.327,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33889,-9999,5.57181,-9999,-9999,-9999,-9999,-9999,11.642,-9999,-9999,-9999,-9999,-9999,0.706295,0.0,-9999,0.683261,0.706295,0.761098,0.0,0.0,0.0,0.454955,0.441603,0.457297,0.496778,-0.250239,-0.25134,-0.246347,-0.235535,0.353389,0.356665,0.375594,0.393077,0.0,0.0,0.0,0.0,-9999,-9999
20170108,-11.848,0.0,137.174,92.238,0.0,192.433,0.0,1.434,0.0,98.376,0.0,0.154,0.0,2.84,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.31337,-9999,1.57991,-9999,-9999,-9999,-9999,-9999,15.3373,-9999,-9999,-9999,-9999,-9999,0.747562,0.0,-9999,0.729776,0.750605,0.750719,0.0,0.0,0.0,0.467539,0.454576,0.46984,0.510473,-0.281317,-0.311639,-0.279837,-0.241556,0.364174,0.367637,0.387326,0.405365,0.0,0.0,0.0,0.0,-9999,-9999
20170109,-13.946,0.0,138.207,79.995,0.0,190.448,0.0,1.409,0.0,99.623,0.0,0.015,0.0,2.169,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.34942,-9999,4.19667,-9999,-9999,-9999,-9999,-9999,6.42766,-9999,-9999,-9999,-9999,-9999,0.687503,0.0,-9999,0.679141,0.687503,0.735179,0.0,0.0,0.0,0.413633,0.395423,0.415277,0.453077,-0.270279,-0.295479,-0.279019,-0.268275,0.294494,0.298307,0.319693,0.338955,0.0,0.0,0.0,0.0,-9999,-9999
20170110,-9.874,0.0,139.297,71.592,0.0,249.523,0.0,1.403,0.0,99.629,0.0,4.456,0.0,1.91,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33889,-9999,5.57181,-9999,-9999,-9999,-9999,-9999,11.642,-9999,-9999,-9999,-9999,-9999,0.706295,0.0,-9999,0.683261,0.706295,0.761098,0.0,0.0,0.0,0.515225,0.506527,0.516534,0.561974,-0.190481,-0.191273,-0.185935,-0.175008,0.464745,0.465905,0.475354,0.485519,0.0,0.0,0.0,0.0,-9999,-9999
