TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-3.661,0.0094086,149.207,70.684,0.0100806,258.241,0.0094086,1.757,0.0094086,97.912,0.0047043,2.687,0.00672043,2.414,0.0047043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33366,0.0094086,3.70657,0.0094086,8.32722,0.335306,11.5966,0.0094086,26.0529,0.807854,0.760586,0.0094086,0.0204657,0.699044,0.715111,0.746102,0.0094086,0.0094086,0.0094086,0.666801,0.658484,0.672715,0.726784,-0.0470686,-0.0515272,-0.0447763,-0.0302707,0.699996,0.702948,0.709738,0.718546,0.0,0.0,0.0,0.0,-9999,-9999
201702,-2.305,1.0,212.004,90.157,0.995536,262.16,1.0,2.241,1.0,97.725,1.0,1.615,1.0,2.541,0.977679,0.42665936319330794,0.9613095238095238,35.995061464803314,0.9970238095238095,-9999,-9999,-9999,-9999,47.3798363095238,0.9970238095238095,11.204407349896481,0.9970238095238095,305.040340320911,0.9970238095238095,416.644,1.0,1.475,1.728,2.205,2.691,3.478,4.417,4.597,5.349,5.678,0.994048,0.994048,0.994048,0.994048,0.994048,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.29588,0.946429,7.68092,0.994048,17.256,0.254212,11.371,0.997768,25.5462,0.771631,0.938476,0.985863,0.0167109,0.910249,0.931041,0.94497,0.991815,0.991071,0.985863,0.955584,0.936525,0.955584,1.02951,0.0297145,0.0142578,0.0373605,0.0845427,0.786369,0.786369,0.797759,0.817934,0.0284231,0.0291235,0.0313722,0.0330265,-9999,-9999
201703,-3.855,1.0,300.783,145.246,1.0,245.332,1.0,2.077,1.0,98.322,0.999328,1.298,1.0,3.18,0.905914,0.5941826059913836,0.8595430107526882,75.42475886649162,0.9926075268817205,319.3324734706501,0.7641129032258065,20.05580531330749,0.7647849462365591,58.94028080331831,0.9932795698924731,16.887386200302384,0.9932795698924731,299.8686951672586,0.9939516129032258,430.825,0.995968,1.115,1.333,1.77,2.195,2.911,3.848,3.922,4.739,5.047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.024,26.698,25.75,22.752,22.929,24.636,25.887,27.707,0.000672043,0.0712366,0.219758,0.34207,0.335349,0.329301,0.422043,0.321237,-3.69204,0.969086,9.10407,0.766129,20.2003,0.213495,38.3891,0.999328,85.1784,0.835804,0.658152,0.712366,0.0123998,0.73508,0.84513,0.928,0.725806,0.658602,0.731183,0.895521,0.895521,1.08056,1.17856,0.249707,0.154183,0.168389,0.193783,0.747519,0.746817,0.757517,0.809567,0.185092,0.185588,0.18839,0.201515,-9999,-9999
201704,7.718,1.0,390.979,168.726,0.997222,311.439,1.0,4.655,1.0,98.281,0.995139,5.399,1.0,2.276,0.759722,0.4389589636168646,0.6548611111111111,111.70805338421216,0.9979166666666667,360.12644692699945,0.8986111111111111,19.8644890633387,0.8986111111111111,81.33159420289854,0.9986111111111112,18.62828985507247,0.9986111111111112,352.39657608695654,0.9986111111111112,422.209,0.999306,2.804,2.721,2.664,2.785,2.983,3.653,3.605,4.325,4.568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.019,26.874,25.431,23.569,23.275,24.627,26.266,28.376,0.0,0.0,0.000694444,0.000694444,0.000694444,0.0,0.0131944,0.252778,-0.217776,0.988889,19.0016,0.709722,41.6331,0.5072,32.8253,0.9875,71.9212,0.894546,-0.0759536,0.652083,0.0275358,-0.0995021,-0.0759536,0.0172005,0.673611,0.652083,0.641667,1.91674,1.91655,1.99564,2.0462,2.06878,1.99565,2.02814,2.07117,1.64041,1.54994,1.64041,1.72486,1.69217,1.68288,1.75178,1.81951,-9999,-9999
201705,11.475,0.99664,457.147,181.711,0.99664,333.258,0.99664,5.418,0.99664,97.919,0.992608,6.7,1.0,2.319,0.841398,0.40367979715999086,0.8051075268817205,119.00327777270871,0.9811827956989246,349.2129754978334,0.6095430107526881,13.920941105944786,0.6095430107526881,104.37604453779647,0.9919354838709676,23.202090719464152,0.9811827956989246,374.9774775932086,0.9919354838709676,416.604,0.983199,8.719,8.361,7.76,7.419,6.659,6.279,5.934,5.73,5.518,0.99664,0.99664,0.99664,0.99664,0.99664,0.99664,0.99664,0.99664,0.99664,16.992,26.661,24.966,24.997,23.814,24.486,25.938,28.432,0.000672043,0.00134409,0.000672043,0.015457,0.00201613,0.000672043,0.0147849,0.000672043,3.49267,0.978495,40.7956,0.960349,59.2718,0.471816,39.9687,0.983871,58.0703,0.846513,-1.30838,0.944892,0.0513898,-1.38339,-1.31492,-1.30464,0.946237,0.946237,0.944892,3.63606,3.43989,3.58903,3.60902,4.9513,4.87764,4.91866,4.95098,3.88656,3.33557,3.67215,3.82638,5.11315,4.81516,5.00762,5.11741,-9999,-9999
201706,17.838,1.0,486.124,234.49,1.0,358.52,1.0,8.032,1.0,97.916,0.998611,3.147,1.0,2.272,0.890972,0.36152797342750465,0.8534722222222222,156.18467295597347,0.9388888888888889,510.43519667292435,0.8222222222222223,17.88014469128077,0.8222222222222223,105.75199024822696,0.9986111111111111,34.3045693418761,0.9395833333333333,408.4029995888581,0.9937500000000001,411.481,1.0,13.469,12.915,11.957,11.359,10.085,9.193,8.651,7.957,7.445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.769,25.12,22.791,25.152,24.034,24.153,25.949,28.283,0.0,0.0,0.000694444,0.00138889,0.000694444,0.00208333,0.00555556,0.00208333,6.8922,0.996528,70.1279,0.985417,103.174,0.767959,29.8001,0.989583,43.8427,0.782963,-2.75956,0.886111,0.107122,-2.83795,-2.71049,-2.6081,0.938889,0.936111,0.895139,7.03668,6.69372,7.0113,7.33282,9.6348,9.51391,9.63644,9.84876,7.04878,5.67757,6.53707,6.99822,9.27846,8.99935,9.4201,9.73303,-9999,-9999
201707,19.77,1.0,472.02,252.282,1.0,362.939,0.999328,8.364,1.0,98.168,0.999328,5.096,1.0,1.83,0.905242,0.3014968571133745,0.8508064516129031,172.81779440982152,0.9321236559139785,523.4298287325752,0.9536290322580645,16.540334586696012,0.9536290322580645,101.83999037214977,0.9973118279569892,36.36160366721654,0.9327956989247311,418.9980239784676,0.9422043010752688,409.261,1.0,15.952,15.48,14.669,14.137,12.888,11.89,11.265,10.3,9.604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.375,25.06,22.743,24.911,23.689,23.88,25.504,28.417,0.000672043,0.000672043,0.00201613,0.136425,0.137769,0.136425,0.212366,0.00134409,5.96815,0.998656,84.9737,0.997312,112.785,1.07493,35.3667,0.997984,46.9421,0.691805,-3.75725,0.883065,0.137002,-4.26573,-4.02972,-3.69243,0.866935,0.974462,0.954301,4.90463,5.17023,5.54555,5.72181,9.4693,9.19131,9.42073,9.62923,8.83494,8.02018,8.68996,9.15337,11.6519,11.4355,11.6409,11.7692,-9999,-9999
201708,18.208,1.0,417.877,221.571,1.0,350.633,0.995968,6.989,1.0,98.338,0.987231,2.452,1.0,1.926,0.954973,0.3029355168398212,0.9220430107526884,140.3581655736658,0.8420698924731184,453.34205187600094,0.9986559139784946,14.453931737588652,0.6444892473118279,93.41744738046215,0.9986559139784946,31.351119154523317,0.842741935483871,408.4053626363596,0.8440860215053763,404.905,0.997312,15.619,15.323,14.84,14.523,13.656,12.914,12.402,11.61,10.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.693,24.952,22.628,24.765,23.237,23.925,25.674,28.453,0.000672043,0.0,0.0,0.0134409,0.0120968,0.00134409,0.00134409,0.0141129,3.46436,0.993952,71.1759,0.994624,99.5025,0.883779,24.1936,0.997312,33.8223,0.69028,-3.64342,0.931452,0.119093,-3.9443,-3.79959,-3.54152,0.946909,0.983871,0.988575,4.21332,3.89219,4.22482,6.18067,7.94249,7.65922,8.13155,9.56715,6.50846,4.53109,6.15951,7.01154,8.65383,8.714,9.40113,9.85026,-9999,-9999
201709,17.72,0.99375,336.745,173.687,0.99375,348.51,0.990278,6.83,0.99375,98.365,0.9875,2.219,1.0,1.943,0.927083,0.31092700687288616,0.875,102.05749379477473,0.8854166666666666,349.9249235145761,0.9895833333333333,-9999,-9999,66.3953870759057,0.9909722222222221,23.713704058288634,0.8875,406.25218690330064,0.9027777777777778,407.787,0.993056,14.914,14.637,14.197,13.924,13.254,12.763,12.34,11.848,11.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.034,24.974,22.935,24.355,22.067,23.54,25.603,28.673,0.000694444,0.0,0.0,0.0,0.00277778,0.00208333,0.00138889,0.00138889,2.97171,0.99375,50.4147,0.973611,76.935,0.759918,9.81708,0.988194,14.9813,0.65383,-0.492683,0.941667,0.10624,-0.966112,-0.735371,-0.426917,0.94375,0.941667,0.926389,4.65304,4.3236,4.89106,5.13906,5.82638,5.27575,5.43467,5.63905,5.13236,5.22303,5.51907,5.70975,6.64578,6.41734,6.58948,6.6614,-9999,-9999
201710,13.086,0.99328,245.268,120.323,0.993952,322.562,0.99328,5.334,0.99328,98.561,0.986559,9.963,1.0,2.398,0.880376,0.39895731325220524,0.8172043010752689,45.52609578429115,0.9865591397849464,254.660056531544,0.989247311827957,11.584167479121994,0.989247311827957,36.29263421795165,0.9899193548387097,14.679613105007451,0.9879032258064517,381.8511426081132,0.989247311827957,429.608,0.736559,12.269,12.301,12.443,12.527,12.473,12.391,12.11,11.881,11.536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.007,25.001,22.933,22.702,20.829,23.308,25.435,28.83,0.000672043,0.0,0.0,0.00134409,0.00134409,0.00201613,0.000672043,0.00268817,-0.453235,0.920027,29.1257,0.0369624,44.447,1.37595,-8.12885,0.106183,-12.405,1.24778,0.352604,0.0860215,0.364992,-0.453419,0.0619787,0.377267,0.0793011,0.0873656,0.0201613,4.87028,3.86648,4.86085,5.7489,5.7467,4.47983,4.92742,5.68692,1.57938,1.65352,1.87465,2.08595,3.39831,3.39831,3.47428,3.58965,-9999,-9999
