TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-4.65,0.0,133.74,63.357,0.0,251.68,0.0,1.643,0.0,98.007,0.0,3.397,0.0,2.197,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33461,0.0,4.03837,0.0,-9999,-9999,11.208,0.0,-9999,-9999,0.712716,0.0,-9999,0.699597,0.713971,0.745561,0.0,0.0,0.0,0.645387,0.636089,0.649974,0.702837,-0.0677658,-0.0677985,-0.0646498,-0.0553138,0.664041,0.661905,0.662726,0.668239,0.0,0.0,0.0,0.0,-9999,-9999
20170108,20170114,-5.623,0.0,140.558,78.432,0.0,241.068,0.0,1.923,0.0,98.951,0.0,2.634,0.0,2.78,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33096,0.0,3.4681,0.0,-9999,-9999,11.7359,0.0,-9999,-9999,0.718612,0.0,-9999,0.70494,0.718612,0.7459,0.0,0.0,0.0,0.615139,0.606258,0.619498,0.669925,-0.104079,-0.112049,-0.100706,-0.0899074,0.647333,0.638116,0.644156,0.652446,0.0,0.0,0.0,0.0,-9999,-9999
20170115,20170121,-2.851,0.0,150.154,68.636,0.0,268.156,0.0,1.605,0.0,98.31,0.0,1.652,0.0,1.708,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33611,0.0,3.84192,0.0,-9999,0.72915,10.4631,0.0,-9999,1.63994,0.710032,0.0,0.0404872,0.695083,0.710555,0.740718,0.0,0.0,0.0,0.688636,0.679285,0.693894,0.749331,-0.0218841,-0.0306284,-0.0196254,-0.00851513,0.743855,0.731996,0.740029,0.74975,0.0,0.0,0.0,0.0,-9999,-9999
20170122,20170128,0.022,0.0,162.38,57.713,0.0,287.506,0.0,1.909,0.0,96.709,0.0,4.139,0.0,3.154,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,417.723,0.0,1.316,1.646,2.235,2.799,3.673,4.699,4.899,5.665,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.33461,0.0,4.03837,0.0,6.03322,0.454926,11.208,0.0,16.7445,1.13773,0.712716,0.0,0.0270756,0.699597,0.713971,0.745561,0.0,0.0,0.0,0.758382,0.748888,0.764687,0.824373,0.0442947,0.0442947,0.046351,0.0650895,0.86691,0.842888,0.86124,0.875257,0.0,0.0,0.0,0.0,-9999,-9999
20170129,20170204,-6.565,0.613095,177.028,91.508,0.598214,233.078,0.613095,1.586,0.613095,97.66,0.592262,0.077,0.60119,2.265,0.592262,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,417.084,0.613095,1.314,1.645,2.234,2.794,3.662,4.686,4.886,5.652,5.987,0.589286,0.589286,0.589286,0.589286,0.589286,0.613095,0.613095,0.613095,0.613095,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.29444,0.47619,4.53095,0.613095,6.84056,0.476865,14.824,0.613095,22.3805,1.26715,0.688654,0.607143,0.0300142,0.676545,0.690101,0.710835,0.604167,0.607143,0.604167,0.603147,0.5942,0.607126,0.655058,-0.0835788,-0.0980681,-0.0840719,-0.0702506,0.591904,0.591904,0.596912,0.604612,0.0,0.0,0.0,0.0,-9999,-9999
20170205,20170211,-8.277,1.0,193.828,61.291,1.0,251.154,1.0,1.2,1.0,97.794,1.0,3.265,1.0,2.403,0.958333,0.4797930560053429,0.9236111111111112,27.04244867149758,0.9930555555555557,-9999,-9999,-9999,-9999,43.82670591787439,0.9930555555555557,8.468239734299518,0.9930555555555557,283.95049818840585,0.9930555555555557,415.81,1.0,1.409,1.703,2.237,2.76,3.577,4.541,4.718,5.488,5.826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.12091,0.925595,6.89306,0.988095,11.1621,0.481157,8.11724,0.994048,13.1445,1.23379,0.769561,0.994048,0.0325305,0.775983,0.78614,0.813894,0.994048,0.994048,0.994048,0.611752,0.590844,0.613075,0.681111,-0.152644,-0.192455,-0.154784,-0.137234,0.57838,0.58323,0.60056,0.61412,0.0,0.0,0.0,0.0,-9999,-9999
20170212,20170218,-3.944,1.0,212.457,78.25,1.0,262.254,1.0,1.718,1.0,97.029,1.0,1.774,1.0,2.542,0.994048,0.45702548362202444,0.9826388888888888,30.930347222222224,1.0,-9999,-9999,-9999,-9999,37.326388888888886,1.0,10.92826388888889,1.0,292.5986111111111,1.0,416.497,1.0,1.522,1.775,2.251,2.736,3.499,4.406,4.582,5.326,5.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.79665,0.997024,7.98795,0.994048,13.1702,0.488628,6.04699,1.0,9.97003,1.43434,0.836046,0.997024,0.0391191,0.854695,0.863716,0.896588,0.997024,0.997024,0.973214,0.833853,0.809622,0.83677,0.960812,-0.0382839,-0.0407256,0.000723957,0.060601,0.900965,0.858959,0.903981,0.922522,0.033843,0.0212164,0.0258734,0.0335531,-9999,-9999
20170219,20170225,5.443,1.0,232.55,111.749,1.0,288.122,1.0,3.546,1.0,97.872,1.0,1.349,1.0,2.218,0.964286,0.37958306449199775,0.9583333333333331,48.6581506642512,0.9930555555555557,-9999,-9999,-9999,-9999,52.922252415458935,0.9930555555555557,13.042084842995168,0.9930555555555557,336.30893719806767,0.9930555555555557,419.315,1.0,1.514,1.719,2.14,2.581,3.345,4.263,4.449,5.179,5.501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.011,-9999,-9999,-9999,23.191,25.185,-9999,-9999,0.0,-9999,-9999,-9999,0.0,0.0,-9999,-9999,-3.91359,1.0,5.8152,0.994048,8.84139,0.504398,14.1446,0.997024,21.5053,1.77455,1.25781,0.985119,0.0379755,1.22432,1.25134,1.26422,0.979167,0.985119,0.985119,1.37949,1.37457,1.38363,1.42906,0.126576,0.115297,0.126576,0.203627,0.878032,0.904425,0.915347,0.983141,0.00737482,0.00723877,0.00891529,0.0106009,-9999,-9999
20170226,20170304,-2.045,1.0,253.718,125.088,1.0,246.42,1.0,2.429,1.0,98.025,1.0,0.994,1.0,3.811,0.880952,0.6747338955525481,0.8055555555555555,50.53490942028986,0.9930555555555557,-9999,-9999,-9999,-9999,54.04965277777777,1.0,13.61964095744681,0.9965277777777777,317.0263888888889,1.0,414.532,1.0,1.592,1.784,2.154,2.563,3.275,4.17,4.298,5.053,5.358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.026,26.335,25.939,23.065,23.261,25.132,25.859,27.449,0.0,0.0833333,0.300595,0.297619,0.35119,0.270833,0.419643,0.255952,-3.8371,0.991071,15.084,1.0,24.87,0.59931,20.6672,1.0,34.0753,1.86925,1.09895,0.973214,0.0363891,1.07479,1.09895,1.11739,0.973214,0.973214,0.973214,1.33849,1.31673,1.33849,1.36674,0.24214,0.220949,0.244275,0.248712,0.863046,0.813244,0.863134,0.894587,0.0863306,0.0782418,0.0863968,0.0981664,-9999,-9999
20170305,20170311,-5.051,1.0,275.566,130.29,1.0,237.834,1.0,2.222,1.0,98.39,1.0,1.491,1.0,3.664,0.875,0.6437308220102296,0.7534722222222223,52.27679643334361,0.9895833333333334,-9999,-9999,-9999,-9999,50.28469235019016,0.9895833333333334,13.751306371415355,0.9895833333333334,303.2631828810772,0.9895833333333334,415.08,1.0,1.086,1.357,1.864,2.327,3.095,4.032,4.126,4.922,5.225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.034,26.966,25.987,22.646,23.01,24.956,25.947,27.567,0.00297619,0.157738,0.577381,0.705357,0.699405,0.633929,0.678571,0.636905,-4.21883,0.967262,11.0311,0.973214,15.3556,0.485101,30.4019,1.0,42.3203,1.60684,1.00575,0.970238,0.0317627,0.926779,0.932772,1.00575,0.970238,0.96131,0.970238,1.15406,1.09706,1.12704,1.15432,0.157423,0.149207,0.168232,0.187911,0.849158,0.819708,0.849158,0.88343,0.0734607,0.0734607,0.0770295,0.0776643,-9999,-9999
