ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2016
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2016
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.137323,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.133607,2016
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.124697,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.120216,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.119291,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.145747,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.160855,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.133607,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2016
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.130895,2016
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.119479,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.116091,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.115179,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.13929,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.151428,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,56.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.144374,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2016
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.133571,2016
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.123871,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.119211,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.11866,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.144377,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.156739,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,56.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.144374,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2016
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.133571,2016
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.123871,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.119211,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.11866,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.144377,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.156739,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,61.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.148823,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2016
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.133571,2016
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.123871,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.119211,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.11866,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.144377,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.156739,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,73.75,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.165289,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,33.75,2016
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.121596,2016
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,33.75,2017
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.114687,2017
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,33.75,2018
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.110022,2018
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,33.75,2019
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.108421,2019
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,33.75,2020
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.126481,2020
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,33.75,2021
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.141804,2021
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,28.75,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.115193,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2016
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.130895,2016
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2017
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.119479,2017
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2018
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.116091,2018
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2019
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.115179,2019
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2020
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.13929,2020
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2021
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.151428,2021
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,28.75,-9999
17,RECO_NT_CUT_REF,DD_USTAR_THRESHOLD,0.115193,-9999
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2016
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.130895,2016
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2017
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.119479,2017
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2018
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.116091,2018
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2019
