ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.211643,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.199979,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.20004,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.20927,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.21576,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.230525,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,51.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.212523,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.199319,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.199499,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.208342,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.214227,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.22827,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,61.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.223153,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,58.75,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.20632,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,58.75,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.20632,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,58.75,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.218097,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,58.75,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.225695,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,58.75,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.241234,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,61.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.223153,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,53.75,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.203743,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,53.75,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.202399,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,53.75,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.213404,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,53.75,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.219601,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,53.75,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.235167,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,51.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.212523,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.210067,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.207664,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.219601,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.229059,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.243384,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,61.25,-9999
