TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-7.636,0.0,109.543,53.016,0.0,250.928,0.0,0.753,0.0,94.598,0.0,1.263,0.0,6.384,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.9974,-9999,101.596,-9999,-9999,-9999,13.8431,-9999,19.6991,-9999,-9999,-9999,0.257936,0.0,-9999,-0.0846485,0.198718,0.296939,0.0,0.0,0.0,2.78284,2.59831,2.69203,2.79811,2.45822,2.49024,2.50117,2.54974,4.71435,4.7051,4.71431,4.71753,3.40182,3.40157,3.40573,3.40817,-9999,-9999
20170102,-11.969,0.0,110.157,29.851,0.0,268.057,0.0,0.412,0.0,94.937,0.0,6.971,0.0,9.621,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.5037,-9999,126.793,-9999,-9999,-9999,16.5355,-9999,23.5577,-9999,-9999,-9999,-0.0252053,0.0,-9999,-0.151958,-0.0212691,0.166042,0.0,0.0,0.0,2.32625,2.1403,2.25398,2.32692,2.15654,2.16033,2.20031,2.31483,3.99522,3.98738,3.99519,3.99791,2.62709,2.62686,2.62983,2.6328,-9999,-9999
20170103,-19.846,0.0,110.83,69.486,0.0,186.049,0.0,0.448,0.0,95.5,0.0,0.149,0.0,12.823,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.1596,-9999,110.669,-9999,-9999,-9999,9.71983,-9999,13.8636,-9999,-9999,-9999,0.0326891,0.0,-9999,-0.159676,0.0326891,0.217037,0.0,0.0,0.0,1.44397,1.33631,1.39871,1.44875,1.21014,1.23171,1.28096,1.35973,2.56885,2.56381,2.56883,2.57058,3.79987,3.79961,3.8044,3.80647,-9999,-9999
20170104,-23.299,0.0,111.56,75.569,0.0,163.663,0.0,0.429,0.0,95.225,0.0,0.004,0.0,8.014,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.9974,-9999,101.83,-9999,-9999,-9999,13.8431,-9999,19.7447,-9999,-9999,-9999,0.257936,0.0,-9999,-0.0846485,0.198718,0.296939,0.0,0.0,0.0,1.05617,0.937261,1.02681,1.06662,0.731343,0.745166,0.765206,0.848429,1.92497,1.92119,1.92495,1.92627,3.92591,3.92565,3.93064,3.93259,-9999,-9999
20170105,-23.26,0.0,112.35,77.162,0.0,162.868,0.0,0.426,0.0,94.994,0.0,0.011,0.0,7.591,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.5037,-9999,126.381,-9999,-9999,-9999,16.5355,-9999,23.4806,-9999,-9999,-9999,-0.0252053,0.0,-9999,-0.151958,-0.0212691,0.166042,0.0,0.0,0.0,1.059,0.938893,1.02994,1.06949,0.88938,0.895296,0.935027,1.01714,1.9309,1.92711,1.93088,1.9322,3.97144,3.97119,3.97625,3.97817,-9999,-9999
20170106,-20.128,0.0,113.197,71.781,0.0,170.56,0.0,0.433,0.0,95.196,0.0,0.003,0.0,6.712,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.1596,-9999,110.796,-9999,-9999,-9999,9.71983,-9999,13.8023,-9999,-9999,-9999,0.0326891,0.0,-9999,-0.159676,0.0326891,0.217037,0.0,0.0,0.0,1.41034,1.29789,1.36607,1.41481,1.17647,1.19778,1.24254,1.32132,2.51639,2.51146,2.51638,2.51809,3.91635,3.91609,3.92104,3.92312,-9999,-9999
20170107,-24.223,0.0,114.103,80.343,0.0,165.165,0.0,0.428,0.0,96.373,0.0,0.0,0.0,6.595,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.9974,-9999,101.868,-9999,-9999,-9999,13.8431,-9999,19.642,-9999,-9999,-9999,0.257936,0.0,-9999,-0.0846485,0.198718,0.296939,0.0,0.0,0.0,0.95593,0.837611,0.93567,0.965548,0.631203,0.6441,0.672404,0.751085,1.75504,1.7516,1.75503,1.75623,4.04528,4.04502,4.05019,4.05207,-9999,-9999
20170108,-19.401,0.0,115.067,64.495,0.0,197.749,0.0,0.469,0.0,95.308,0.0,0.0,0.0,8.67,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.5037,-9999,126.33,-9999,-9999,-9999,16.5355,-9999,23.4437,-9999,-9999,-9999,-0.0252053,0.0,-9999,-0.151958,-0.0212691,0.166042,0.0,0.0,0.0,1.49422,1.39047,1.44696,1.49937,1.32442,1.33217,1.36672,1.45234,2.65017,2.64497,2.65015,2.65196,3.73547,3.73522,3.73988,3.74213,-9999,-9999
20170109,-17.972,0.0,116.088,36.435,0.0,236.998,0.0,0.416,0.0,94.315,0.0,1.683,0.0,5.838,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.1596,-9999,109.564,-9999,-9999,-9999,9.71983,-9999,13.7085,-9999,-9999,-9999,0.0326891,0.0,-9999,-0.159676,0.0326891,0.217037,0.0,0.0,0.0,1.65599,1.55707,1.60379,1.65826,1.42208,1.44511,1.49554,1.58051,2.91883,2.91311,2.91881,2.9208,2.9318,2.93156,2.93496,2.93788,-9999,-9999
20170110,-17.253,0.0,117.167,73.255,0.0,220.169,0.0,0.518,0.0,93.638,0.0,1.5,0.0,10.002,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.9974,-9999,101.193,-9999,-9999,-9999,13.8431,-9999,19.421,-9999,-9999,-9999,0.257936,0.0,-9999,-0.0846485,0.198718,0.296939,0.0,0.0,0.0,1.73754,1.63184,1.68288,1.73965,1.41243,1.4201,1.44735,1.50961,3.05098,3.045,3.05096,3.05304,3.87003,3.86977,3.87467,3.8767,-9999,-9999
