TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-10.736,0.0,127.057,68.655,0.0,234.166,0.0,0.735,0.0,94.586,0.0,0.485,0.0,8.422,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.6324,0.0,113.798,-9999,13.3815,0.0,19.3659,-9999,0.0939398,0.0,-9999,-0.131324,0.0939398,0.228939,0.0,0.0,0.0,2.42485,2.2415,2.3412,2.41951,2.19969,2.19417,2.2412,2.32848,4.11355,4.10548,4.11352,4.11632,3.80719,3.80693,3.81169,3.81394,-9999,-9999
201702,-6.241,0.0,190.573,113.375,0.0,239.295,0.0,0.956,0.0,94.41,0.0,0.303,0.0,6.787,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79.2304,0.0,114.663,-9999,13.4793,0.0,19.5075,-9999,0.0844133,0.0,-9999,-0.133646,0.0844133,0.224507,0.0,0.0,0.0,2.89748,2.67928,2.79129,2.90095,2.67644,2.66372,2.71032,2.78122,4.86075,4.85122,4.86072,4.86403,4.99383,4.99352,4.99992,5.00187,-9999,-9999
201703,-2.452,0.0,282.918,161.871,0.0,254.663,0.0,1.844,0.0,95.03,0.0,0.328,0.0,5.659,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.8312,0.0,112.024,-9999,13.2485,0.0,18.8269,-9999,0.0866738,0.0,-9999,-0.133744,0.0866738,0.226362,0.0,0.0,0.0,3.26333,2.96619,3.14335,3.26629,3.03993,3.0253,3.04398,3.11398,5.42569,5.41505,5.42565,5.42935,6.05606,6.05374,6.06361,6.06537,-9999,-9999
201704,6.226,0.0,379.508,203.141,0.0,286.87,0.0,4.069,0.0,94.687,0.0,0.909,0.0,5.08,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.8869,0.0,114.187,-9999,13.3661,0.0,19.3471,-9999,0.0884732,0.0,-9999,-0.13288,0.0884732,0.226673,0.0,0.0,0.0,4.0526,3.59717,3.94963,4.05414,3.82746,3.74296,3.81049,3.82746,6.62965,6.61664,6.6296,6.63412,6.99006,6.98607,6.99877,7.0001,-9999,-9999
201705,12.794,0.0,452.477,244.578,0.0,309.044,0.0,7.645,0.0,94.459,0.0,0.816,0.0,5.758,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.6324,0.0,115.895,-9999,13.3815,0.0,19.7228,-9999,0.0939398,0.0,-9999,-0.131324,0.0939398,0.228939,0.0,0.0,0.0,4.55968,3.974,4.50801,4.55999,4.33105,4.13303,4.29577,4.33105,7.38868,7.37419,7.38863,7.39366,7.79748,7.79703,7.80659,7.80943,-9999,-9999
201706,17.916,0.0,485.244,270.98,0.0,337.002,0.0,9.066,0.0,94.322,0.0,1.663,0.0,5.568,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.75481,0.0,78.8869,0.0,109.206,-9999,13.3661,0.0,18.5032,-9999,0.0884732,0.0,-9999,-0.13288,0.0884732,0.226673,0.0,0.0,0.0,4.9159,4.26089,4.8795,4.91401,4.68857,4.41605,4.64319,4.72411,7.91756,7.90204,7.91751,7.9229,8.13394,8.13346,8.14308,8.14651,-9999,-9999
201707,21.411,0.0,469.553,281.418,0.0,360.186,0.0,9.538,0.0,94.784,0.0,1.087,0.0,4.64,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.71075,0.0,79.1971,0.0,105.498,-9999,13.4684,0.0,17.9411,-9999,0.0848062,0.0,-9999,-0.133572,0.0848062,0.224717,0.0,0.0,0.0,5.14102,4.44217,5.10198,5.1529,4.91501,4.59323,4.86752,4.98619,8.2501,8.23392,8.25005,8.25567,8.08711,8.08664,8.09606,8.09955,-9999,-9999
201708,17.749,0.00873656,409.502,217.788,0.00873656,347.387,0.00873656,6.468,0.00873656,94.9,0.00806452,1.798,0.00806452,4.06,0.00806452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.79308,0.00806452,79.1757,0.00739247,89.1112,0.94935,13.2173,0.00806452,14.8759,1.03994,0.0909695,0.00604839,0.0642728,-0.130394,0.0909695,0.225735,0.00604839,0.00604839,0.00739247,4.90909,4.25558,4.87279,4.90728,4.68273,4.41567,4.63853,4.71667,7.90788,7.89237,7.90782,7.91321,7.22309,7.22267,7.23152,7.23426,-9999,-9999
201709,14.618,1.0,321.611,161.548,1.0,327.645,1.0,6.557,1.0,94.804,0.996528,1.458,1.0,5.533,0.916667,0.33153235991094554,0.8868055555555555,59.249786039161286,0.9972222222222221,325.0733608091788,0.9986111111111112,25.207405495169077,0.9986111111111112,58.901379830917875,0.9986111111111112,29.443971676174325,0.9979166666666667,401.82957427536235,0.9986111111111112,408.329,0.991667,15.162,15.004,14.747,14.562,14.672,14.45,13.916,13.195,11.786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.995,-9999,8.291,14.467,4.153,3.925,2.549,-9999,0.000694444,-9999,0.000694444,0.000694444,0.000694444,0.000694444,0.000694444,-9999,-0.221701,0.989583,36.7044,0.982639,41.3103,0.395849,15.0507,0.985417,16.9393,0.545535,0.570072,0.952778,0.0222818,0.553428,0.559823,0.576973,0.955556,0.966667,0.952778,3.47027,3.32983,3.46062,3.48067,2.89396,2.77468,2.8895,2.89946,3.52917,3.34209,3.42553,3.51484,2.93181,2.88621,2.93181,2.95849,-9999,-9999
201710,7.484,1.0,225.247,121.674,1.0,278.814,1.0,4.826,1.0,94.524,0.991935,0.032,1.0,6.883,0.998656,0.3958321341638438,0.9966397849462365,17.697640152984594,0.9979838709677419,248.91563845039275,0.9966397849462365,23.66637242621826,0.9966397849462365,44.46338453542617,0.9979838709677419,24.0326657726816,0.9979838709677419,359.08954640516055,0.9979838709677419,411.023,0.99328,8.203,8.55,9.153,9.519,10.125,10.329,10.923,11.065,11.131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.997,-9999,8.293,10.344,3.596,3.925,2.531,24.312,0.0,-9999,0.0,0.000672043,0.0,0.0,0.0860215,0.000672043,-2.37422,0.991263,21.1289,0.982527,28.2852,0.232707,8.14688,0.989919,10.9062,0.493393,0.395951,0.976478,0.0156539,0.3836,0.397277,0.404257,0.976478,0.976478,0.976478,1.83025,1.80708,1.83625,1.86549,1.42913,1.4236,1.43325,1.45566,1.71724,1.65827,1.69094,1.69682,1.26862,1.26559,1.26775,1.28005,-9999,-9999
