TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-18.623,0.0,111.677,65.315,0.0,195.327,0.0,0.475,0.0,95.26,0.0,1.2,0.0,8.248,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.7598,0.0,124.132,-9999,13.4343,0.0,21.4458,-9999,0.114295,0.0,-9999,-0.12599,0.112682,0.236711,0.0,0.0,0.0,1.5736,1.48254,1.52674,1.57815,1.3219,1.34143,1.37557,1.42712,2.77224,2.76681,2.77223,2.77411,3.66968,3.66943,3.67401,3.6762,-9999,-9999
20170108,20170114,-19.272,0.0,118.418,72.528,0.0,196.794,0.0,0.498,0.0,94.989,0.0,0.5,0.0,8.824,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,80.2607,0.0,128.124,-9999,13.8189,0.0,22.0598,-9999,0.0721265,0.0,-9999,-0.135942,0.0722335,0.218011,0.0,0.0,0.0,1.50938,1.41272,1.46448,1.51761,1.27985,1.29609,1.33113,1.38881,2.67669,2.67144,2.67668,2.6785,3.87115,3.87089,3.87578,3.87788,-9999,-9999
20170115,20170121,-5.291,0.0,127.955,69.815,0.0,258.567,0.0,0.875,0.0,93.886,0.0,0.152,0.0,7.542,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.6402,0.0,125.161,-9999,12.8452,0.0,20.4441,-9999,0.0766555,0.0,-9999,-0.136708,0.0805041,0.225296,0.0,0.0,0.0,2.99496,2.76977,2.90069,3.01456,2.75629,2.77971,2.81785,2.88231,5.04325,5.03336,5.04321,5.04665,3.78278,3.78252,3.78726,3.78945,-9999,-9999
20170122,20170128,-3.935,0.0,140.179,62.585,0.0,269.65,0.0,0.935,0.0,94.403,0.0,0.101,0.0,8.227,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.7598,0.0,132.79,-9999,13.4343,0.0,22.9417,-9999,0.114295,0.0,-9999,-0.12599,0.112682,0.236711,0.0,0.0,0.0,3.14345,2.89307,3.04485,3.1642,2.89175,2.91331,2.94832,2.99625,5.27822,5.26787,5.27819,5.28178,3.75973,3.75946,3.76409,3.76662,-9999,-9999
20170129,20170204,-8.401,0.0,154.919,93.687,0.0,228.426,0.0,0.804,0.0,94.803,0.0,0.209,0.0,9.593,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,80.2607,0.0,116.575,-9999,13.8189,0.0,20.0713,-9999,0.0721265,0.0,-9999,-0.135942,0.0722335,0.218011,0.0,0.0,0.0,2.66753,2.49187,2.58275,2.68455,2.438,2.45726,2.5065,2.60692,4.5266,4.51772,4.52657,4.52965,4.46189,4.46161,4.46733,4.46932,-9999,-9999
20170205,20170211,-11.871,0.0,171.941,105.665,0.0,227.695,0.0,0.711,0.0,94.366,0.0,0.269,0.0,8.484,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.6402,0.0,104.097,-9999,12.8452,0.0,17.0034,-9999,0.0766555,0.0,-9999,-0.136708,0.0805041,0.225296,0.0,0.0,0.0,2.29789,2.1246,2.22917,2.3005,2.05922,2.08209,2.12021,2.2328,3.93818,3.93046,3.93815,3.94084,4.75401,4.75372,4.7598,4.76172,-9999,-9999
20170212,20170218,-0.221,0.0,190.95,126.527,0.0,248.704,0.0,1.362,0.0,94.223,0.0,0.0,0.0,7.53,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.7598,0.0,99.8763,-9999,13.4343,0.0,17.2553,-9999,0.114295,0.0,-9999,-0.12599,0.112682,0.236711,0.0,0.0,0.0,3.49086,3.16969,3.38249,3.5145,3.23916,3.24548,3.27779,3.35107,5.81428,5.80287,5.81424,5.8182,5.23512,5.23456,5.2416,5.2433,-9999,-9999
20170219,20170225,-1.015,0.0,211.599,102.393,0.0,269.024,0.0,1.093,0.0,94.2,0.0,0.84,0.0,4.593,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,80.2607,0.0,97.0213,-9999,13.8189,0.0,16.7047,-9999,0.0721265,0.0,-9999,-0.135942,0.0722335,0.218011,0.0,0.0,0.0,3.41148,3.10563,3.30537,3.43448,3.18196,3.18837,3.21647,3.29505,5.6908,5.67964,5.69076,5.69464,4.90987,4.90956,4.91584,4.91812,-9999,-9999
20170226,20170304,-7.551,0.0,233.512,141.338,0.0,236.788,0.0,0.96,0.0,94.769,0.0,0.197,0.0,4.413,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.6402,0.0,75.8973,-9999,12.8452,0.0,12.3972,-9999,0.0766555,0.0,-9999,-0.136708,0.0805041,0.225296,0.0,0.0,0.0,2.77436,2.59282,2.68632,2.79214,2.53569,2.56218,2.60308,2.70229,4.70134,4.69212,4.7013,4.70451,5.64465,5.6435,5.65166,5.65339,-9999,-9999
20170305,20170311,-7.743,0.0,256.292,143.874,0.0,238.723,0.0,1.208,0.0,94.742,0.0,0.325,0.0,7.081,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.7598,0.0,80.2773,-9999,13.4343,0.0,13.8692,-9999,0.114295,0.0,-9999,-0.12599,0.112682,0.236711,0.0,0.0,0.0,2.73018,2.55209,2.6436,2.74771,2.47848,2.50351,2.54769,2.64968,4.62494,4.61587,4.62491,4.62806,5.60388,5.60328,5.6108,5.6127,-9999,-9999
