TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,16.016,0.0,214.658,22.456,0.0,394.035,0.0,1.193,0.0,101.143,0.0,11.291,0.0,2.646,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,34.2224,-9999,-9999,-9999,55.4355,-9999,72.8243,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,3.05082,3.04257,3.05094,3.05385,-0.572816,-0.73562,-0.57328,-0.570916,3.45172,3.39466,3.45172,3.48488,0.0971583,0.092914,0.0977166,0.104256,-9999,-9999
20170102,17.931,0.0,215.264,35.348,0.0,408.185,0.0,1.716,0.0,101.122,0.0,8.503,0.0,2.981,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.485,-9999,36.2756,-9999,-9999,-9999,49.8377,-9999,68.261,-9999,-9999,-9999,3.47775,0.0,-9999,3.47369,3.47775,3.64835,0.0,0.0,0.0,3.34282,3.33306,3.34228,3.35085,-0.168036,-0.306158,-0.151764,-0.136029,3.70941,3.65048,3.71126,3.74515,0.133889,0.126787,0.134653,0.13943,-9999,-9999
20170103,16.343,0.0,215.925,110.997,0.0,355.612,0.0,3.213,0.0,100.864,0.0,0.81,0.0,2.175,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5084,-9999,33.5683,-9999,-9999,-9999,54.2578,-9999,74.315,-9999,-9999,-9999,3.93526,0.0,-9999,3.93526,3.93526,4.12661,0.0,0.0,0.0,3.10171,3.09373,3.10165,3.10174,-0.833559,-1.01923,-0.834191,-0.833558,3.49603,3.43867,3.49603,3.52964,0.238432,0.206572,0.227383,0.239768,-9999,-9999
20170104,10.367,0.0,216.642,116.889,0.0,314.345,0.0,3.24,0.0,101.248,0.0,0.003,0.0,2.876,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,30.9663,-9999,-9999,-9999,55.4355,-9999,68.1097,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,2.2454,2.21837,2.23885,2.24698,-1.37824,-1.53958,-1.3848,-1.34968,2.71272,2.65475,2.69012,2.73853,0.239861,0.206719,0.227757,0.241204,-9999,-9999
20170105,7.498,0.0,217.413,110.587,0.0,310.118,0.0,3.099,0.0,101.109,0.0,0.031,0.0,1.498,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.485,-9999,32.9042,-9999,-9999,-9999,49.8377,-9999,61.3826,-9999,-9999,-9999,3.47775,0.0,-9999,3.47369,3.47775,3.64835,0.0,0.0,0.0,1.89016,1.86837,1.88203,1.89212,-1.6207,-1.78165,-1.60136,-1.55192,2.36198,2.29602,2.31512,2.38433,0.225637,0.195357,0.215008,0.226901,-9999,-9999
20170106,2.417,0.0,218.239,20.382,0.0,328.474,0.0,1.422,0.0,101.545,0.0,17.524,0.0,3.06,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5084,-9999,30.5108,-9999,-9999,-9999,54.2578,-9999,66.9644,-9999,-9999,-9999,3.93526,0.0,-9999,3.93526,3.93526,4.12661,0.0,0.0,0.0,1.29704,1.27764,1.29052,1.29949,-2.63822,-2.82712,-2.64832,-2.5935,1.76035,1.71376,1.76035,1.79559,0.0922641,0.0885152,0.0938618,0.100002,-9999,-9999
20170107,-1.625,0.0,219.119,163.393,0.0,228.005,0.0,2.078,0.0,102.899,0.0,0.002,0.0,3.847,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,31.1808,-9999,-9999,-9999,55.4355,-9999,68.5855,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,0.903082,0.884775,0.895874,0.905721,-2.72056,-2.8836,-2.73062,-2.67561,1.32722,1.27423,1.32989,1.35354,0.274992,0.230877,0.256352,0.276523,-9999,-9999
20170108,-1.195,0.0,220.052,153.914,0.0,227.038,0.0,2.411,0.0,103.679,0.0,0.0,0.0,1.662,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.485,-9999,33.1936,-9999,-9999,-9999,49.8377,-9999,61.9271,-9999,-9999,-9999,3.47775,0.0,-9999,3.47369,3.47775,3.64835,0.0,0.0,0.0,0.955041,0.936826,0.948055,0.957446,-2.55581,-2.71632,-2.53686,-2.47846,1.38023,1.32879,1.38298,1.40765,0.269029,0.226968,0.251168,0.270528,-9999,-9999
20170109,3.836,0.0,221.039,148.474,0.0,262.595,0.0,3.462,0.0,103.191,0.0,0.0,0.0,2.141,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5084,-9999,29.7931,-9999,-9999,-9999,54.2578,-9999,65.9573,-9999,-9999,-9999,3.93526,0.0,-9999,3.93526,3.93526,4.12661,0.0,0.0,0.0,1.50344,1.48649,1.49383,1.50556,-2.43182,-2.62104,-2.44058,-2.39309,1.95298,1.90023,1.95298,1.99226,0.266093,0.225156,0.248959,0.267577,-9999,-9999
20170110,12.436,0.0,222.077,119.819,0.0,329.428,0.0,4.533,0.0,102.215,0.0,0.028,0.0,3.688,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.986,-9999,30.3736,-9999,-9999,-9999,55.4355,-9999,67.389,-9999,-9999,-9999,3.62364,0.0,-9999,3.62364,3.62364,3.78656,0.0,0.0,0.0,2.54987,2.53682,2.54885,2.55096,-1.07377,-1.23571,-1.07781,-1.05618,2.9874,2.93448,2.98347,3.01595,0.239056,0.206247,0.227164,0.240394,-9999,-9999
