TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,12.761,0.0,231.297,116.588,0.0,328.476,0.0,3.766,0.0,101.544,0.0,3.66,0.0,2.457,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.3155,0.0,33.423,-9999,53.2499,0.0,70.3037,-9999,3.6771,0.0,-9999,3.6771,3.67745,3.85691,0.0,0.0,0.0,2.64752,2.63759,2.64697,2.65123,-1.04082,-1.21235,-1.04026,-1.02009,3.05337,3.00069,3.05337,3.08261,0.239141,0.200456,0.220642,0.232957,-9999,-9999
201702,14.235,0.0,287.337,132.874,0.00818452,337.09,0.00818452,4.597,0.0,101.452,0.0,3.216,0.00744048,2.277,0.00744048,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.3287,0.0,32.3886,-9999,53.0365,0.0,67.8196,-9999,3.6717,0.0,-9999,3.6717,3.67187,3.85231,0.0,0.0,0.0,2.82356,2.81464,2.82318,2.82995,-0.860341,-1.03202,-0.858064,-0.841757,3.22908,3.17439,3.22908,3.26005,0.260429,0.218015,0.240066,0.253935,-9999,-9999
201703,15.717,0.0,359.271,187.095,0.994624,341.244,0.994624,5.894,0.0,101.868,0.0,3.435,1.0,2.626,0.961694,0.49450565920712225,0.9583333333333334,104.22556043206188,0.989247311827957,-9999,-9999,-9999,-9999,76.78087095342237,0.9905913978494625,20.560608120117244,0.9905913978494625,399.87714914047973,0.9905913978494625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.56904,0.0,23.9839,0.0,31.6651,-9999,36.5806,0.0,48.2959,-9999,4.9832,0.0,-9999,4.10043,4.9832,5.1115,0.0,0.0,0.0,3.05663,3.04962,3.05663,3.06025,-1.93649,-2.05125,-1.93416,-1.92553,3.43055,3.37454,3.43055,3.46354,0.307115,0.254261,0.280954,0.301783,-9999,-9999
201704,20.402,0.0,424.226,255.127,0.996528,356.79,0.995833,8.552,0.0,101.265,0.0,4.627,1.0,2.321,0.959028,0.42209870836934993,0.9562500000000002,153.88488972616236,0.9909722222222221,-9999,-9999,-9999,-9999,81.81539351851852,0.9916666666666667,37.35353472222222,0.9916666666666667,422.02710648148144,0.9916666666666667,428.097,0.750694,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.37552,0.0,24.2252,0.254861,30.2016,-9999,42.4951,0.653472,52.9787,-9999,4.99126,0.00277778,-9999,3.91709,4.99126,5.15832,0.238194,0.00277778,0.000694444,3.76207,3.73185,3.76207,3.77721,-1.23788,-1.35617,-1.23966,-1.22,4.05433,3.99375,4.06192,4.11046,0.358382,0.293259,0.327794,0.35485,-9999,-9999
201705,22.147,0.0255376,465.762,252.029,0.763441,374.071,0.760081,8.851,0.0255376,101.053,0.40457,2.762,1.0,2.078,0.722446,0.37145493174581057,0.6901881720430108,160.34429832063958,0.7412634408602151,-9999,-9999,-9999,-9999,84.26667158184475,0.7244623655913979,37.113494003842845,0.7419354838709679,427.1782636953489,0.7412634408602151,426.857,0.757392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.5234,0.0241935,29.5779,0.139113,36.8749,-9999,18.4923,0.75336,23.0544,0.665803,4.64185,0.138441,-9999,4.6233,4.64185,4.81541,0.138441,0.138441,0.138441,4.04241,3.99964,4.04304,4.06153,-0.607319,-0.718644,-0.609841,-0.594018,4.29241,4.23043,4.30111,4.36339,0.373091,0.306625,0.341011,0.368321,-9999,-9999
201706,24.384,0.993056,481.644,231.875,0.99375,407.705,0.993056,6.233,0.992361,101.063,0.979167,12.273,1.0,1.888,0.913889,0.33842559310968534,0.8972222222222224,166.02616797046548,0.9847222222222222,-9999,-9999,-9999,-9999,99.19684424164922,0.5625,32.01430663976724,0.9847222222222222,444.04251152832677,0.9847222222222222,424.541,0.989583,23.368,23.169,22.907,22.54,21.779,21.104,20.058,19.309,19.959,0.961111,0.961111,0.961111,0.961111,0.961111,0.961111,0.961111,0.927778,0.961111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.6135,0.952083,30.8489,0.0,38.7082,-9999,17.8243,0.938194,22.3654,0.54766,5.03176,0.0,-9999,5.03176,5.04181,5.19218,0.0,0.0,0.0,4.39781,4.33981,4.40124,4.42178,-0.640578,-0.769655,-0.691959,-0.631027,4.59751,4.53361,4.60682,4.68692,0.349332,0.288405,0.319095,0.343998,-9999,-9999
201707,27.26,1.0,473.013,273.838,1.0,416.624,1.0,8.824,1.0,101.258,0.987903,2.09,1.0,1.578,0.997312,0.26493901409502396,0.9926075268817205,195.92310828088117,0.9952956989247311,-9999,-9999,-9999,-9999,93.11532258064517,1.0,33.73009998688696,0.9952956989247311,460.0070728429059,0.9952956989247311,430.473,1.0,24.538,24.217,23.728,23.201,22.286,21.572,20.486,19.577,20.128,0.0369624,0.0369624,0.0356183,0.0369624,0.0356183,0.0356183,0.0356183,0.0,0.0369624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.017,0.0349462,31.3436,0.0,39.1002,-9999,19.8251,0.0376344,24.7312,0.9982,4.86385,0.0,-9999,4.86385,4.87398,5.04016,0.0,0.0,0.0,4.88967,4.806,4.89462,4.92166,0.0190306,-0.121839,-0.0578446,0.0352193,4.99681,4.93115,5.00692,5.10022,0.387326,0.317006,0.354247,0.3834,-9999,-9999
201708,25.938,0.997984,439.811,211.081,0.999328,421.291,0.997984,7.035,0.997984,101.135,0.975806,5.541,1.0,1.594,0.946237,0.2764005891543936,0.9415322580645161,162.21565201349352,0.9784946236559141,479.2488280409031,0.967741935483871,13.783295811248125,0.9670698924731184,95.33068130477996,0.9784946236559141,25.152987297069366,0.9784946236559141,454.309636193187,0.9784946236559141,430.262,0.824597,24.073,23.792,23.384,22.918,22.088,21.429,20.47,19.614,20.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.07363,0.0,26.8195,0.0,33.1816,-9999,10.4081,0.249328,12.8771,1.01915,4.12496,0.0,-9999,4.12496,4.13564,4.2121,0.0,0.0,0.0,4.661,4.58964,4.66522,4.68915,0.529577,0.436045,0.46468,0.542184,4.81304,4.74812,4.82279,4.91253,0.337696,0.279201,0.308656,0.332097,-9999,-9999
201709,23.733,1.0,384.246,230.256,1.0,385.263,1.0,8.813,1.0,101.109,0.990972,2.227,1.0,1.677,0.970833,0.2555175553436897,0.945138888888889,153.72502083333336,1.0,485.4205833333333,1.0,14.75508333333333,1.0,65.14708333333333,1.0,23.52678472222222,1.0,439.27020833333336,1.0,427.11,0.990972,19.213,18.894,18.636,18.533,18.58,18.783,19.735,19.427,20.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.97817,0.0,27.9875,0.0,34.3876,-9999,19.0217,0.925694,23.3716,0.478792,3.47453,0.0,-9999,3.45752,3.47453,3.48557,0.0,0.0,0.0,4.29921,4.24475,4.30222,4.32203,0.816861,0.767047,0.813646,0.844697,4.50949,4.44624,4.51862,4.59419,0.340647,0.279162,0.311487,0.336873,-9999,-9999
201710,19.314,1.0,313.703,178.595,1.0,353.997,1.0,6.64,1.0,101.374,0.987903,2.949,1.0,2.42,0.961022,0.37936010413084226,0.9435483870967741,101.02553577556623,0.9952956989247311,389.640301724138,0.9354838709677419,13.250043103448277,0.9354838709677419,51.111670057521984,0.9952956989247311,18.757616882374087,0.9952956989247311,414.0845532241723,0.9952956989247311,419.052,0.397177,17.934,17.77,17.801,17.949,18.308,18.648,19.657,17.091,20.304,0.0759409,0.0759409,0.0759409,0.0759409,0.0759409,0.0759409,0.0759409,0.0,0.0759409,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.3466,0.0,32.3161,-9999,21.4537,0.201613,26.3147,0.669635,3.16497,0.0,-9999,3.15181,3.16497,3.18436,0.0,0.0,0.0,3.60214,3.57766,3.60214,3.61543,0.419222,0.400057,0.41778,0.447368,3.91097,3.85152,3.91517,3.95964,0.298797,0.246854,0.272983,0.293883,-9999,-9999
