TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,9.849,0.0,216.751,82.865,0.0,334.111,0.0,2.28,0.0,101.419,0.0,5.452,0.0,2.726,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.2778,0.0,30.9309,-9999,53.4997,0.0,65.4642,-9999,3.67099,0.0,-9999,3.67099,3.67142,3.84887,0.0,0.0,0.0,2.26272,2.2464,2.25906,2.26272,-1.41888,-1.58877,-1.41888,-1.38859,2.68849,2.63829,2.67712,2.71412,0.186033,0.165743,0.18024,0.18708,-9999,-9999
20170108,20170114,12.439,0.0,223.272,128.945,0.0,319.085,0.0,4.136,0.0,102.631,0.0,0.14,0.0,2.284,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.492,0.0,30.6207,-9999,52.7,0.0,63.3027,-9999,3.65015,0.0,-9999,3.64985,3.65015,3.83145,0.0,0.0,0.0,2.64056,2.63205,2.64016,2.64692,-1.02417,-1.19482,-1.01908,-1.00278,3.03045,2.97855,3.03045,3.05949,0.249543,0.213656,0.235697,0.250938,-9999,-9999
20170115,20170121,18.28,0.0,232.306,79.792,0.0,376.261,0.0,3.664,0.0,101.292,0.0,5.52,0.0,2.092,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.2096,0.0,32.5933,-9999,53.3314,0.0,68.9518,-9999,3.71551,0.0,-9999,3.71551,3.71636,3.89745,0.0,0.0,0.0,3.40519,3.39252,3.40519,3.41483,-0.319046,-0.479016,-0.322995,-0.312197,3.7595,3.70038,3.7634,3.79575,0.200081,0.178635,0.194227,0.201208,-9999,-9999
20170122,20170128,11.138,0.0,243.616,151.483,0.0,303.317,0.0,3.853,0.0,100.838,0.0,5.097,0.0,2.67,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.2778,0.0,32.5809,-9999,53.4997,0.0,68.9563,-9999,3.67099,0.0,-9999,3.67099,3.67142,3.84887,0.0,0.0,0.0,2.38354,2.3664,2.37974,2.38354,-1.29811,-1.46795,-1.29811,-1.26703,2.82559,2.77434,2.81557,2.85254,0.267424,0.226602,0.250482,0.268915,-9999,-9999
20170129,20170204,11.264,0.0,256.903,141.666,0.0,306.682,0.0,5.156,0.0,101.825,0.0,0.469,0.0,2.352,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.492,0.0,33.5639,-9999,52.7,0.0,69.3872,-9999,3.65015,0.0,-9999,3.64985,3.65015,3.83145,0.0,0.0,0.0,2.40799,2.39243,2.4048,2.40799,-1.25746,-1.42739,-1.25634,-1.22313,2.8447,2.79339,2.8362,2.87184,0.261448,0.223326,0.246466,0.262909,-9999,-9999
20170205,20170211,14.056,0.0,271.816,107.626,0.0,345.362,0.0,3.738,0.0,101.575,0.0,2.835,0.0,2.467,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.2096,0.0,34.7434,-9999,53.3314,0.0,73.5004,-9999,3.71551,0.0,-9999,3.71551,3.71636,3.89745,0.0,0.0,0.0,2.7966,2.78749,2.79616,2.80288,-0.928805,-1.10347,-0.928805,-0.911522,3.20513,3.15062,3.20513,3.23586,0.225989,0.198729,0.217406,0.227258,-9999,-9999
20170212,20170218,13.517,0.0,287.976,143.952,0.0,327.802,0.0,5.254,0.0,101.299,0.0,1.522,0.0,2.104,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.2778,0.0,35.084,-9999,53.4997,0.0,74.2542,-9999,3.67099,0.0,-9999,3.67099,3.67142,3.84887,0.0,0.0,0.0,2.72199,2.71178,2.72143,2.72581,-0.959024,-1.1295,-0.958914,-0.939382,3.13587,3.08198,3.13587,3.16591,0.264905,0.226922,0.250277,0.266386,-9999,-9999
20170219,20170225,16.886,0.0,304.983,152.204,0.0,346.631,0.0,4.98,0.0,101.004,0.0,6.265,0.0,2.162,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.492,0.0,34.6304,-9999,52.7,0.0,71.5921,-9999,3.65015,0.0,-9999,3.64985,3.65015,3.83145,0.0,0.0,0.0,3.20017,3.19336,3.20017,3.20605,-0.463838,-0.625396,-0.459985,-0.455474,3.57421,3.51658,3.57421,3.60861,0.267729,0.228625,0.252273,0.269225,-9999,-9999
20170226,20170304,13.835,0.0,322.447,184.482,0.604167,316.025,0.604167,5.78,0.0,102.119,0.0,2.413,0.60119,2.793,0.595238,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.292,0.0,24.5822,0.0,34.3965,-9999,49.0611,0.0,68.6484,-9999,3.71551,0.0,-9999,3.71551,3.71636,3.89745,0.0,0.0,0.0,2.77418,2.76519,2.77376,2.78059,-0.95121,-1.13088,-0.951175,-0.934117,3.17979,3.12565,3.17979,3.21028,0.296384,0.250157,0.276676,0.298036,-9999,-9999
20170305,20170311,15.458,0.0,339.995,155.331,1.0,347.888,1.0,5.55,0.0,102.097,0.0,8.885,1.0,2.706,0.928571,0.5090240226240171,0.923611111111111,95.13927083333334,1.0,-9999,-9999,-9999,-9999,82.36875000000002,1.0,17.66236111111111,1.0,403.57430555555555,1.0,423.388,0.154762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.62203,0.0,23.6914,0.0,32.4786,-9999,28.1632,0.0,38.6092,-9999,4.907,0.0,-9999,4.16931,4.907,5.02562,0.0,0.0,0.0,2.99395,2.98592,2.99395,2.99597,-1.92257,-2.03304,-1.92114,-1.91103,3.38673,3.33064,3.38673,3.41926,0.274987,0.235845,0.259997,0.276524,-9999,-9999
