ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.06,-9999
1,TA,ERA_RMSE,1.16,-9999
1,TA,ERA_CORRELATION,0.98,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,-0.12,-9999
2,PA,ERA_RMSE,0.08,-9999
2,PA,ERA_CORRELATION,0.98,-9999
3,VPD,ERA_SLOPE,1.01,-9999
3,VPD,ERA_INTERCEPT,-0.06,-9999
3,VPD,ERA_RMSE,2.97,-9999
3,VPD,ERA_CORRELATION,0.91,-9999
4,WS,ERA_SLOPE,0.89,-9999
4,WS,ERA_INTERCEPT,0.33,-9999
4,WS,ERA_RMSE,1.00,-9999
4,WS,ERA_CORRELATION,0.72,-9999
5,P,ERA_SLOPE,0.19,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,0.99,-9999
6,SW_IN,ERA_INTERCEPT,5.31,-9999
6,SW_IN,ERA_RMSE,101.02,-9999
6,SW_IN,ERA_CORRELATION,0.94,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,0.02,-9999
7,LW_IN,ERA_RMSE,18.35,-9999
7,LW_IN,ERA_CORRELATION,0.92,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.11,-9999
8,LW_IN_JSB,ERA_RMSE,28.29,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.88,-9999
