TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,17.211,0.0,261.733,149.051,0.0,351.323,0.0,5.432,0.0,101.701,0.0,1.691,0.0,2.64,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.31796,0.0,19.4505,0.0,-9999,-9999,99.7309,0.0,-9999,-9999,-1.00661,0.0,-9999,-1.55051,-1.17966,-0.632827,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201702,18.969,0.00818452,313.787,181.734,0.00892857,357.874,0.00818452,6.49,0.00818452,101.519,0.00744048,2.023,0.00744048,2.338,0.00744048,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.46552,0.0,19.6699,0.0,-9999,-9999,99.5047,0.0,-9999,-9999,-0.985727,0.0,-9999,-1.52815,-1.16329,-0.616783,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201703,19.383,1.0,378.006,247.818,1.0,349.302,1.0,9.047,1.0,101.774,0.99664,0.421,1.0,2.67,0.817204,0.24756248684101181,0.801747311827957,131.18295913406544,0.9986559139784946,502.5993413978494,1.0,42.722849462365595,1.0,64.78608870967741,1.0,42.30636424731182,1.0,426.87806423015326,0.9993279569892473,-9999,-9999,20.915,20.888,20.788,20.603,20.621,20.477,20.558,20.584,20.864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.472774,0.0,19.2748,0.0,-9999,-9999,69.1084,0.0604839,-9999,-9999,-0.994362,0.0,-9999,-1.5372,-1.16675,-0.623864,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201704,22.608,0.997917,432.756,276.118,0.994444,369.092,0.997917,10.818,0.997917,101.371,0.992361,0.05,1.0,2.774,0.986111,0.26284787591583453,0.9784722222222222,152.5031973514212,0.9965277777777779,555.3530699289406,0.9965277777777779,47.69823062015505,0.9965277777777779,90.52027616279068,0.9965277777777779,46.21499677002584,0.9965277777777779,449.97971253229974,0.9965277777777779,-9999,-9999,24.773,24.563,23.952,23.332,23.006,22.391,21.819,21.395,21.501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.2918,0.274306,19.4582,0.0,-9999,-9999,87.0885,0.669444,-9999,0.866369,-0.995896,0.0,-9999,-1.53897,-1.17012,-0.624748,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201705,25.117,1.0,465.045,290.939,1.0,392.946,1.0,12.27,1.0,101.152,1.0,1.522,1.0,2.664,0.947581,0.2622293860067218,0.9301075268817205,174.01947580645162,1.0,599.4750201612904,1.0,48.659845430107524,1.0,89.41290322580646,1.0,46.1646505376344,1.0,468.626008064516,1.0,432.858,0.756048,27.688,27.419,26.685,25.895,25.374,24.493,23.498,22.741,22.699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.61414,0.995296,19.4505,0.0,25.9972,-9999,90.2565,0.993952,120.635,0.865123,-1.00661,0.0,-9999,-1.55051,-1.17966,-0.632827,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201706,25.643,0.997222,476.216,203.298,0.997222,435.516,0.997222,6.145,0.997222,101.226,0.997917,11.946,1.0,1.768,0.0,-9999,-9999,144.1913379137116,0.9944444444444444,417.5884633458646,0.9888888888888888,28.167523913951545,0.9888888888888888,100.74270833333335,0.9958333333333333,28.775512854609932,0.9944444444444444,467.62233303782506,0.9951388888888888,432.673,0.316667,27.331,27.202,26.893,26.485,26.28,25.736,24.833,23.966,23.851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.76189,0.996528,19.4582,0.0,26.3283,-9999,54.1512,0.172917,73.2703,1.10911,-0.995896,0.0,-9999,-1.53897,-1.17012,-0.624748,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201707,26.929,1.0,469.557,230.786,1.0,432.136,1.0,7.696,1.0,101.418,0.997984,4.971,1.0,1.454,0.0,-9999,-9999,161.1886424731183,1.0,480.9786765248227,0.7936827956989246,31.145944326241132,0.7936827956989246,83.55490591397849,1.0,35.01970430107527,1.0,473.70517473118286,1.0,417.47,0.0,28.56,28.417,28.128,27.725,27.573,27.05,26.119,25.168,25.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.02088,0.995296,19.6494,0.0,26.9884,-9999,64.9856,0.0,89.2575,-9999,-0.986711,0.0,-9999,-1.5292,-1.16395,-0.617554,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201708,27.299,1.0,444.072,237.802,0.998656,437.077,1.0,7.848,1.0,101.251,0.995968,4.825,1.0,1.645,0.0,-9999,-9999,170.69742164264468,0.9993279569892474,477.20897251773056,0.9670698924731183,31.193929521276598,0.9670698924731183,81.92641129032256,1.0,37.229684139784936,1.0,474.96693548387094,1.0,412.22,0.406586,28.815,28.69,28.439,28.063,27.952,27.496,26.726,25.882,25.751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.76089,0.99664,19.2748,0.0,25.7624,-9999,86.2711,0.0,115.308,-9999,-0.994362,0.0,-9999,-1.5372,-1.16675,-0.623864,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201709,26.484,0.840278,398.486,210.845,0.840972,427.809,0.840278,7.431,0.840278,100.96,0.822917,11.009,1.0,2.232,0.0,-9999,-9999,145.78744998777208,0.8194444444444444,443.5178278735632,0.8201388888888889,29.629549712643676,0.8201388888888889,82.1721120689655,0.8201388888888889,34.47447298850575,0.8201388888888889,469.1012844827586,0.8201388888888889,421.667,0.820139,27.501,27.471,27.406,27.189,27.219,26.982,26.552,25.98,25.966,0.840278,0.840278,0.840278,0.840278,0.840278,0.839583,0.840278,0.840278,0.840278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.54304,0.820833,19.4582,0.0,26.3283,-9999,96.0978,0.0,130.027,-9999,-0.995896,0.0,-9999,-1.53897,-1.17012,-0.624748,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201710,23.333,1.0,336.944,178.565,1.0,397.868,1.0,6.648,1.0,101.263,0.997984,3.109,1.0,2.881,0.0,-9999,-9999,102.10059497254633,0.9993279569892473,379.93970430107527,1.0,26.47086021505377,1.0,71.85981182795697,1.0,30.31280241935484,1.0,448.5364247311828,1.0,417.914,1.0,24.667,24.783,24.994,25.028,25.272,25.41,25.648,25.497,25.632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.85297,1.0,19.4505,0.0,26.7152,-9999,49.0505,0.0,67.3707,-9999,-1.00661,0.0,-9999,-1.55051,-1.17966,-0.632827,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
