TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,7.643,0.0,192.036,32.325,0.0,358.969,0.0,2.661,0.0,95.071,0.0,2.957,0.0,1.599,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,4.33818,4.16228,4.29698,4.34749,6.39401,5.91713,6.26724,6.66225,1.72374,1.68871,1.69781,3.37761,1.21119,1.19721,1.21293,1.80485,-9999,-9999
20170102,11.832,0.0,192.653,43.751,0.0,370.186,0.0,2.995,0.0,95.099,0.0,10.229,0.0,1.595,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,4.94622,4.88313,4.94641,4.95911,6.51882,6.37334,6.51882,7.0243,1.84442,1.80695,1.81668,3.61409,1.59225,1.57466,1.59408,2.3073,-9999,-9999
20170103,12.552,0.0,193.329,36.694,0.0,371.881,0.0,3.088,0.0,94.183,0.0,9.778,0.0,2.969,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,5.05118,5.0069,5.05131,5.06012,6.85393,6.65497,6.8394,7.03502,1.8652,1.8273,1.83714,3.65479,1.37596,1.3601,1.37794,2.0469,-9999,-9999
20170104,5.664,0.0,194.061,91.742,0.0,299.893,0.0,3.384,0.0,94.488,0.0,2.653,0.0,2.266,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,4.04687,3.79115,3.99523,4.05857,6.10359,5.57341,5.991,6.38572,1.66181,1.62805,1.63682,3.25627,2.70699,2.68497,2.7054,3.40338,-9999,-9999
20170105,1.523,0.0,194.849,52.383,0.0,295.922,0.0,3.58,0.0,94.475,0.0,0.739,0.0,0.927,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,3.43676,3.0598,3.36479,3.45314,5.01422,4.5117,5.0137,5.51558,1.52902,1.49795,1.50602,2.99606,1.82904,1.80998,1.83045,2.56482,-9999,-9999
20170106,-1.423,0.0,195.695,56.087,0.0,299.919,0.0,2.785,0.0,94.799,0.0,4.156,0.0,1.714,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,3.00234,2.5576,2.91928,3.02131,4.8113,4.1218,4.72023,4.98533,1.4273,1.39829,1.40583,2.79674,1.93161,1.91176,1.93294,2.69561,-9999,-9999
20170107,-7.32,0.0,196.595,124.859,0.0,238.179,0.0,2.404,0.0,95.695,0.0,4.327,0.0,2.182,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,2.15595,1.67189,2.06237,2.17755,4.21635,3.47804,4.09798,4.4807,1.20246,1.17803,1.18438,2.35619,3.4587,3.43355,3.45488,4.16662,-9999,-9999
20170108,-9.31,0.0,197.551,139.22,0.0,205.749,0.0,2.663,0.0,96.627,0.0,0.0,0.0,0.838,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.2993,-9999,-9999,-9999,-9999,-9999,3.19904,-9999,-9999,-9999,-9999,-9999,-1.57134,0.0,-9999,-2.07789,-1.57134,-1.45613,0.0,0.0,0.0,1.89454,1.43023,1.80326,1.91571,3.47377,2.89585,3.47377,3.97362,1.11729,1.09459,1.10048,2.1893,3.72889,3.70324,3.72391,4.41401,-9999,-9999
20170109,-3.119,0.0,198.562,137.924,0.0,246.175,0.0,3.914,0.0,96.412,0.0,0.0,0.0,2.027,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.3593,-9999,-9999,-9999,-9999,-9999,4.29616,-9999,-9999,-9999,-9999,-9999,-1.80187,0.0,-9999,-1.98192,-1.80095,-1.55603,0.0,0.0,0.0,2.76925,2.33801,2.68755,2.78802,4.57813,3.90328,4.4885,4.75223,1.35487,1.32734,1.33449,2.65483,3.71955,3.69368,3.71474,4.41686,-9999,-9999
20170110,4.88,0.0,199.628,94.367,0.0,303.858,0.0,5.125,0.0,95.67,0.0,0.12,0.0,3.276,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8367,-9999,-9999,-9999,-9999,-9999,7.11198,-9999,-9999,-9999,-9999,-9999,-2.05235,0.0,-9999,-2.32354,-2.0499,-1.79605,0.0,0.0,0.0,3.93091,3.65097,3.87645,3.94327,5.98788,5.4446,5.87935,6.27064,1.63443,1.60122,1.60985,3.20262,2.87543,2.85105,2.87432,3.66158,-9999,-9999
