TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,7.454,0.0,209.141,83.418,0.0,318.325,0.0,4.024,0.0,94.932,0.0,3.632,0.0,2.239,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4771,0.0,95.3488,-9999,4.94141,0.0,7.30737,-9999,-1.6674,0.0,-9999,-2.1341,-1.81638,-1.60897,0.0,0.0,0.0,4.31478,4.15805,4.27018,4.31478,6.14435,5.7291,6.05586,6.44107,1.70946,1.66989,1.67888,3.33995,2.47004,2.47594,2.49619,3.21317,-9999,-9999
201702,9.374,0.0,267.586,124.707,0.0,311.606,0.0,5.307,0.0,94.975,0.0,2.024,0.0,1.988,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.527,0.0,96.1217,-9999,4.80942,0.0,7.16427,-9999,-1.65395,0.0,-9999,-2.126,-1.80005,-1.5975,0.0,0.0,0.0,4.58989,4.46811,4.57796,4.59027,6.40004,6.05807,6.35631,6.7099,1.77256,1.73153,1.74085,3.46324,3.37223,3.38151,3.40316,4.17781,-9999,-9999
201703,9.805,0.0,344.625,178.123,0.0,307.691,0.0,5.565,0.0,95.376,0.0,3.239,0.0,2.244,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4939,0.0,97.6627,-9999,4.85058,0.0,7.3452,-9999,-1.65984,0.0,-9999,-2.12308,-1.8083,-1.60123,0.0,0.0,0.0,4.6479,4.54611,4.6428,4.65649,6.4648,6.16972,6.43642,6.76589,1.78081,1.73959,1.74896,3.47938,4.42032,4.43319,4.4548,5.22539,-9999,-9999
201704,16.336,0.0,416.687,205.547,0.0,342.401,0.0,6.714,0.0,94.985,0.0,3.429,0.0,1.922,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4984,0.0,95.3804,-9999,4.86906,0.0,7.20037,-9999,-1.66061,0.0,-9999,-2.12779,-1.80852,-1.60274,0.0,0.0,0.0,5.57027,5.56901,5.57808,5.68086,7.37232,7.29386,7.4605,7.69679,1.96363,1.91818,1.92851,3.83656,4.83368,4.85187,4.87383,5.85531,-9999,-9999
201705,18.083,0.0,464.874,228.679,0.0,353.511,0.0,6.777,0.0,94.748,0.0,3.671,0.0,1.915,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4771,0.0,96.0472,-9999,4.94141,0.0,7.36089,-9999,-1.6674,0.0,-9999,-2.1341,-1.81638,-1.60897,0.0,0.0,0.0,5.81273,5.81061,5.82589,5.9967,7.61821,7.61009,7.75024,7.94555,2.00905,1.96254,1.97311,3.9253,5.29953,5.319,5.34134,6.3267,-9999,-9999
201706,20.944,0.0,484.208,231.688,0.0,374.879,0.0,7.415,0.0,95.078,0.0,2.862,0.0,1.379,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4984,0.0,93.7372,-9999,4.86906,0.0,7.07632,-9999,-1.66061,0.0,-9999,-2.12779,-1.80852,-1.60274,0.0,0.0,0.0,6.2023,6.19869,6.22463,6.5145,7.9923,8.06911,8.12473,8.36682,2.07959,2.03145,2.0424,4.06313,5.41253,5.43356,5.4574,6.55795,-9999,-9999
201707,23.085,0.0,474.133,239.028,0.0,389.746,0.0,8.022,0.0,95.229,0.0,2.424,0.0,1.34,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.718743,0.0,64.5243,0.0,92.6646,-9999,4.81519,0.0,6.91519,-9999,-1.6546,0.0,-9999,-2.12618,-1.80087,-1.59801,0.0,0.0,0.0,6.48484,6.48007,6.5144,6.90019,8.26122,8.34976,8.50822,8.68931,2.12854,2.07927,2.09047,4.15876,5.4447,5.46789,5.49086,6.65182,-9999,-9999
201708,21.91,0.0,435.337,204.949,0.0,385.307,0.0,6.938,0.0,95.177,0.0,3.822,0.0,1.207,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.716277,0.0,64.4939,0.0,90.1968,-9999,4.85058,0.0,6.78369,-9999,-1.65984,0.0,-9999,-2.12308,-1.8083,-1.60123,0.0,0.0,0.0,6.33147,6.32734,6.35702,6.68918,8.1186,8.19625,8.29902,8.49407,2.10231,2.05365,2.06471,4.10752,4.96761,4.98539,5.0091,6.01039,-9999,-9999
201709,19.257,0.00763889,372.716,189.917,0.00833333,358.975,0.00763889,7.721,0.00763889,95.111,0.00694444,1.188,0.00694444,1.591,0.00694444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.746616,0.00763889,64.4284,0.00763889,89.4542,0.906963,4.9367,0.00763889,6.85426,0.813012,-1.65924,0.00763889,0.13813,-2.12904,-1.80627,-1.60399,0.00763889,0.00763889,0.00763889,5.9716,5.96887,5.98852,6.20822,7.76385,7.80346,7.88063,8.11735,2.03779,1.99062,2.00135,3.98147,4.45054,4.46899,4.48947,5.49596,-9999,-9999
201710,15.313,0.995968,296.065,159.398,0.995968,331.178,0.995968,6.305,0.995968,95.346,0.97379,5.62,0.936828,2.168,0.895161,0.3224805050599495,0.8508064516129032,-9999,-9999,327.2569062805474,0.9919354838709677,14.936678396871947,0.9919354838709677,39.47818548387097,0.9919354838709677,23.02144684750733,0.9919354838709677,394.62625366568915,0.9919354838709677,414.47,0.984543,16.048,16.165,16.674,16.93,0.90121,0.90121,0.90121,0.90121,-9999,-9999,-9999,-9999,-9999,-9999,-2.59618,0.988575,43.7367,0.980511,60.5824,0.727964,-4.76558,0.986559,-6.6011,0.811548,0.405331,0.950941,0.0716285,0.282971,0.360254,0.447187,0.952285,0.955645,0.93078,4.28443,4.24244,4.26605,4.34448,3.8919,3.86956,3.90027,4.01515,3.59206,3.59206,3.88372,3.99071,4.20845,4.122,4.13073,4.20845,-9999,-9999
