TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,4.353,0.0,194.174,62.549,0.0,319.278,0.0,2.985,0.0,94.83,0.0,4.977,0.0,1.893,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4039,0.0,-9999,-9999,5.18948,0.0,-9999,-9999,-1.69067,0.0,-9999,-2.15575,-1.84335,-1.63035,0.0,0.0,0.0,3.85393,3.59931,3.80152,3.86588,5.70175,5.21675,5.61979,6.02533,1.60771,1.57504,1.58352,3.15025,2.71278,1.99603,2.01552,2.71278,-9999,-9999
20170108,20170114,6.271,0.0,200.855,79.73,0.0,316.462,0.0,4.025,0.0,96.071,0.0,1.024,0.0,2.265,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.6128,0.0,-9999,-9999,4.63049,0.0,-9999,-9999,-1.63397,0.0,-9999,-2.12066,-1.77464,-1.58179,0.0,0.0,0.0,4.13752,3.98983,4.10071,4.14597,5.91531,5.53507,5.86591,6.25866,1.65598,1.62233,1.63107,3.24483,3.07766,2.37451,2.394,3.07766,-9999,-9999
20170115,20170121,12.713,0.0,210.147,73.965,0.0,347.954,0.0,4.396,0.0,95.015,0.0,3.751,0.0,1.827,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4786,0.0,-9999,-9999,4.78722,0.0,-9999,-9999,-1.65719,0.0,-9999,-2.10695,-1.80757,-1.59607,0.0,0.0,0.0,5.07171,5.03455,5.07182,5.07933,6.88003,6.70122,6.88003,7.17877,1.86801,1.83006,1.83991,3.66031,3.0519,2.29622,2.31707,3.0519,-9999,-9999
20170122,20170128,7.507,0.0,221.834,97.567,0.0,310.148,0.0,4.238,0.0,93.961,0.0,5.72,0.0,2.562,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4039,0.0,-9999,-9999,5.18948,0.0,-9999,-9999,-1.69067,0.0,-9999,-2.15575,-1.84335,-1.63035,0.0,0.0,0.0,4.31376,4.14853,4.2738,4.32281,6.16049,5.73586,6.06547,6.47002,1.71448,1.67964,1.68869,3.35946,3.48883,2.75664,2.77645,3.48883,-9999,-9999
20170129,20170204,5.556,0.0,235.632,121.002,0.0,285.242,0.0,5.047,0.0,95.073,0.0,1.085,0.0,2.367,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.6128,0.0,-9999,-9999,4.63049,0.0,-9999,-9999,-1.63397,0.0,-9999,-2.12066,-1.77464,-1.58179,0.0,0.0,0.0,4.02857,3.78963,3.97833,4.03998,5.80747,5.35016,5.73401,6.16416,1.65383,1.62022,1.62895,3.24062,4.1787,3.37665,3.39934,4.1787,-9999,-9999
20170205,20170211,8.943,0.0,251.207,111.944,0.0,318.552,0.0,4.854,0.0,94.972,0.0,2.803,0.0,2.549,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4786,0.0,-9999,-9999,4.78722,0.0,-9999,-9999,-1.65719,0.0,-9999,-2.10695,-1.80757,-1.59607,0.0,0.0,0.0,4.52188,4.39621,4.50772,4.5288,6.33204,5.98174,6.27991,6.62922,1.75475,1.7191,1.72836,3.43838,3.93669,3.15056,3.17253,3.93669,-9999,-9999
20170212,20170218,8.778,0.0,268.187,123.067,0.0,299.271,0.0,5.826,0.0,94.727,0.0,1.605,0.0,1.996,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4039,0.0,89.1824,-9999,5.18948,0.0,7.18605,-9999,-1.69067,0.0,-9999,-2.15575,-1.84335,-1.63035,0.0,0.0,0.0,4.49787,4.36392,4.46741,4.50521,6.34397,5.9635,6.28085,6.65404,1.75181,1.71621,1.72545,3.43261,4.10688,3.31272,3.33394,4.10688,-9999,-9999
20170219,20170225,13.035,0.0,286.179,140.941,0.0,330.227,0.0,5.572,0.0,94.756,0.0,2.222,0.0,1.657,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.6128,0.0,98.3001,-9999,4.63049,0.0,7.04469,-9999,-1.63397,0.0,-9999,-2.12066,-1.77464,-1.58179,0.0,0.0,0.0,5.11208,5.08998,5.11215,5.11692,6.88718,6.72935,6.88718,7.23281,1.87317,1.83511,1.84499,3.67042,4.47176,3.66586,3.68664,4.47176,-9999,-9999
20170226,20170304,7.792,0.0,304.786,159.979,0.0,289.884,0.0,5.069,0.0,95.593,0.0,2.921,0.0,2.159,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4786,0.0,96.5098,-9999,4.78722,0.0,7.16538,-9999,-1.65719,0.0,-9999,-2.10695,-1.80757,-1.59607,0.0,0.0,0.0,4.35405,4.19889,4.31644,4.36259,6.16481,5.75471,6.0826,6.46833,1.7213,1.68632,1.69541,3.37283,4.7916,4.05132,4.07184,4.7916,-9999,-9999
20170305,20170311,9.913,0.0,323.626,159.956,0.0,306.02,0.0,6.07,0.0,95.657,0.0,3.874,0.0,2.163,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.4039,0.0,95.4766,-9999,5.18948,0.0,7.69322,-9999,-1.69067,0.0,-9999,-2.15575,-1.84335,-1.63035,0.0,0.0,0.0,4.66312,4.55824,4.66125,4.67147,6.50862,6.19261,6.47517,6.8192,1.78476,1.7485,1.75792,3.49719,4.94098,4.07047,4.09264,4.94098,-9999,-9999
