ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.331235,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.343329,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.317941,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.335267,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.32015,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.348961,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,48.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.329747,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.341118,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.313224,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.332248,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.317077,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.348176,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,46.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.326076,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.341118,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.313224,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.332248,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.317077,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.348176,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,46.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.326076,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.341118,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.313224,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.332248,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.317077,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.348176,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,68.75,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.360991,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.341118,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.313224,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.332248,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.317077,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.348176,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,66.25,-9999
