TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-0.09,0.0,142.546,83.459,0.0,248.38,0.0,2.117,0.0,97.693,0.0,1.298,0.0,3.126,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.50349,-9999,8.1007,-9999,10.4855,-9999,-9999,-9999,58.3624,-9999,75.5444,-9999,-9999,-9999,1.54882,0.0,-9999,1.5385,1.53879,1.54882,0.0,0.0,0.0,1.89277,1.88008,1.89277,1.89443,0.343949,0.341292,0.343949,0.353534,1.03401,1.03401,1.04627,1.05224,0.109266,0.109266,0.113916,0.116472,-9999,-9999
20170102,-2.269,0.0,143.172,62.113,0.0,270.753,0.0,1.714,0.0,98.856,0.0,0.073,0.0,1.606,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.49068,-9999,7.18786,-9999,9.30396,-9999,-9999,-9999,66.0384,-9999,85.4801,-9999,-9999,-9999,1.39106,0.0,-9999,1.37687,1.39106,1.3982,0.0,0.0,0.0,1.61622,1.60207,1.61622,1.61808,0.225163,0.193997,0.225163,0.239927,0.878198,0.878198,0.889104,0.894086,0.10027,0.10027,0.104452,0.108302,-9999,-9999
20170103,1.136,0.0,143.857,7.823,0.0,328.101,0.0,0.853,0.0,97.235,0.0,11.116,0.0,4.015,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.5916,-9999,2.31545,-9999,2.99712,-9999,-9999,-9999,42.0504,-9999,54.4301,-9999,-9999,-9999,1.6913,0.0,-9999,1.62156,1.6913,1.70576,0.0,0.0,0.0,2.05668,2.04513,2.05668,2.0576,0.365385,0.335635,0.365385,0.437881,1.12676,1.12676,1.13979,1.14636,0.0479036,0.0479036,0.0495282,0.0583529,-9999,-9999
20170104,1.841,0.0,144.601,33.461,0.0,300.306,0.0,1.478,0.0,95.505,0.0,2.24,0.0,2.86,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.50349,-9999,8.1007,-9999,10.4229,-9999,-9999,-9999,58.3624,-9999,75.0932,-9999,-9999,-9999,1.54882,0.0,-9999,1.5385,1.53879,1.54882,0.0,0.0,0.0,2.16178,2.1514,2.16172,2.16178,0.612959,0.61261,0.612959,0.620955,1.18687,1.18687,1.20033,1.20729,0.0891157,0.0891157,0.0926661,0.0990764,-9999,-9999
20170105,-4.173,0.0,145.403,87.157,0.0,222.988,0.0,2.384,0.0,96.714,0.0,0.125,0.0,3.948,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.49068,-9999,7.18786,-9999,9.20673,-9999,-9999,-9999,66.0384,-9999,84.5867,-9999,-9999,-9999,1.39106,0.0,-9999,1.37687,1.39106,1.3982,0.0,0.0,0.0,1.36917,1.35356,1.36917,1.37122,-0.0218934,-0.0545087,-0.0218934,-0.00590737,0.738799,0.738799,0.748513,0.752606,0.110562,0.110562,0.115278,0.117669,-9999,-9999
20170106,-5.768,0.0,146.264,87.651,0.0,240.448,0.0,1.607,0.0,97.449,0.0,1.382,0.0,1.872,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.5916,-9999,2.31545,-9999,2.95535,-9999,-9999,-9999,42.0504,-9999,53.6716,-9999,-9999,-9999,1.6913,0.0,-9999,1.62156,1.6913,1.70576,0.0,0.0,0.0,1.18859,1.17272,1.18859,1.191,-0.502703,-0.536774,-0.502703,-0.426191,0.638072,0.638072,0.64741,0.650277,0.107544,0.107544,0.112117,0.114751,-9999,-9999
20170107,-9.348,0.0,147.183,26.436,0.0,252.677,0.0,1.009,0.0,98.009,0.0,6.92,0.0,2.703,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.50349,-9999,8.1007,-9999,10.3102,-9999,-9999,-9999,58.3624,-9999,74.2811,-9999,-9999,-9999,1.54882,0.0,-9999,1.5385,1.53879,1.54882,0.0,0.0,0.0,0.821589,0.806277,0.821589,0.824845,-0.727228,-0.73251,-0.727228,-0.713654,0.434925,0.434925,0.441379,0.443766,0.0833078,0.0833078,0.0865585,0.0938132,-9999,-9999
20170108,-10.695,0.0,148.16,91.329,0.0,194.519,0.0,1.197,0.0,97.97,0.0,0.26,0.0,3.163,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.49068,-9999,7.18786,-9999,9.16253,-9999,-9999,-9999,66.0384,-9999,84.1806,-9999,-9999,-9999,1.39106,0.0,-9999,1.37687,1.39106,1.3982,0.0,0.0,0.0,0.712945,0.698517,0.712945,0.716193,-0.678113,-0.709552,-0.678113,-0.660681,0.37582,0.37582,0.381397,0.383595,0.110985,0.110985,0.115718,0.118129,-9999,-9999
20170109,-12.648,0.0,149.193,79.668,0.0,194.762,0.0,1.023,0.0,99.257,0.0,0.002,0.0,2.404,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.5916,-9999,2.31545,-9999,2.95156,-9999,-9999,-9999,42.0504,-9999,53.6027,-9999,-9999,-9999,1.6913,0.0,-9999,1.62156,1.6913,1.70576,0.0,0.0,0.0,0.566637,0.553603,0.566637,0.569798,-1.12466,-1.1559,-1.12466,-1.04739,0.296514,0.296514,0.300944,0.303175,0.109535,0.109535,0.11418,0.116988,-9999,-9999
20170110,-6.69,0.0,150.285,76.65,0.0,255.34,0.0,1.047,0.0,98.967,0.0,1.098,0.0,3.333,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.50349,-9999,8.1007,-9999,10.3261,-9999,-9999,-9999,58.3624,-9999,74.396,-9999,-9999,-9999,1.54882,0.0,-9999,1.5385,1.53879,1.54882,0.0,0.0,0.0,1.18048,1.16718,1.18048,1.18224,-0.368336,-0.371608,-0.368336,-0.356506,0.637269,0.637269,0.645608,0.649146,0.107107,0.107107,0.111638,0.114611,-9999,-9999
