TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-1.649,0.0,160.169,68.01,0.0,268.049,0.0,1.658,0.0,97.27,0.0,3.57,0.0,3.075,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.52778,0.0,5.94002,0.0,8.32029,-9999,55.5766,0.0,77.847,-9999,1.54389,0.0,-9999,1.51175,1.54389,1.54581,0.0,0.0,0.0,1.73595,1.72372,1.73595,1.73756,0.192059,0.17203,0.192059,0.223751,0.943785,0.947536,0.95885,0.964307,0.110365,0.10194,0.10618,0.110365,-9999,-9999
201702,-1.002,0.00892857,222.419,117.969,0.00967262,263.209,0.00892857,2.031,0.00892857,97.015,0.00744048,3.466,0.00744048,3.217,0.00446429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.53111,0.00892857,5.7885,0.00892857,7.73172,0.260258,54.8602,0.00892857,73.2768,1.36842,1.571,0.00892857,0.0103683,1.53945,1.571,1.57126,0.00892857,0.00892857,0.00892857,1.83528,1.82453,1.83528,1.83637,0.264284,0.24694,0.264284,0.29456,1.00124,1.00493,1.0166,1.02245,0.132317,0.124008,0.129284,0.132317,-9999,-9999
201703,-2.475,1.0,309.276,150.684,1.0,247.055,1.0,2.305,1.0,97.487,0.998656,1.039,1.0,3.8,0.902554,0.722477569536618,0.8965053763440859,66.26150711084918,0.9973118279569892,294.98083482538067,0.9973118279569892,35.22217623815065,0.9973118279569892,54.874961144599276,0.9973118279569892,24.57319830304478,0.9973118279569892,306.9446372708464,0.9973118279569892,415.788,0.96371,0.352,0.94,2.119,2.03,2.589,2.544,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.1633,0.899194,9.50133,0.971102,12.691,0.155713,45.2423,0.992608,60.4302,0.740762,0.607139,0.922715,0.00893739,0.597921,0.602906,0.60434,0.901882,0.922715,0.922715,0.846684,0.816614,0.836564,0.844173,0.236166,0.215628,0.233892,0.240718,0.607,0.538025,0.546243,0.600871,0.089413,0.0769771,0.083414,0.0860008,-9999,-9999
201704,8.917,1.0,396.256,176.882,1.0,312.226,1.0,5.043,1.0,97.419,0.998611,2.684,1.0,3.077,0.859722,0.6014640688861457,0.8333333333333335,103.08364428384213,0.99375,353.2985852541372,0.9979166666666667,25.43655804810361,0.9979166666666667,82.58447951999179,0.9965277777777779,22.984054945266728,0.9979166666666667,363.85542652550794,0.9944444444444446,417.505,0.981944,6.322,6.078,5.655,4.946,5.151,-9999,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.46269,0.984028,24.8646,0.969444,31.3534,0.342266,54.558,0.976389,68.7958,0.941072,1.23364,0.95625,0.0203566,1.22063,1.2327,1.24136,0.959028,0.949306,0.950694,2.26609,2.25378,2.27284,2.29346,1.03245,1.03315,1.04227,1.05135,1.75494,1.73732,1.88591,2.00487,0.974484,0.785289,0.8622,0.964678,-9999,-9999
201705,11.306,1.0,459.108,176.171,1.0,336.045,1.0,4.882,1.0,97.07,0.997312,5.682,1.0,2.854,0.790995,0.5328627894348844,0.7345430107526881,112.99847351740223,0.9952956989247311,359.8951868727184,0.9966397849462366,18.394391493340496,0.9966397849462366,103.29092449742872,0.9973118279569892,25.149395453482942,0.9973118279569892,376.66382363253854,0.9973118279569892,414.329,0.983871,10.163,10.022,9.646,8.963,9.054,-9999,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.65563,0.993952,41.741,0.97043,51.3359,0.552015,44.0131,0.991935,54.1303,0.800732,1.28301,0.832661,0.0360999,1.24653,1.29336,1.47702,0.832661,0.830645,0.817204,4.18723,4.10499,4.18723,5.08317,2.90422,2.87194,2.95483,3.4613,4.44379,4.48251,4.71735,4.87041,3.51056,3.4703,3.56393,3.63232,-9999,-9999
201706,17.959,1.0,486.268,238.886,1.0,356.307,1.0,7.556,1.0,97.183,0.997917,3.909,1.0,2.767,0.897222,0.49021626915260674,0.8722222222222222,148.10198316245246,0.9972222222222222,485.5038476590606,0.9965277777777778,16.62992330275465,0.9965277777777778,101.49686671292012,0.9979166666666667,40.10095922628226,0.9979166666666667,409.910833718779,0.9979166666666667,408.1,0.98125,14.693,14.339,14.378,12.631,12.502,-9999,0.815972,0.815972,0.815972,0.815278,0.815278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.83945,0.990278,80.7983,0.988889,107.775,0.804149,26.1326,0.990972,34.8576,0.630835,-3.55013,0.633333,0.102802,-3.63583,-3.56132,-3.51029,0.639583,0.633333,0.6,5.76247,5.7644,5.91821,6.1047,9.31719,9.31941,9.51745,9.6761,5.03859,4.66068,5.10902,5.26533,8.9877,8.60722,8.7012,8.82921,-9999,-9999
201707,19.799,0.99328,472.923,226.236,0.99328,368.15,0.99328,7.079,0.99328,97.402,0.991935,2.208,1.0,2.363,0.909946,0.38484799432967354,0.8790322580645161,137.58363516001376,0.9892473118279569,451.3369580800997,0.9905913978494625,14.688620753467353,0.9905913978494625,94.37705800997351,0.9905913978494625,36.0673313675609,0.9899193548387096,418.7629143747161,0.9899193548387096,401.128,0.929435,16.766,16.533,16.366,14.987,14.765,-9999,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.09079,0.989247,92.9784,0.969086,121.97,0.980095,12.1518,0.971102,15.9408,0.545692,-4.68932,0.859543,0.10671,-4.93412,-4.78018,-4.66506,0.790323,0.862231,0.866935,6.51597,6.59824,6.68753,6.80442,11.2961,11.4292,11.4733,11.6167,6.30512,4.46951,5.01238,5.51785,10.4218,10.1697,10.5159,10.8381,-9999,-9999
201708,19.031,0.997312,421.639,220.512,0.997984,355.058,0.997312,6.59,0.997312,97.632,0.969758,3.345,1.0,2.292,0.918011,0.3491757623134604,0.9065860215053765,125.76180765271104,0.9932795698924731,459.96899942804845,0.9926075268817205,15.811629604209562,0.9926075268817205,91.92024908487761,0.9932795698924731,35.23368465454129,0.9932795698924731,415.8821525394647,0.9932795698924731,396.226,0.434812,16.651,16.605,16.407,15.57,15.175,-9999,0.997312,0.997312,0.997312,0.997312,0.997312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.87773,0.771505,90.4585,0.469758,118.068,0.861524,14.311,0.688172,18.679,0.54995,-3.9046,0.381048,0.36045,-4.07451,-3.95561,-3.9046,0.383737,0.395833,0.381048,6.68256,6.36761,6.67076,6.92461,10.6594,10.2499,10.6066,10.8249,7.75782,6.55982,9.08889,10.7364,10.4272,9.73508,10.7641,11.2594,-9999,-9999
201709,17.189,0.975,343.853,174.367,0.977778,350.416,0.975,5.327,0.975,97.631,0.940972,1.98,1.0,2.725,0.886111,0.44628614275664186,0.85625,89.22966220238094,0.9277777777777778,357.62317113095236,0.9277777777777778,13.405581845238094,0.9277777777777778,67.98958333333334,0.9277777777777778,26.365470238095238,0.9277777777777778,405.27900297619044,0.9277777777777778,404.657,0.529167,15.461,15.506,15.397,14.735,14.392,-9999,0.995833,0.995833,0.995833,0.995833,0.995833,-9999,18.605,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,2.30622,0.990278,62.7482,0.959028,81.4861,0.660371,4.85548,0.968056,6.30543,0.600194,-1.94549,0.258333,0.677291,-2.04784,-1.96318,-1.89271,0.252083,0.258333,0.241667,6.71619,5.5338,6.71619,6.84778,8.64282,7.65195,8.66169,8.89537,3.25679,3.41812,4.09048,4.38541,2.07321,2.14028,2.1623,5.82748,-9999,-9999
201710,13.34,0.993952,254.91,121.679,0.994624,325.057,0.993952,4.074,0.993952,97.802,0.980511,12.992,1.0,2.891,0.907258,0.5202555548690707,0.8844086021505375,42.5084632807138,0.9865591397849462,251.3682340425532,0.9865591397849462,11.535227150537635,0.9865591397849462,41.607204024960744,0.9858870967741935,18.617924588194924,0.9865591397849462,385.565095801876,0.9865591397849462,414.155,0.764113,13.193,13.54,13.931,13.496,13.192,-9999,0.993952,0.993952,0.993952,0.993952,0.993952,-9999,16.801,-9999,34.393,-9999,-9999,-9999,0.000672043,-9999,0.000672043,-9999,-9999,-9999,-0.267289,0.985887,33.6804,0.975134,40.1899,0.459268,0.0576871,0.993952,0.0688365,0.578099,0.386289,0.567204,0.0498082,0.263453,0.319964,0.451732,0.589382,0.561156,0.692204,4.01465,3.33139,4.01465,4.27972,3.57542,2.95286,3.62836,3.96255,2.31663,2.28261,2.54507,2.61458,2.22388,2.42615,2.49003,2.76175,-9999,-9999
