TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-2.667,0.0,144.718,55.443,0.0,266.236,0.0,1.594,0.0,97.351,0.0,3.308,0.0,2.876,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.525,0.0,6.18696,0.0,8.19069,-9999,55.895,0.0,73.9974,-9999,1.54445,0.0,-9999,1.5148,1.54445,1.54452,0.0,0.0,0.0,1.58668,1.57303,1.58668,1.58848,0.042233,0.0228204,0.042233,0.0723635,0.862519,0.862519,0.873189,0.878089,0.0925671,0.0925671,0.0963594,0.10125,-9999,-9999
20170108,20170114,-3.16,0.0,151.546,81.374,0.0,251.94,0.0,1.619,0.0,98.446,0.0,3.603,0.0,3.447,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.52317,0.0,6.05655,0.0,8.48885,-9999,56.9915,0.0,79.8792,-9999,1.52191,0.0,-9999,1.49171,1.52191,1.52504,0.0,0.0,0.0,1.63166,1.62155,1.63166,1.63299,0.109749,0.0905696,0.109749,0.139044,0.892659,0.892659,0.903094,0.908275,0.106156,0.106156,0.110637,0.11378,-9999,-9999
20170115,20170121,-0.377,0.0,161.133,72.768,0.0,274.397,0.0,1.626,0.0,97.6,0.0,2.556,0.0,1.964,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.53759,0.0,5.36049,0.0,6.8124,-9999,53.5647,0.0,68.0728,-9999,1.56481,0.0,-9999,1.52605,1.56481,1.56898,0.0,0.0,0.0,1.87356,1.86138,1.87356,1.87516,0.308753,0.286779,0.308753,0.346653,1.02408,1.02408,1.03617,1.04209,0.103432,0.103432,0.107757,0.111536,-9999,-9999
20170122,20170128,0.756,0.0,173.317,52.872,0.0,294.79,0.0,1.684,0.0,95.979,0.0,6.073,0.0,4.262,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.525,0.0,6.18696,0.0,7.82963,-9999,55.895,0.0,70.7354,-9999,1.54445,0.0,-9999,1.5148,1.54445,1.54452,0.0,0.0,0.0,2.00748,1.99566,2.00748,2.0087,0.463031,0.44545,0.463031,0.491309,1.09903,1.09903,1.11181,1.1182,0.0983966,0.0983966,0.102411,0.107841,-9999,-9999
20170129,20170204,-4.359,0.0,187.871,103.265,0.0,230.573,0.0,1.883,0.0,97.09,0.0,0.674,0.0,2.784,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.52317,0.0,6.05655,0.0,7.4738,-9999,56.9915,0.0,70.3277,-9999,1.52191,0.0,-9999,1.49171,1.52191,1.52504,0.0,0.0,0.0,1.36591,1.35088,1.36591,1.36789,-0.156,-0.180655,-0.156,-0.124196,0.737828,0.737828,0.747445,0.751548,0.121697,0.121697,0.12689,0.129516,-9999,-9999
20170205,20170211,-4.363,0.0,204.513,85.287,0.0,263.308,0.0,1.673,0.0,96.991,0.0,8.082,0.0,3.292,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.53759,0.0,5.36049,0.0,5.84389,-9999,53.5647,0.0,58.3951,-9999,1.56481,0.0,-9999,1.52605,1.56481,1.56898,0.0,0.0,0.0,1.39557,1.3815,1.39557,1.39742,-0.169238,-0.193101,-0.169238,-0.129303,0.755702,0.755702,0.765354,0.769592,0.107761,0.107761,0.112225,0.117068,-9999,-9999
20170212,20170218,-3.184,0.0,222.905,126.047,0.0,250.993,0.0,1.615,0.0,96.29,0.0,3.832,0.0,3.531,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.525,0.0,6.18696,0.0,7.8639,0.947332,55.895,0.0,71.045,3.59664,1.54445,0.0,0.0324114,1.5148,1.54445,1.54452,0.0,0.0,0.0,1.51535,1.50119,1.51535,1.51721,-0.0291036,-0.0490195,-0.0291036,0.00141019,0.822147,0.822147,0.832484,0.837124,0.125616,0.125616,0.130994,0.133419,-9999,-9999
20170219,20170225,5.073,0.0,242.676,130.081,0.0,295.619,0.0,2.523,0.0,97.159,0.0,1.439,0.0,2.838,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,416.218,0.0,4.925,4.661,4.187,3.479,3.745,3.487,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.52317,0.0,6.05655,0.0,8.4906,0.310123,56.9915,0.0,79.8957,1.83845,1.52191,0.0,0.0127412,1.49171,1.52191,1.52504,0.0,0.0,0.0,2.69163,2.68808,2.68922,2.69163,1.16972,1.16193,1.16972,1.19326,1.49298,1.49298,1.5083,1.51735,0.133164,0.133164,0.138872,0.141337,-9999,-9999
20170226,20170304,-0.207,0.607143,263.434,146.97,0.610119,248.992,0.607143,2.322,0.607143,97.371,0.595238,0.104,0.60119,4.29,0.514881,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,415.713,0.583333,3.904,3.894,3.89,3.339,3.676,3.467,0.607143,0.607143,0.607143,0.607143,0.607143,0.607143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.57032,0.360119,6.12777,0.58631,7.2502,0.296558,50.5325,0.607143,59.7887,1.65387,1.34734,0.580357,0.0133202,1.33312,1.3409,1.34734,0.580357,0.580357,0.580357,1.85006,1.83447,1.84644,1.85006,0.502713,0.49357,0.502713,0.513474,1.05047,1.05048,1.06235,1.06635,0.0942959,0.0942959,0.0982761,0.101205,-9999,-9999
20170305,20170311,-2.735,1.0,284.785,150.369,1.0,240.087,1.0,2.724,1.0,97.607,1.0,0.216,1.0,4.096,0.949405,0.713016973696775,0.9409722222222222,61.181597222222216,1.0,276.2267013888889,1.0,17.743750000000002,1.0,38.115277777777784,1.0,18.651458333333334,1.0,314.85277777777776,1.0,414.531,0.895833,-0.147,0.562,2.05,2.096,2.721,2.76,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.39435,0.806548,8.56235,0.916667,10.9381,0.289424,49.2457,0.967262,62.9097,1.59138,0.773038,0.821429,0.0149436,0.732383,0.737281,0.773038,0.895833,0.895833,0.821429,0.944954,0.892458,0.944954,0.947358,0.17432,0.158045,0.167259,0.172435,0.358433,0.358428,0.35968,0.380725,0.0,0.0,0.0,0.0,-9999,-9999
20170312,20170318,-7.0,1.0,306.347,184.536,1.0,215.843,1.0,1.862,1.0,97.128,1.0,0.0,1.0,4.063,0.997024,0.7648492737878937,0.9965277777777777,76.42718897754138,0.9965277777777777,345.7360202423167,0.9965277777777777,46.34978427895981,0.9965277777777777,51.68585992907801,0.9965277777777777,31.727232565011818,0.9965277777777777,283.7421911938534,0.9965277777777777,414.489,0.967262,-0.481,0.176,1.643,1.71,2.314,2.324,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.48501,0.997024,9.70429,0.985119,11.4818,0.284312,60.1914,1.0,71.2167,1.61684,0.442436,0.892857,0.0164867,0.438909,0.440794,0.449999,0.889881,0.892857,0.895833,0.452198,0.445123,0.450037,0.453779,0.0154211,-0.00164261,0.00910265,0.012985,0.369643,0.366784,0.369574,0.386646,0.0,0.0,0.0,0.0,-9999,-9999
20170319,20170325,-0.674,1.0,327.763,160.261,1.0,248.962,1.0,2.905,1.0,97.756,1.0,0.359,1.0,3.63,0.979167,0.6834144834753791,0.9895833333333334,79.0978125,1.0,358.56826388888885,1.0,56.87368055555555,1.0,63.05486111111111,1.0,34.04548611111111,1.0,310.39965277777776,1.0,416.912,1.0,0.12,0.687,1.79,1.67,2.231,2.181,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.83739,0.997024,9.02577,0.991071,12.3812,0.338782,42.5583,1.0,58.3798,1.5898,0.570827,0.979167,0.0214865,0.560695,0.566432,0.575075,0.973214,0.967262,0.967262,0.790073,0.736867,0.790073,0.803545,0.208518,0.156948,0.221937,0.238417,0.585783,0.592015,0.613175,0.769558,0.039952,0.0403218,0.0434047,0.0713685,-9999,-9999
20170326,20170401,0.486,1.0,348.71,100.936,1.0,296.387,1.0,1.699,1.0,97.634,1.0,4.026,1.0,2.832,0.717262,0.5551224429997854,0.642361111111111,62.31403073286052,0.9965277777777778,222.50140292553195,0.9965277777777778,29.31928117612293,0.9965277777777778,65.03830526004727,0.9965277777777778,17.016179078014186,0.9965277777777778,321.0188091016548,0.9965277777777778,417.282,1.0,0.844,1.284,2.1,1.876,2.402,2.291,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.60854,1.0,11.8312,1.0,16.1655,0.416016,18.3512,1.0,25.0741,1.27748,0.406741,0.991071,0.0246217,0.401605,0.405613,0.414119,0.991071,0.994048,0.994048,0.752009,0.748319,0.752427,0.780108,0.344075,0.344075,0.348365,0.357964,0.59534,0.595569,0.633899,0.6635,0.277089,0.28485,0.290811,0.313386,-9999,-9999
20170402,20170408,3.604,1.0,368.898,128.033,1.0,301.514,1.0,2.378,1.0,96.587,1.0,6.83,1.0,3.345,0.922619,0.5837836293433992,0.9097222222222222,77.1515625,1.0,249.26413194444442,1.0,32.558368055555555,1.0,71.60381944444445,1.0,19.058263888888888,1.0,333.5958333333333,1.0,416.294,1.0,1.635,1.898,2.441,2.108,2.588,2.43,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.30301,0.988095,17.7615,0.994048,31.5505,0.579739,26.3219,1.0,46.7567,1.42236,0.416385,0.979167,0.0252869,0.40599,0.417612,0.455483,0.979167,0.979167,0.979167,1.00197,0.993985,1.02277,1.04308,0.5776,0.576668,0.581134,0.593166,0.748923,0.702216,0.72399,0.745559,0.506926,0.46824,0.482298,0.506775,-9999,-9999
20170409,20170415,11.986,1.0,388.075,236.186,1.0,290.478,1.0,8.61,1.0,97.983,1.0,0.791,1.0,3.119,0.994048,0.5536599687753561,0.9930555555555557,112.24300875603865,0.9930555555555557,448.31715277777784,0.9930555555555557,27.24398852657005,0.9930555555555557,65.01204710144927,0.9930555555555557,29.125307971014493,0.9930555555555557,378.4617904589372,0.9930555555555557,417.558,1.0,6.621,6.085,5.112,4.276,4.427,2.78,1.0,1.0,1.0,1.0,1.0,0.89881,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.41412,0.988095,26.9106,1.0,30.5201,0.713,72.8926,0.997024,82.6696,1.88147,1.44294,0.997024,0.0371919,1.43139,1.43894,1.45035,0.997024,0.997024,0.997024,2.47669,2.40324,2.46088,2.51054,1.01794,0.97001,1.01794,1.06136,2.29166,2.24891,2.31383,2.35986,0.885283,0.871757,0.905538,0.916995,-9999,-9999
20170416,20170422,8.691,1.0,406.022,180.709,1.0,318.111,1.0,4.22,1.0,97.644,1.0,1.654,1.0,3.054,0.758929,0.6857073505762881,0.7743055555555555,119.50336332742317,0.9826388888888888,391.8407387706856,0.9965277777777778,23.619530880614658,0.9965277777777778,82.71937827628739,0.9895833333333334,24.88968897754137,0.9965277777777778,369.62861209613874,0.9861111111111112,417.124,0.964286,7.74,7.474,6.964,6.188,6.31,2.676,1.0,1.0,1.0,1.0,1.0,0.160714,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.85398,0.988095,22.4509,0.979167,24.881,0.669683,71.499,0.982143,79.2381,2.3835,1.0568,0.952381,0.0438556,0.999597,1.04399,1.06302,0.952381,0.952381,0.952381,2.38989,2.33582,2.36062,2.39286,1.32804,1.31197,1.32826,1.33919,1.63768,1.45734,1.60694,1.71994,0.945408,0.879968,0.920859,1.05812,-9999,-9999
