ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.163518,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.144748,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.150533,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.155029,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.166038,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.168385,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.159995,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.147573,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.154034,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.15598,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.16686,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.170265,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,53.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.166199,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.15562,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.159995,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.160499,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.171914,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,56.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.175556,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,53.75,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.166199,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.15562,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.159995,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.160499,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.171914,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,56.25,2021
