TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-7.21,0.0,8.36103,3.701,0.0,231.558,0.0,1.291,0.0,94.848,0.0,0.0,0.0,5.94,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.0183,-9999,27.6522,-9999,-9999,-9999,-22.6064,-9999,-27.8095,-9999,-9999,-9999,0.569065,0.0,-9999,0.541458,0.546872,0.550864,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.06064,0.0560651,0.06064,0.398169,0.0700891,0.0507174,0.0509193,0.0621157,-9999,-9999
20170102,-9.563,0.0,8.6864,3.293,0.0,227.822,0.0,1.275,0.0,94.998,0.0,0.0,0.0,4.432,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.517,-9999,25.5218,-9999,-9999,-9999,-18.228,-9999,-20.6868,-9999,-9999,-9999,0.576918,0.0,-9999,0.53628,0.55913,0.567859,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0323766,0.0294115,0.0323766,0.307967,0.0643798,0.0461937,0.0463919,0.057071,-9999,-9999
20170103,-8.331,0.0,9.04742,2.519,0.0,268.378,0.0,1.296,0.0,95.193,0.0,0.119,0.0,3.479,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8677,-9999,24.0285,-9999,-9999,-9999,-4.93051,-9999,-4.96923,-9999,-9999,-9999,0.566153,0.0,-9999,0.527094,0.529717,0.538313,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0478871,0.0440607,0.0478871,0.355844,0.0520423,0.0367757,0.0369537,0.0461566,-9999,-9999
20170104,-5.037,0.0,9.44517,2.797,0.0,289.366,0.0,0.749,0.0,95.321,0.0,1.843,0.0,2.234,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.0183,-9999,21.4575,-9999,-9999,-9999,-22.6064,-9999,-18.7634,-9999,-9999,-9999,0.569065,0.0,-9999,0.541458,0.546872,0.550864,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0975541,0.0913078,0.0975541,0.489238,0.0562874,0.0400638,0.0402473,0.0499101,-9999,-9999
20170105,-9.166,0.0,9.88096,3.578,0.0,235.103,0.0,0.801,0.0,95.36,0.0,1.14,0.0,6.237,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.517,-9999,16.8938,-9999,-9999,-9999,-18.228,-9999,-12.5705,-9999,-9999,-9999,0.576918,0.0,-9999,0.53628,0.55913,0.567859,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0469281,0.0433721,0.0469281,0.33362,0.0692571,0.0498387,0.0500474,0.0613888,-9999,-9999
20170106,-21.227,0.0,10.3557,5.129,0.0,176.803,0.0,0.705,0.0,95.811,0.0,0.004,0.0,1.366,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8677,-9999,13.7143,-9999,-9999,-9999,-4.93051,-9999,-3.39912,-9999,-9999,-9999,0.566153,0.0,-9999,0.527094,0.529717,0.538313,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000393583,0.000321042,0.000393583,0.0443581,0.0900397,0.0664515,0.066668,0.0797477,-9999,-9999
20170107,-19.748,0.0,10.8706,5.389,0.0,197.972,0.0,0.897,0.0,94.962,0.0,0.0,0.0,1.865,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.0183,-9999,13.8183,-9999,-9999,-9999,-22.6064,-9999,-15.575,-9999,-9999,-9999,0.569065,0.0,-9999,0.541458,0.546872,0.550864,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000952932,0.000791259,0.000952932,0.0647229,0.0941151,0.0695336,0.0697572,0.0833547,-9999,-9999
20170108,-16.633,0.0,11.427,5.688,0.0,207.365,0.0,0.952,0.0,94.403,0.0,0.0,0.0,1.496,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.517,-9999,13.4723,-9999,-9999,-9999,-18.228,-9999,-12.5825,-9999,-9999,-9999,0.576918,0.0,-9999,0.53628,0.55913,0.567859,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00282211,0.00239569,0.00282211,0.112041,0.0981678,0.0727435,0.0729694,0.0869361,-9999,-9999
20170109,-16.599,0.0,12.0257,5.909,0.0,217.008,0.0,0.849,0.0,93.918,0.0,0.0,0.0,1.743,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8677,-9999,26.0675,-9999,-9999,-9999,-4.93051,-9999,-6.16077,-9999,-9999,-9999,0.566153,0.0,-9999,0.527094,0.529717,0.538313,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00352702,0.00303165,0.00352702,0.11586,0.101185,0.0751251,0.0753529,0.0896032,-9999,-9999
20170110,-17.211,0.0,12.6679,6.214,0.0,217.178,0.0,0.807,0.0,93.722,0.0,0.0,0.0,2.042,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.0183,-9999,26.1199,-9999,-9999,-9999,-22.6064,-9999,-28.0798,-9999,-9999,-9999,0.569065,0.0,-9999,0.541458,0.546872,0.550864,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00232966,0.00197161,0.00232966,0.101616,0.104926,0.0781615,0.0783887,0.0929063,-9999,-9999
