TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-15.3,0.0,19.5513,8.168,0.0,219.745,0.0,0.883,0.0,92.672,0.0,0.373,0.0,3.082,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.808,0.0,22.8846,-9999,-15.4921,0.0,-17.8983,-9999,0.570659,0.0,-9999,0.539957,0.544446,0.551152,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0289628,0.026966,0.0289628,0.203034,0.0965456,0.096326,0.0965456,0.112671,-9999,-9999
201702,-12.205,0.0,72.9275,37.516,0.0,229.461,0.0,0.934,0.0,92.683,0.0,0.484,0.0,2.997,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7909,0.0,16.6995,-9999,-15.3612,0.0,-12.9617,-9999,0.570934,0.0,-9999,0.539769,0.544893,0.551119,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0458734,0.043072,0.0458734,0.270122,0.294497,0.294497,0.294893,0.314075,-9999,-9999
201703,-15.937,0.0,174.198,114.69,0.0,192.699,0.0,0.95,0.0,93.086,0.0,0.132,0.0,1.685,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8032,0.0,16.7099,-9999,-14.9219,0.0,-12.5911,-9999,0.570565,0.0,-9999,0.539957,0.543808,0.551149,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0209393,0.0195157,0.0209393,0.168067,0.562442,0.562442,0.564715,0.567038,-9999,-9999
201704,1.445,0.0,302.65,188.517,0.0,249.714,0.0,3.128,0.0,92.836,0.0,0.066,0.0,2.669,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.801,0.0,25.2156,-9999,-15.255,0.0,-19.4264,-9999,0.570712,0.0,-9999,0.539898,0.544365,0.551142,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.383337,0.374449,0.383337,0.826557,0.768484,0.758195,0.772141,0.774994,-9999,-9999
201705,7.143,0.0,417.272,220.584,0.0,284.943,0.0,4.96,0.0,92.893,0.0,0.805,0.0,3.533,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.68967,0.0,19.808,0.0,30.0404,-9999,-15.4921,0.0,-23.495,-9999,0.570659,0.0,-9999,0.539957,0.544446,0.551152,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.835699,0.832766,0.835699,1.13281,0.899925,0.890461,0.904109,0.907507,-9999,-9999
201706,12.844,0.0,476.468,234.256,0.0,319.427,0.0,7.328,0.0,93.058,0.0,0.74,0.0,2.877,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.65111,0.0,19.801,0.0,28.5821,-9999,-15.255,0.0,-22.02,-9999,0.570712,0.0,-9999,0.539898,0.544365,0.551142,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.64301,1.3223,1.64301,1.66732,0.964051,0.957479,0.968392,0.972114,-9999,-9999
201707,14.197,0.0134409,449.381,192.865,0.0134409,345.079,0.0134409,5.465,0.0134409,93.504,0.0120968,1.253,0.0120968,2.821,0.0120968,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.69839,0.0127688,19.9105,0.0,26.1553,-9999,-14.5689,0.0,-19.1383,-9999,0.566638,0.0,-9999,0.536368,0.540323,0.547434,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.87398,1.45175,1.87398,1.90503,0.870376,0.870376,0.873965,0.877519,-9999,-9999
201708,11.36,1.0,350.868,137.323,1.0,334.303,1.0,4.835,1.0,92.791,0.967742,0.0,1.0,2.958,0.969758,0.21290600940662224,0.9495967741935483,73.41308701496027,0.9986559139784946,293.2014782024311,0.9986559139784946,17.648086430575034,0.9986559139784946,90.6064399251987,0.9986559139784946,25.267938581112663,0.9986559139784946,372.9873363721366,0.9986559139784946,401.067,0.604167,11.619,10.443,7.054,3.733,2.036,1.32,-0.023,-0.156,-0.309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.90079,1.0,22.8642,0.0,29.6603,1.94144,-0.338762,0.0,-0.439455,3.15595,0.516498,0.0,0.0914068,0.471238,0.490095,0.516498,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.44778,1.21243,1.44778,1.4674,0.684266,0.684266,0.686582,0.69781,-9999,-9999
201709,6.264,0.997917,225.606,82.91,0.997222,300.48,0.997222,3.433,0.997222,92.719,0.977083,0.204,0.90625,3.805,0.929167,0.25946308988593164,0.8784722222222222,23.242033624620056,0.9951388888888888,175.64091170634921,0.9958333333333333,19.376261904761904,0.9958333333333333,56.728720238095235,0.9958333333333333,17.223999430091183,0.9951388888888888,342.23007936507935,0.9958333333333333,403.445,0.934722,5.927,5.516,3.779,2.043,1.23,1.032,0.09,-0.034,-0.222,0.997917,0.997917,0.997222,0.997222,0.997917,0.997222,0.997222,0.997917,0.997222,3.18572,0.997222,15.4019,0.50625,21.4025,0.28972,-3.304,0.7125,-4.59122,0.632015,0.668695,0.509722,0.0139272,0.57898,0.596853,0.668695,0.504167,0.502778,0.509722,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.783911,0.781073,0.784941,1.11189,0.5058,0.5058,0.506979,0.52757,-9999,-9999
201710,-1.264,1.0,110.091,39.636,1.0,276.787,1.0,1.628,1.0,92.577,0.975134,0.956,0.0,3.218,0.534946,-9999,-9999,-5.829031036168131,0.9973118279569891,84.85371818996417,0.9979838709677419,35.66979883512544,0.9979838709677419,29.046913082437275,0.9979838709677419,17.59873778103617,0.9973118279569891,303.64017025089606,0.9979838709677419,407.947,0.504704,-0.104,0.017,0.289,0.214,0.135,0.434,0.12,0.037,-0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.807298,0.998656,9.299,0.0,8.76326,-9999,-11.7056,0.00873656,-11.0312,1.39336,0.865781,0.0,-9999,0.787788,0.807305,0.865781,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.311335,0.304143,0.311335,0.705673,0.316088,0.316088,0.316269,0.343108,-9999,-9999
