TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-11.469,0.0,9.52105,3.772,0.0,232.429,0.0,1.002,0.0,95.213,0.0,0.444,0.0,3.65,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8321,0.0,10.0561,-9999,-16.3052,0.0,-8.26773,-9999,0.570477,0.0,-9999,0.540157,0.544724,0.551187,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0409618,0.0379042,0.0409618,0.284846,0.0708872,0.0513677,0.0515693,0.0628207,-9999,-9999
20170108,20170114,-16.58,0.0,13.4471,5.651,0.0,218.484,0.0,0.766,0.0,92.646,0.0,0.321,0.0,1.985,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7605,0.0,21.0275,-9999,-15.6797,0.0,-16.6851,-9999,0.571599,0.0,-9999,0.539381,0.546475,0.551051,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00438893,0.0038121,0.00438893,0.120548,0.0983979,0.072705,0.0729379,0.0871482,-9999,-9999
20170115,20170121,-24.637,0.0,19.6238,8.914,0.0,188.604,0.0,0.667,0.0,91.046,0.0,0.486,0.0,1.858,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8105,0.0,15.1701,-9999,-13.7801,0.0,-10.5522,-9999,0.570061,0.0,-9999,0.540157,0.541898,0.549442,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000366629,0.000303495,0.000366629,0.0303524,0.137891,0.104681,0.104909,0.122027,-9999,-9999
20170122,20170128,-10.884,0.0,28.4152,11.117,0.0,232.267,0.0,1.048,0.0,91.259,0.0,0.247,0.0,4.002,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8321,0.0,22.4645,-9999,-16.3052,0.0,-18.4695,-9999,0.570477,0.0,-9999,0.540157,0.544724,0.551187,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0658105,0.0620262,0.0658105,0.330041,0.166016,0.127026,0.127263,0.146882,-9999,-9999
20170129,20170204,-12.597,0.0,40.0901,20.387,0.0,230.601,0.0,0.902,0.0,94.638,0.0,0.193,0.0,3.297,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7605,0.0,22.3834,-9999,-15.6797,0.0,-17.761,-9999,0.571599,0.0,-9999,0.539381,0.546475,0.551051,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0215053,0.019584,0.0215053,0.225393,0.24424,0.195055,0.19509,0.215824,-9999,-9999
20170205,20170211,-17.114,0.0,54.7845,30.321,0.0,209.008,0.0,0.791,0.0,92.303,0.0,0.172,0.0,1.858,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8105,0.0,22.4401,-9999,-13.7801,0.0,-15.6092,-9999,0.570061,0.0,-9999,0.540157,0.541898,0.549442,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00651143,0.00575615,0.00651143,0.126916,0.312194,0.255766,0.255993,0.275667,-9999,-9999
20170212,20170218,-9.249,0.0,72.492,37.684,0.0,232.248,0.0,1.082,0.0,90.542,0.0,0.179,0.0,3.736,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8321,0.0,9.83488,-9999,-16.3052,0.0,-8.08587,-9999,0.570477,0.0,-9999,0.540157,0.544724,0.551187,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0787114,0.0744297,0.0787114,0.374658,0.358,0.296329,0.296728,0.316025,-9999,-9999
20170219,20170225,-10.785,0.0,93.0722,44.144,0.0,243.364,0.0,0.94,0.0,93.481,0.0,0.901,0.0,3.385,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7605,0.0,16.3469,-9999,-15.6797,0.0,-12.9711,-9999,0.571599,0.0,-9999,0.539381,0.546475,0.551051,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0591273,0.0555853,0.0591273,0.313807,0.402599,0.335288,0.335827,0.355331,-9999,-9999
20170226,20170304,-14.665,0.0,116.272,68.816,0.0,206.091,0.0,0.894,0.0,93.521,0.0,0.796,0.0,3.232,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8105,0.0,15.2492,-9999,-13.7801,0.0,-10.6072,-9999,0.570061,0.0,-9999,0.540157,0.541898,0.549442,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.035752,0.0335067,0.035752,0.215325,0.495273,0.424515,0.425739,0.436773,-9999,-9999
20170305,20170311,-18.632,0.0,141.75,91.28,0.0,188.964,0.0,0.886,0.0,94.296,0.0,0.154,0.0,1.246,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.8321,0.0,17.3963,-9999,-16.3052,0.0,-14.3026,-9999,0.570477,0.0,-9999,0.540157,0.544724,0.551187,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00624019,0.0055641,0.00624019,0.108761,0.571307,0.49717,0.498942,0.503616,-9999,-9999
