ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.168665,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.129882,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.134958,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.15877,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.184971,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.199628,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.163898,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.12481,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.129066,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.141154,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.169582,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.183455,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,66.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.19607,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,28.75,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.118865,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,28.75,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.123146,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,28.75,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.131116,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,28.75,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.155368,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,28.75,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.171052,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,66.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.19607,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,26.25,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.118088,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,26.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.118865,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,26.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.129039,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,26.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.151776,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,26.25,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.169262,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,71.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.20276,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,26.25,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.118088,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,26.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.118865,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,26.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.129039,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,26.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.151776,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,26.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.169262,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,41.25,-9999
