TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,17.012,0.0,224.269,54.205,0.0,394.919,0.0,3.014,0.0,101.072,0.0,20.677,0.0,4.09,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.28951,-9999,32.4204,-9999,29.9201,-9999,-9999,-9999,8.33851,-9999,7.49986,-9999,-9999,-9999,0.0430244,0.0,-9999,0.0430244,0.168401,0.291316,0.0,0.0,0.0,3.8698,2.9886,3.76704,3.8698,3.66066,3.03215,3.5618,3.59835,3.18379,3.1827,3.18378,3.1838,1.74783,1.74666,1.74782,1.74783,-9999,-9999
20170102,20.105,0.0,224.868,42.572,0.0,409.398,0.0,3.145,0.0,101.049,0.0,17.851,0.0,4.059,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.35047,-9999,40.4361,-9999,37.3372,-9999,-9999,-9999,11.5013,-9999,10.6024,-9999,-9999,-9999,-0.153229,0.0,-9999,-0.243046,-0.151373,-0.0610647,0.0,0.0,0.0,4.18046,3.22722,4.07046,4.1832,4.16262,3.40629,4.16262,4.26584,3.30797,3.30684,3.30796,3.30798,1.40096,1.39978,1.40095,1.40096,-9999,-9999
20170103,19.222,0.0,225.522,100.066,0.0,372.914,0.0,4.459,0.0,100.482,0.0,4.638,0.0,3.748,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.0869,-9999,34.2919,-9999,32.1362,-9999,-9999,-9999,7.63105,-9999,7.13969,-9999,-9999,-9999,-0.320571,0.0,-9999,-0.313479,-0.0048014,0.0519249,0.0,0.0,0.0,4.0925,3.15967,3.98454,4.09337,4.13548,3.49346,3.95581,4.08896,3.27352,3.27241,3.27352,3.27353,3.08026,3.07943,3.07989,3.08026,-9999,-9999
20170104,14.533,0.0,226.229,107.154,0.0,331.58,0.0,4.155,0.0,100.484,0.0,0.001,0.0,2.999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.28951,-9999,32.4204,-9999,30.8143,-9999,-9999,-9999,8.33851,-9999,7.9127,-9999,-9999,-9999,0.0430244,0.0,-9999,0.0430244,0.168401,0.291316,0.0,0.0,0.0,3.6214,2.79236,3.52441,3.61779,3.41226,2.82105,3.3006,3.32648,3.08524,3.08419,3.08523,3.08525,3.31889,3.31783,3.31889,3.31889,-9999,-9999
20170105,11.625,0.0,226.992,151.011,0.0,295.202,0.0,4.722,0.0,100.59,0.0,0.0,0.0,2.139,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.35047,-9999,40.4361,-9999,39.0333,-9999,-9999,-9999,11.5013,-9999,11.0848,-9999,-9999,-9999,-0.153229,0.0,-9999,-0.243046,-0.151373,-0.0610647,0.0,0.0,0.0,3.32092,2.55385,3.23112,3.3072,3.30309,2.72001,3.30309,3.36689,2.95292,2.95192,2.95292,2.95293,4.52107,4.52068,4.52096,4.52107,-9999,-9999
20170106,11.16,0.0,227.808,76.259,0.0,354.88,0.0,2.686,0.0,100.649,0.0,13.891,0.0,2.696,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.0869,-9999,34.2919,-9999,33.4466,-9999,-9999,-9999,7.63105,-9999,7.44293,-9999,-9999,-9999,-0.320571,0.0,-9999,-0.313479,-0.0048014,0.0519249,0.0,0.0,0.0,3.27475,2.51764,3.18599,3.25985,3.31773,2.85194,3.13333,3.18613,2.9371,2.9361,2.9371,2.93711,2.44116,2.4397,2.44115,2.44116,-9999,-9999
20170107,4.821,0.0,228.676,162.327,0.0,267.776,0.0,3.173,0.0,101.609,0.0,4.778,0.0,5.433,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.28951,-9999,32.4204,-9999,31.9962,-9999,-9999,-9999,8.33851,-9999,8.22939,-9999,-9999,-9999,0.0430244,0.0,-9999,0.0430244,0.168401,0.291316,0.0,0.0,0.0,2.61612,2.00472,2.52677,2.56936,2.40698,2.00923,2.22798,2.30025,2.63477,2.63387,2.63476,2.63477,4.79259,4.79224,4.79259,4.79295,-9999,-9999
20170108,2.421,0.0,229.598,170.049,0.0,219.692,0.0,3.964,0.0,102.852,0.0,0.0,0.0,3.251,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.35047,-9999,40.4361,-9999,39.9069,-9999,-9999,-9999,11.5013,-9999,11.3508,-9999,-9999,-9999,-0.153229,0.0,-9999,-0.243046,-0.151373,-0.0610647,0.0,0.0,0.0,2.36708,1.81147,2.26459,2.33504,2.34925,1.98614,2.31699,2.34925,2.5052,2.50435,2.5052,2.50521,5.01304,5.01268,5.01304,5.01347,-9999,-9999
20170109,4.692,0.0,230.572,166.713,0.0,239.848,0.0,4.182,0.0,102.819,0.0,0.0,0.0,2.056,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.0869,-9999,34.2919,-9999,33.5482,-9999,-9999,-9999,7.63105,-9999,7.46553,-9999,-9999,-9999,-0.320571,0.0,-9999,-0.313479,-0.0048014,0.0519249,0.0,0.0,0.0,2.603,1.99489,2.51641,2.55563,2.64598,2.29031,2.45728,2.52708,2.62015,2.61926,2.62015,2.62016,4.92954,4.92917,4.92954,4.92985,-9999,-9999
20170110,9.8,0.0,231.597,135.023,0.0,293.597,0.0,4.371,0.0,102.177,0.0,0.0,0.0,2.679,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.28951,-9999,32.4204,-9999,31.437,-9999,-9999,-9999,8.33851,-9999,8.08558,-9999,-9999,-9999,0.0430244,0.0,-9999,0.0430244,0.168401,0.291316,0.0,0.0,0.0,3.13053,2.40576,3.04608,3.11437,2.92139,2.41457,2.7922,2.82305,2.86185,2.86088,2.86185,2.86186,4.10283,4.10218,4.1024,4.10283,-9999,-9999
