TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,14.207,0.0,240.67,124.64,0.0,329.795,0.0,4.967,0.0,101.128,0.0,4.383,0.0,3.249,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.59836,0.0,35.6098,0.0,33.9916,-9999,9.13056,0.0,8.71563,-9999,-0.137572,0.0,-9999,-0.137572,-0.00453688,0.100422,0.0,0.0,0.0,3.58118,2.76216,3.48531,3.57921,3.51509,2.92626,3.45131,3.47232,3.05749,3.05646,3.05749,3.05751,3.7643,3.76386,3.76393,3.7643,-9999,-9999
201702,16.355,0.00818452,295.567,168.096,0.00892857,336.163,0.00818452,6.82,0.00818452,101.02,0.00744048,1.955,0.00744048,2.947,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.23935,0.00818452,35.8847,0.0,33.3091,-9999,9.24069,0.0,8.57745,-9999,-0.143936,0.0,-9999,-0.143936,-0.0186994,0.0885186,0.0,0.0,0.0,3.79987,2.9348,3.69881,3.79987,3.74009,3.10167,3.68374,3.70676,3.15129,3.15022,3.15129,3.1513,4.95849,4.95813,4.95849,4.95885,-9999,-9999
201703,17.812,0.758737,365.213,216.47,0.75672,333.978,0.755376,10.27,0.758065,101.455,0.756048,0.4,1.0,3.291,0.0,-9999,-9999,117.41583123479633,0.7271505376344085,454.03738768115943,0.7298387096774194,24.209672619047616,0.7284946236559139,74.22344202898552,0.7298387096774194,24.241943581780536,0.7284946236559139,401.44563204508853,0.7278225806451613,418.363,0.585349,16.984,17.062,16.989,16.774,16.772,16.929,16.8,17.061,17.348,0.984543,0.984543,0.984543,0.984543,0.984543,0.984543,0.984543,0.984543,0.984543,16.123,-9999,12.699,11.889,-9999,5.34,-9999,5.561,0.000672043,-9999,0.0,0.0,-9999,0.000672043,-9999,0.0,1.36831,0.652554,35.6702,0.0,39.5249,-9999,8.50435,0.0,9.42336,-9999,-0.149301,0.0,-9999,-0.149301,-0.00848092,0.0926996,0.0,0.0,0.0,3.94272,3.04446,3.83838,3.94272,3.88475,3.2294,3.82203,3.85857,3.20543,3.20435,3.20543,3.20545,6.20834,6.20806,6.20834,6.21014,-9999,-9999
201704,21.581,0.997222,427.083,254.793,0.997222,356.31,0.997222,11.339,0.997222,100.115,0.983333,0.033,1.0,2.947,0.61875,0.3433789994834716,0.6145833333333334,143.31245451283348,0.99375,526.3263640873015,0.9958333333333333,22.79777976190476,0.9958333333333333,81.66111111111111,0.9958333333333333,32.13895240206012,0.9944444444444444,433.4293551587302,0.9958333333333333,415.117,0.05625,21.396,21.367,21.073,20.651,20.261,19.899,19.435,18.989,18.735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.12,-9999,7.953,7.269,-9999,3.973,-9999,5.562,0.0,-9999,0.0,0.0,-9999,0.0,-9999,0.0,3.47285,0.0791667,35.7162,0.0,45.9989,-9999,8.42261,0.00763889,10.8475,-9999,-0.143592,0.0,-9999,-0.143592,-0.0103015,0.0940587,0.0,0.0,0.0,4.31837,3.33477,4.20528,4.32475,4.25704,3.54361,4.18425,4.25704,3.35582,3.35468,3.35582,3.35583,7.21474,7.21453,7.21474,7.21756,-9999,-9999
201705,23.483,1.0,465.789,258.26,0.998656,377.1,1.0,11.451,1.0,99.892,0.993952,2.572,1.0,2.807,0.987903,0.348255530838443,0.9811827956989247,159.3304605639442,0.9993279569892473,541.0986401853122,0.9993279569892473,21.18323438572409,0.9993279569892473,89.58212365591397,1.0,32.64990591397849,1.0,444.23561827956985,1.0,415.044,0.495296,22.976,22.991,22.767,22.388,22.021,21.64,21.137,20.552,20.157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.123,-9999,10.634,9.927,-9999,4.748,-9999,5.565,0.0,-9999,0.0,0.0,-9999,0.0,-9999,0.0,2.99868,0.983871,35.6098,0.0,45.8619,-9999,7.05131,0.0,9.08138,-9999,-0.137572,0.0,-9999,-0.137572,-0.00453688,0.100422,0.0,0.0,0.0,4.5029,3.48717,4.38558,4.51354,4.4368,3.66467,4.35816,4.4368,3.42528,3.42412,3.42528,3.42529,7.29966,7.29945,7.29966,7.30255,-9999,-9999
201706,24.756,1.0,480.218,208.917,1.0,417.161,1.0,6.311,1.0,100.118,0.990278,3.455,1.0,2.231,0.978472,0.2937214783155612,0.9659722222222222,149.82056944444443,1.0,454.0492319739953,0.9993055555555556,16.727319444444447,1.0,104.19812500000002,1.0,24.86102083333333,1.0,453.90645833333326,1.0,416.83,0.280556,25.199,25.232,25.029,24.628,24.176,23.62,22.997,22.139,21.559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.106,10.424,13.247,9.083,-9999,4.449,-9999,5.562,0.00138889,0.00138889,0.00138889,0.00138889,-9999,0.00138889,-9999,0.0,3.58613,0.896528,35.7162,0.0,45.9989,-9999,4.43628,0.000694444,5.71349,-9999,-0.143592,0.0,-9999,-0.143592,-0.0103015,0.0940587,0.0,0.0,0.0,4.62988,3.58394,4.50961,4.64323,4.56855,3.74945,4.48858,4.56855,3.47506,3.47388,3.47506,3.47507,6.02522,6.02491,6.02522,6.0266,-9999,-9999
201707,26.628,1.0,472.195,252.271,1.0,420.933,1.0,8.591,1.0,100.314,0.99664,4.034,1.0,2.135,0.983199,0.27148648194023745,0.9677419354838709,182.82536127316405,0.9973118279569891,541.1700047327822,0.950268817204301,19.511128663384874,0.950268817204301,90.20848566308244,0.9979838709677419,28.683932347670254,0.9979838709677419,465.2633891939297,0.9973118279569891,415.044,0.0,26.832,26.856,26.669,26.263,25.837,25.271,24.616,23.602,22.886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.114,8.513,13.257,7.537,-9999,3.964,-9999,5.56,0.0,0.0,0.0,0.0,-9999,0.0,-9999,0.0,3.79598,0.995296,35.8684,0.0,46.1949,-9999,8.88135,0.127688,11.4383,-9999,-0.143903,0.0,-9999,-0.143903,-0.0178867,0.0890547,0.0,0.0,0.0,4.8063,3.72617,4.68205,4.82408,4.74637,3.88566,4.66271,4.74637,3.53841,3.53721,3.53841,3.53842,7.16151,7.16127,7.16151,7.16413,-9999,-9999
201708,26.618,1.0,441.362,233.945,1.0,422.107,1.0,8.735,1.0,100.196,0.995968,4.501,1.0,2.285,0.982527,0.28029718980527696,0.9724462365591399,166.58793630574039,0.9979838709677421,506.92996206974635,0.5147849462365591,19.535479166666665,0.5141129032258065,91.12356533426835,0.9986559139784947,26.205852394238704,0.9979838709677421,464.5600135030289,0.9979838709677421,411.561,0.145833,26.854,26.906,26.797,26.446,26.163,25.772,25.223,24.376,23.728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.558,8.498,9.372,7.679,4.439,3.86,-9999,5.561,0.000672043,0.00134409,0.000672043,0.00134409,0.00134409,0.00134409,-9999,0.0,2.61194,0.997312,38.4732,0.0,51.9131,-9999,20.759,0.674731,28.0108,0.114141,-0.486164,0.0,-9999,-0.486164,-0.368434,-0.21465,0.0,0.0,0.0,4.80514,3.72525,4.68091,4.8229,5.10356,4.22698,4.99241,5.10356,3.53788,3.53668,3.53788,3.5379,6.67907,6.6788,6.67907,6.68122,-9999,-9999
201709,24.984,0.934028,388.832,211.392,0.938194,398.894,0.934028,10.076,0.934028,100.105,0.886806,2.292,1.0,2.694,0.890972,0.2542921839876725,0.867361111111111,144.64937319411612,0.8833333333333333,490.5050061837843,0.8826388888888889,20.714182390625457,0.8826388888888889,75.59141858564632,0.8833333333333333,26.14275541400344,0.8833333333333333,454.95109575197733,0.8833333333333333,418.819,0.722917,24.629,24.7,24.672,24.413,24.395,24.424,24.136,23.865,23.605,0.934028,0.934028,0.934028,0.934028,0.934028,0.934028,0.934028,0.934028,0.934028,16.12,9.136,13.265,12.44,4.04,3.882,-9999,5.562,0.0,0.0,0.0,0.0,0.0,0.0,-9999,0.0,1.79638,0.930556,47.5191,0.0,60.8087,-9999,31.8954,0.0375,40.8155,0.320596,-1.45007,0.0,-9999,-1.45007,-1.43547,-1.23203,0.0,0.0,0.0,4.64907,3.59963,4.5284,4.66305,5.97731,5.05785,5.88081,5.99955,3.48071,3.47953,3.48071,3.48072,6.08875,6.08845,6.08875,6.09032,-9999,-9999
201710,20.923,0.915995,320.984,175.717,0.918011,365.763,0.915995,8.158,0.915323,100.404,0.895161,1.109,1.0,3.227,0.891801,0.36918227070201665,0.8770161290322581,89.55154492781155,0.8918010752688171,396.86392113095235,0.8924731182795698,19.6685900297619,0.8924731182795698,54.016666666666666,0.8924731182795698,22.854728422619047,0.8924731182795698,426.085119047619,0.8924731182795698,416.363,0.21707,21.356,21.629,22.016,22.106,22.659,23.227,23.156,23.23,23.175,0.915995,0.915995,0.915995,0.915995,0.915995,0.915995,0.915995,0.915995,0.915995,13.873,8.945,9.442,12.445,4.017,3.804,-9999,5.561,0.00134409,0.00134409,0.00134409,0.000672043,0.00134409,0.000672043,-9999,0.00134409,-3.96735,0.909946,41.7856,0.0047043,34.3314,0.982688,32.0863,0.397849,26.3624,1.11966,-0.981693,0.00403226,0.125212,-0.983534,-0.97538,-0.802177,0.00268817,0.00403226,0.00268817,4.25115,3.28134,4.13965,4.25633,5.12635,4.26944,5.0585,5.12224,3.32722,3.32609,3.32722,3.32724,5.1723,5.17194,5.1723,5.17277,-9999,-9999
