TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,14.068,0.0,226.338,99.085,0.0,346.667,0.0,3.622,0.0,100.848,0.0,8.834,0.0,3.595,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.33449,0.0,35.2453,0.0,37.4863,-9999,9.04004,0.0,9.61482,-9999,-0.116933,0.0,-9999,-0.116933,0.0152275,0.122238,0.0,0.0,0.0,3.56799,2.75078,3.47241,3.56386,3.48554,2.89614,3.41864,3.4369,3.05362,3.05258,3.05361,3.05362,3.04325,3.04247,3.04325,3.04325,-9999,-9999
20170108,20170114,11.492,0.0,232.775,154.513,0.0,295.299,0.0,5.11,0.0,102.271,0.0,0.0,0.0,2.311,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.95735,0.0,36.3904,0.0,35.6851,-9999,9.49187,0.0,9.3079,-9999,-0.144969,0.0,-9999,-0.144969,-0.043893,0.0718982,0.0,0.0,0.0,3.30156,2.53941,3.21242,3.28878,3.24645,2.69921,3.1989,3.2138,2.93136,2.93036,2.93135,2.93137,4.60792,4.60753,4.60791,4.60792,-9999,-9999
20170115,20170121,18.569,0.0,241.677,97.568,0.0,377.126,0.0,5.067,0.0,101.04,0.0,4.429,0.0,2.842,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.73412,0.0,35.5127,0.0,34.2542,-9999,8.93898,0.0,8.62221,-9999,-0.168875,0.0,-9999,-0.168875,-0.00223898,0.0880396,0.0,0.0,0.0,4.02503,3.10782,3.91867,4.02503,3.9786,3.31266,3.91017,3.94307,3.24494,3.24384,3.24494,3.24495,3.0318,3.03074,3.03179,3.0318,-9999,-9999
20170122,20170128,13.784,0.0,252.8,122.912,0.0,321.15,0.0,5.364,0.0,100.329,0.0,6.149,0.0,4.084,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.33449,0.0,35.2453,0.0,33.3983,-9999,9.04004,0.0,8.56631,-9999,-0.116933,0.0,-9999,-0.116933,0.0152275,0.122238,0.0,0.0,0.0,3.54074,2.72725,3.44574,3.5321,3.45829,2.87658,3.39202,3.40986,3.04574,3.0447,3.04573,3.04574,3.70662,3.70623,3.70628,3.70662,-9999,-9999
20170129,20170204,13.175,0.0,265.84,161.058,0.0,305.468,0.0,6.142,0.0,101.363,0.0,0.075,0.0,3.193,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.95735,0.0,36.3904,0.0,32.8062,-9999,9.49187,0.0,8.55699,-9999,-0.144969,0.0,-9999,-0.144969,-0.043893,0.0718982,0.0,0.0,0.0,3.47797,2.6765,3.38448,3.46722,3.42286,2.84173,3.37096,3.39173,3.01833,3.0173,3.01832,3.01834,4.78774,4.78735,4.78774,4.78781,-9999,-9999
20170205,20170211,15.16,0.0,280.441,160.561,0.0,333.357,0.0,5.96,0.0,101.216,0.0,3.258,0.0,3.072,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.73412,0.0,35.5127,0.0,32.8169,-9999,8.93898,0.0,8.26042,-9999,-0.168875,0.0,-9999,-0.168875,-0.00223898,0.0880396,0.0,0.0,0.0,3.67874,2.84172,3.58053,3.67874,3.63231,3.03013,3.54984,3.58383,3.1009,3.09985,3.1009,3.10091,4.76066,4.76028,4.76066,4.76081,-9999,-9999
20170212,20170218,15.906,0.0,296.219,170.629,0.0,326.622,0.0,7.155,0.0,100.804,0.0,2.677,0.0,3.114,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.33449,0.0,35.2453,0.0,30.3761,-9999,9.04004,0.0,7.79114,-9999,-0.116933,0.0,-9999,-0.116933,0.0152275,0.122238,0.0,0.0,0.0,3.75481,2.90018,3.6548,3.75481,3.67236,3.04599,3.60833,3.62711,3.1327,3.13163,3.13269,3.13271,5.01062,5.01027,5.01062,5.01115,-9999,-9999
20170219,20170225,18.971,0.0,312.777,164.267,0.0,362.424,0.0,7.026,0.0,100.569,0.0,1.717,0.0,2.73,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.312,18.254,17.897,17.447,17.096,17.006,16.813,17.033,17.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.094,-9999,13.23,12.422,-9999,5.503,-9999,5.553,0.0,-9999,0.0,0.0,-9999,0.0,-9999,0.0,3.95735,0.0,36.3904,0.0,32.9185,-9999,9.49187,0.0,8.58627,-9999,-0.144969,0.0,-9999,-0.144969,-0.043893,0.0718982,0.0,0.0,0.0,4.06455,3.13816,3.95727,4.06507,4.00943,3.32325,3.95264,4.00943,3.26029,3.25918,3.26029,3.2603,4.86562,4.86524,4.86562,4.86582,-9999,-9999
20170226,20170304,16.648,0.604167,329.725,222.838,0.607143,313.832,0.604167,9.572,0.604167,101.765,0.60119,0.589,0.60119,3.488,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,420.012,0.401786,17.248,17.279,17.107,16.837,16.775,16.934,16.812,17.06,17.328,0.604167,0.604167,0.604167,0.604167,0.604167,0.604167,0.604167,0.604167,0.604167,16.135,-9999,13.241,12.433,-9999,5.496,-9999,5.549,0.00297619,-9999,0.00297619,0.00297619,-9999,0.00595238,-9999,0.00297619,2.39387,0.598214,35.5127,0.0,39.9083,-9999,8.56754,0.0,9.628,-9999,-0.168875,0.0,-9999,-0.168875,-0.00223898,0.0880396,0.0,0.0,0.0,3.82767,2.95613,3.72597,3.82767,3.78124,3.14701,3.70914,3.73573,3.16141,3.16033,3.1614,3.16142,6.37154,6.37129,6.37154,6.37358,-9999,-9999
20170305,20170311,18.971,1.0,346.696,208.7,0.988095,333.359,1.0,11.24,1.0,101.85,1.0,0.355,1.0,3.016,0.0,-9999,-9999,111.16646572104018,0.9965277777777777,430.6179861111111,1.0,23.713715277777776,1.0,88.62881944444445,1.0,21.895729166666666,1.0,413.72673611111117,1.0,418.004,0.955357,17.19,17.204,17.01,16.713,16.634,16.798,16.707,17.052,17.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.134,-9999,13.296,12.464,-9999,5.516,-9999,5.574,0.0,-9999,0.0,0.0,-9999,0.0,-9999,0.0,2.68883,0.994048,35.2453,0.0,39.6079,-9999,8.38219,0.0,9.4197,-9999,-0.116933,0.0,-9999,-0.116933,0.0152275,0.122238,0.0,0.0,0.0,4.06388,3.13763,3.95663,4.06447,3.98143,3.30721,3.90734,3.97696,3.25921,3.2581,3.25921,3.25922,6.01737,6.01707,6.01737,6.01888,-9999,-9999
