ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.105579,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.105347,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.104117,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.108362,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.105579,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.106234,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,58.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.110102,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,61.25,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.11072,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,61.25,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.11072,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,61.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.113563,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,61.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.111046,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,61.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.111046,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,58.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.110102,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.11072,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.113927,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.116743,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.113568,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.113239,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,58.75,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.110102,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.11072,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.113927,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.116743,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.113568,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2021
