TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,0.907,0.0,167.298,74.8,0.0,286.803,0.0,2.203,0.0,97.33,0.0,1.039,0.0,3.337,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.7066,-9999,88.2939,-9999,-9999,-9999,82.884,-9999,99.2876,-9999,-9999,-9999,-2.21741,0.0,-9999,-2.69495,-2.69495,-2.21741,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.10292,0.0494332,0.102627,0.10292,0.262966,0.0537905,0.262947,0.262966,-9999,-9999
20170102,7.25,0.0,167.925,18.053,0.0,357.914,0.0,0.905,0.0,96.999,0.0,2.4,0.0,3.115,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81.4103,-9999,97.9662,-9999,-9999,-9999,73.198,-9999,87.9779,-9999,-9999,-9999,-2.18621,0.0,-9999,-2.70779,-2.70779,-2.18621,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.129202,0.0618298,0.129198,0.129202,0.0639939,0.0130137,0.0639892,0.0639939,-9999,-9999
20170103,-4.217,0.0,168.608,89.733,0.0,259.014,0.0,1.64,0.0,98.328,0.0,0.126,0.0,5.587,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61.9656,-9999,74.9051,-9999,-9999,-9999,84.1062,-9999,101.547,-9999,-9999,-9999,-2.44382,0.0,-9999,-2.73653,-2.73653,-2.44382,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0815314,0.0393187,0.0810346,0.0815314,0.314301,0.0644597,0.314278,0.314301,-9999,-9999
20170104,-9.191,0.0,169.35,107.811,0.0,232.557,0.0,1.317,0.0,98.501,0.0,0.747,0.0,2.999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.7066,-9999,89.3157,-9999,-9999,-9999,82.884,-9999,100.072,-9999,-9999,-9999,-2.21741,0.0,-9999,-2.69495,-2.69495,-2.21741,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0610836,0.0296044,0.0604685,0.0610836,0.377152,0.0774176,0.377124,0.377152,-9999,-9999
20170105,-11.401,0.0,170.15,93.607,0.0,228.534,0.0,0.931,0.0,98.364,0.0,1.092,0.0,3.869,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81.4103,-9999,99.7302,-9999,-9999,-9999,73.198,-9999,88.1607,-9999,-9999,-9999,-2.18621,0.0,-9999,-2.70779,-2.70779,-2.18621,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0522952,0.0254128,0.0516573,0.0522952,0.328134,0.0672583,0.32811,0.328134,-9999,-9999
20170106,-12.926,0.0,171.007,115.911,0.0,200.101,0.0,1.004,0.0,98.82,0.0,0.0,0.0,2.07,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61.9656,-9999,75.7267,-9999,-9999,-9999,84.1062,-9999,101.05,-9999,-9999,-9999,-2.44382,0.0,-9999,-2.73653,-2.73653,-2.44382,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0466063,0.0226866,0.0459754,0.0466063,0.405075,0.0832095,0.405045,0.405075,-9999,-9999
20170107,-10.32,0.0,171.923,117.007,0.0,207.652,0.0,1.109,0.0,99.613,0.0,0.0,0.0,2.315,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.7066,-9999,90.067,-9999,-9999,-9999,82.884,-9999,99.4017,-9999,-9999,-9999,-2.21741,0.0,-9999,-2.69495,-2.69495,-2.21741,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0568015,0.0275536,0.0561896,0.0568015,0.408922,0.0839971,0.408892,0.408922,-9999,-9999
20170108,-3.913,0.0,172.894,107.029,0.0,244.191,0.0,2.108,0.0,98.96,0.0,0.0,0.0,4.784,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81.4103,-9999,99.2838,-9999,-9999,-9999,73.198,-9999,87.424,-9999,-9999,-9999,-2.18621,0.0,-9999,-2.70779,-2.70779,-2.18621,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0829876,0.0399923,0.0825303,0.0829876,0.374306,0.0768496,0.374279,0.374306,-9999,-9999
20170109,1.532,0.0,173.922,96.89,0.0,269.145,0.0,2.914,0.0,97.521,0.0,0.0,0.0,4.311,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61.9656,-9999,75.542,-9999,-9999,-9999,84.1062,-9999,100.149,-9999,-9999,-9999,-2.44382,0.0,-9999,-2.73653,-2.73653,-2.44382,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.105509,0.0506533,0.105248,0.105509,0.339174,0.0695893,0.339149,0.339174,-9999,-9999
20170110,6.21,0.0,175.006,112.482,0.0,276.095,0.0,3.527,0.0,96.626,0.0,0.638,0.0,5.01,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.7066,-9999,89.8124,-9999,-9999,-9999,82.884,-9999,98.3097,-9999,-9999,-9999,-2.21741,0.0,-9999,-2.69495,-2.69495,-2.21741,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.124935,0.0598212,0.124891,0.124935,0.393135,0.0807505,0.393106,0.393135,-9999,-9999
