TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,0.389,0.0,184.753,92.586,0.0,275.161,0.0,2.177,0.0,97.747,0.0,0.949,0.0,3.592,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.4042,0.0,113.837,-9999,80.1537,0.0,126.021,-9999,-2.28038,0.0,-9999,-2.7125,-2.7125,-2.28038,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.100896,0.048419,0.100532,0.100814,0.0664953,0.0664953,0.324044,0.324067,-9999,-9999
201702,6.128,0.0,245.361,144.199,0.0,282.84,0.0,4.452,0.0,97.566,0.0,0.586,0.0,3.673,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.684,0.0,114.277,-9999,79.8176,0.0,125.492,-9999,-2.27904,0.0,-9999,-2.7129,-2.7129,-2.27904,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.124124,0.0594128,0.124108,0.12412,0.103429,0.103429,0.502456,0.502493,-9999,-9999
201703,9.111,0.0,327.54,160.894,0.0,310.664,0.0,5.974,0.0,97.917,0.0,3.985,0.0,4.601,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.0255,0.0,105.137,-9999,80.1932,0.0,117.059,-9999,-2.28768,0.0,-9999,-2.71385,-2.71385,-2.28768,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.136021,0.0650331,0.136021,0.136064,0.11533,0.11533,0.559416,0.559457,-9999,-9999
201704,13.508,0.0,407.154,199.426,0.0,332.907,0.0,5.592,0.0,97.37,0.0,4.975,0.0,4.351,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.3608,0.0,105.86,-9999,80.0627,0.0,117.128,-9999,-2.28248,0.0,-9999,-2.71309,-2.71309,-2.28248,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.153615,0.0733413,0.153615,0.153731,0.142818,0.142818,0.691229,0.691279,-9999,-9999
201705,17.966,0.0,462.63,248.849,0.0,345.497,0.0,7.94,0.0,97.305,0.0,4.559,0.0,3.815,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.70278,0.0,72.4042,0.0,103.911,-9999,80.1537,0.0,115.032,-9999,-2.28038,0.0,-9999,-2.7125,-2.7125,-2.28038,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.170558,0.0813216,0.170558,0.170756,0.178097,0.178097,0.860657,0.860719,-9999,-9999
201706,24.437,0.0,485.815,285.552,0.0,381.843,0.0,11.883,0.0,97.391,0.0,2.991,0.0,3.722,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.75202,0.0,72.3608,0.0,107.031,-9999,80.0627,0.0,118.423,-9999,-2.28248,0.0,-9999,-2.71309,-2.71309,-2.28248,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.194143,0.0924155,0.194143,0.194465,0.204292,0.204292,0.986389,0.98646,-9999,-9999
201707,27.043,0.00873656,474.132,278.6,0.00873656,401.244,0.00873656,13.667,0.00873656,97.715,0.00806452,0.776,0.0,3.127,0.00806452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.62556,0.00873656,71.5576,0.00873656,91.8271,1.10448,80.1335,0.00873656,102.832,1.05634,-2.27889,0.000672043,-9999,-2.70958,-2.70958,-2.27889,0.000672043,0.000672043,0.000672043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.203153,0.0966479,0.203153,0.203526,0.199344,0.199344,0.962794,0.962863,-9999,-9999
201708,22.529,1.0,429.156,248.363,1.0,378.363,1.0,8.807,1.0,97.783,0.977823,3.643,0.0,2.345,0.985215,0.2184978002817072,0.9684139784946236,145.0852288614186,0.9973118279569892,511.6836830505904,0.9973118279569892,40.398552142082714,0.9973118279569892,84.04271072682602,0.9973118279569892,36.35665259790318,0.9973118279569892,448.53113181741315,0.9973118279569892,418.958,0.295027,23.402,23.296,23.109,22.952,22.571,22.165,21.53,20.841,19.44,1.0,1.0,1.0,1.0,1.0,1.0,0.991935,0.991935,0.991935,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.807938,0.987231,56.9518,0.987903,73.084,0.715719,57.4352,0.992608,73.7043,0.657549,-2.4904,0.0456989,-9999,-2.56868,-2.56868,-2.4904,0.0645161,0.0645161,0.0456989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.187395,0.089244,0.187395,0.18768,0.177717,0.177717,0.858441,0.858503,-9999,-9999
201709,22.45,1.0,358.926,196.676,0.99375,372.757,1.0,12.099,1.0,97.723,0.989583,2.011,0.00833333,3.68,0.995139,0.2792105584063222,0.982638888888889,95.78423292947201,0.9958333333333333,391.4165319936958,0.9965277777777778,36.337713553979505,0.9965277777777778,75.11494562647755,0.9958333333333333,28.36518251576045,0.9958333333333333,446.79101172182817,0.9965277777777778,413.502,0.402778,21.92,21.797,21.604,21.485,21.292,21.143,20.786,20.39,19.501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999306,-9999,-9999,14.487,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.8626,0.993056,31.7709,0.970833,36.5324,0.411967,51.5371,0.990278,59.261,0.579009,-3.31306,0.0,-9999,-3.32439,-3.32439,-3.31306,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.186827,0.0889733,0.186827,0.187111,0.140862,0.140862,0.681914,0.681963,-9999,-9999
201710,14.553,1.0,275.952,145.86,1.0,327.351,1.0,7.557,1.0,97.703,0.991263,3.164,0.883065,4.601,0.960349,0.33558476867191606,0.9516129032258065,60.22483571936578,0.9932795698924731,275.11955024925476,0.569220430107527,30.03418804646235,0.995967741935484,41.10579616891965,0.995967741935484,22.758967646195774,0.9952956989247314,393.40398159062204,0.9952956989247312,420.09,0.238575,14.997,15.3,16.006,16.521,17.331,18.315,18.777,18.997,18.896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,12.699,21.721,-9999,-9999,-9999,-9999,-9999,-9999,0.000672043,0.000672043,-9999,-9999,-9999,-9999,-6.77897,0.949597,25.3432,0.510753,29.1413,0.246699,17.3743,0.686156,19.9781,0.45227,-5.08752,0.0,-9999,-5.08752,-5.04769,-5.04769,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.157244,0.0750418,0.157244,0.157383,0.104561,0.104561,0.507259,0.507296,-9999,-9999
