TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-5.7,0.0,169.466,88.131,0.0,253.225,0.0,1.301,0.0,98.279,0.0,0.772,0.0,3.327,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.5531,0.0,94.2878,-9999,80.4658,0.0,104.571,-9999,-2.27318,0.0,-9999,-2.7105,-2.7105,-2.27318,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0757771,0.0365485,0.0753095,0.0757771,0.308655,0.0633066,0.308627,0.308649,-9999,-9999
20170108,20170114,-0.961,0.0,176.257,93.591,0.0,269.78,0.0,2.649,0.0,98.167,0.0,0.096,0.0,3.89,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.6536,0.0,95.5749,-9999,79.0821,0.0,102.619,-9999,-2.26872,0.0,-9999,-2.71233,-2.71233,-2.26872,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0951284,0.0457383,0.094779,0.0951284,0.327715,0.0672248,0.327685,0.327709,-9999,-9999
20170115,20170121,3.97,0.0,185.746,59.627,0.0,311.854,0.0,1.372,0.0,97.173,0.0,3.268,0.0,2.679,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.8758,0.0,113.061,-9999,80.6404,0.0,128.638,-9999,-2.30552,0.0,-9999,-2.71644,-2.71644,-2.30552,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.115659,0.0554492,0.115503,0.115659,0.209288,0.0428589,0.209268,0.209283,-9999,-9999
20170122,20170128,1.989,0.0,197.74,115.58,0.0,264.962,0.0,2.442,0.0,97.38,0.0,0.061,0.0,4.603,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.5531,0.0,131.825,-9999,80.4658,0.0,146.202,-9999,-2.27318,0.0,-9999,-2.7105,-2.7105,-2.27318,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.107399,0.0515496,0.107152,0.107399,0.404018,0.0829774,0.403981,0.40401,-9999,-9999
20170129,20170204,2.132,0.0,211.981,133.007,0.0,261.262,0.0,3.475,0.0,98.285,0.0,0.02,0.0,3.559,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.6536,0.0,133.422,-9999,79.0821,0.0,143.256,-9999,-2.26872,0.0,-9999,-2.71233,-2.71233,-2.26872,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.107905,0.0517808,0.107676,0.107905,0.464215,0.0954453,0.464172,0.464206,-9999,-9999
20170205,20170211,4.063,0.0,228.157,129.644,0.0,284.572,0.0,3.152,0.0,97.374,0.0,0.041,0.0,3.324,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.8758,0.0,128.39,-9999,80.6404,0.0,146.079,-9999,-2.30552,0.0,-9999,-2.71644,-2.71644,-2.30552,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.11576,0.0554747,0.115641,0.11576,0.452547,0.0930357,0.452505,0.452538,-9999,-9999
20170212,20170218,8.172,0.0,245.911,151.231,0.0,279.931,0.0,6.098,0.0,97.716,0.0,0.081,0.0,3.438,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.5531,0.0,131.429,-9999,80.4658,0.0,145.763,-9999,-2.27318,0.0,-9999,-2.7105,-2.7105,-2.27318,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.132519,0.0633749,0.132494,0.132519,0.526578,0.108447,0.52653,0.526568,-9999,-9999
20170219,20170225,9.094,0.0,264.858,142.761,0.0,302.206,0.0,4.918,0.0,97.151,0.0,1.643,0.0,4.208,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.6536,0.0,129.436,-9999,79.0821,0.0,138.976,-9999,-2.26872,0.0,-9999,-2.71233,-2.71233,-2.26872,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.136059,0.0650289,0.136015,0.136059,0.497427,0.102394,0.497381,0.497417,-9999,-9999
20170226,20170304,7.857,0.0,284.601,189.393,0.0,271.168,0.0,6.056,0.0,97.883,0.0,0.562,0.0,4.451,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.8758,0.0,114.966,-9999,80.6404,0.0,130.805,-9999,-2.30552,0.0,-9999,-2.71644,-2.71644,-2.30552,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.131252,0.0627758,0.131231,0.131252,0.65756,0.135698,0.6575,0.657547,-9999,-9999
20170305,20170311,8.837,0.0,304.75,172.976,0.0,295.9,0.0,6.601,0.0,97.956,0.0,0.343,0.0,5.317,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72.5531,0.0,112.968,-9999,80.4658,0.0,125.288,-9999,-2.27318,0.0,-9999,-2.7105,-2.7105,-2.27318,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.134995,0.0645306,0.134956,0.134995,0.601182,0.123973,0.601127,0.60117,-9999,-9999
