TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,0.908,0.0,167.368,77.47,0.0,282.554,0.0,2.559,0.0,96.305,0.0,0.458,0.0,4.619,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.4295,-9999,87.5011,-9999,-9999,-9999,53.5107,-9999,51.2116,-9999,-9999,-9999,-1.76963,0.0,-9999,-1.80422,-1.76963,-1.76963,0.0,0.0,0.0,2.06137,1.94138,1.99211,2.08523,3.831,3.74812,3.76555,3.83999,2.60169,2.59919,2.60169,2.62146,2.40923,2.40527,2.40923,2.4461,-9999,-9999
20170102,7.31,0.0,167.994,16.884,0.0,353.38,0.0,1.374,0.0,95.968,0.0,2.181,0.0,4.32,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.2039,-9999,91.1134,-9999,-9999,-9999,46.7712,-9999,44.7617,-9999,-9999,-9999,-2.08008,0.0,-9999,-2.09517,-2.08008,-2.03684,0.0,0.0,0.0,2.7865,2.65231,2.71211,2.80726,4.82334,4.75322,4.79219,4.84191,2.96634,2.9635,2.96634,2.98889,0.616224,0.614626,0.616224,0.629907,-9999,-9999
20170103,-3.749,0.0,168.678,85.611,0.0,258.979,0.0,1.975,0.0,97.21,0.0,0.104,0.0,7.772,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81.904,-9999,78.3849,-9999,-9999,-9999,53.3184,-9999,51.0276,-9999,-9999,-9999,-1.84802,0.0,-9999,-1.84802,-1.84802,-1.8156,0.0,0.0,0.0,1.55486,1.44831,1.49158,1.58492,3.40287,3.29632,3.33959,3.40136,2.31738,2.31516,2.31738,2.335,2.5629,2.55917,2.5629,2.59858,-9999,-9999
20170104,-8.873,0.0,169.419,110.821,0.0,230.163,0.0,1.737,0.0,97.414,0.0,0.58,0.0,4.196,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.4295,-9999,87.5011,-9999,-9999,-9999,53.5107,-9999,51.2116,-9999,-9999,-9999,-1.76963,0.0,-9999,-1.80422,-1.76963,-1.76963,0.0,0.0,0.0,1.05024,0.963454,0.997257,1.08437,2.81987,2.76689,2.79986,2.82751,1.97117,1.96928,1.97117,1.98615,3.19245,3.18845,3.19245,3.2323,-9999,-9999
20170105,-11.069,0.0,170.22,97.61,0.0,225.857,0.0,1.364,0.0,97.269,0.0,0.696,0.0,5.385,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.2039,-9999,91.1134,-9999,-9999,-9999,46.7712,-9999,44.7617,-9999,-9999,-9999,-2.08008,0.0,-9999,-2.09517,-2.08008,-2.03684,0.0,0.0,0.0,0.856447,0.779473,0.808938,0.888275,2.89329,2.87712,2.89198,2.91286,1.81218,1.81044,1.81218,1.82595,2.89261,2.88857,2.89261,2.93168,-9999,-9999
20170106,-12.602,0.0,171.077,119.391,0.0,197.298,0.0,1.451,0.0,97.73,0.0,0.0,0.0,2.911,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81.904,-9999,78.3849,-9999,-9999,-9999,53.3184,-9999,51.0276,-9999,-9999,-9999,-1.84802,0.0,-9999,-1.84802,-1.84802,-1.8156,0.0,0.0,0.0,0.740319,0.670763,0.697146,0.769822,2.58833,2.51878,2.54516,2.58713,1.69449,1.69287,1.69449,1.70737,3.38454,3.38058,3.38454,3.42483,-9999,-9999
20170107,-9.87,0.0,171.992,120.008,0.0,205.802,0.0,1.579,0.0,98.498,0.0,0.0,0.0,3.389,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.4295,-9999,126.645,-9999,-9999,-9999,53.5107,-9999,72.9103,-9999,-9999,-9999,-1.76963,0.0,-9999,-1.80422,-1.76963,-1.76963,0.0,0.0,0.0,0.973688,0.89183,0.92359,1.00628,2.74332,2.69322,2.73144,2.74942,1.89444,1.89263,1.89444,1.90884,3.40522,3.40121,3.40522,3.44585,-9999,-9999
20170108,-3.75,0.0,172.963,109.797,0.0,241.002,0.0,2.515,0.0,97.893,0.0,0.0,0.0,6.644,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.2039,-9999,134.028,-9999,-9999,-9999,46.7712,-9999,65.8443,-9999,-9999,-9999,-2.08008,0.0,-9999,-2.09517,-2.08008,-2.03684,0.0,0.0,0.0,1.57509,1.47015,1.51304,1.60203,3.61193,3.56995,3.59311,3.63505,2.30601,2.3038,2.30601,2.32353,3.15092,3.14702,3.15092,3.18995,-9999,-9999
20170109,1.753,0.0,173.992,99.714,0.0,265.804,0.0,3.234,0.0,96.495,0.0,0.0,0.0,6.121,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,81.904,-9999,115.304,-9999,-9999,-9999,53.3184,-9999,72.0451,-9999,-9999,-9999,-1.84802,0.0,-9999,-1.84802,-1.84802,-1.8156,0.0,0.0,0.0,2.15789,2.03612,2.08802,2.1813,4.0059,3.88413,3.93604,4.00446,2.64927,2.64673,2.64927,2.66941,2.90433,2.90049,2.90433,2.94202,-9999,-9999
20170110,6.339,0.0,175.075,114.615,0.0,273.22,0.0,3.864,0.0,95.594,0.0,0.287,0.0,7.129,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.4295,-9999,128.714,-9999,-9999,-9999,53.5107,-9999,73.314,-9999,-9999,-9999,-1.76963,0.0,-9999,-1.80422,-1.76963,-1.76963,0.0,0.0,0.0,2.67447,2.54215,2.60065,2.69584,4.4441,4.34636,4.37028,4.44934,2.91281,2.91002,2.91281,2.93495,3.26042,3.25653,3.26042,3.29964,-9999,-9999
