TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,0.611,0.0,184.822,93.568,0.0,272.874,0.0,2.514,0.0,96.682,0.0,0.642,0.0,5.035,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.5743,0.0,129.762,-9999,51.2747,0.0,74.279,-9999,-1.89506,0.0,-9999,-1.9122,-1.89506,-1.87326,0.0,0.0,0.0,2.04767,1.93211,1.98181,2.0719,3.93019,3.84636,3.87686,3.93625,2.61512,2.56688,2.56935,2.58887,2.79371,2.73303,2.73673,2.77279,-9999,-9999
201702,6.367,0.0,245.425,146.533,0.0,280.797,0.0,4.718,0.0,96.507,0.0,0.385,0.0,5.153,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.7157,0.0,135.977,-9999,51.042,0.0,77.3615,-9999,-1.9057,0.0,-9999,-1.92221,-1.9057,-1.88172,0.0,0.0,0.0,2.69099,2.56374,2.62111,2.71187,4.58246,4.48936,4.52681,4.58432,2.94283,2.88854,2.89131,2.91329,4.06063,3.99443,3.99848,4.04147,-9999,-9999
201703,9.189,0.0,327.589,163.366,0.0,307.778,0.0,6.105,0.0,96.854,0.0,2.646,0.0,6.365,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.267,0.0,135.297,-9999,51.2685,0.0,77.7048,-9999,-1.89759,0.0,-9999,-1.91361,-1.89759,-1.87429,0.0,0.0,0.0,3.01591,2.88468,2.94529,3.03428,4.90062,4.79829,4.84288,4.89955,3.09194,3.03491,3.03782,3.06091,4.40776,4.34241,4.34639,4.39024,-9999,-9999
201704,13.419,0.0,407.182,203.793,0.0,329.013,0.0,5.624,0.0,96.321,0.0,3.334,0.0,6.023,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.5124,0.0,126.388,-9999,51.2001,0.0,72.2923,-9999,-1.89924,0.0,-9999,-1.9158,-1.89924,-1.87624,0.0,0.0,0.0,3.50955,3.37284,3.4382,3.52387,5.39522,5.28864,5.33744,5.39438,3.31245,3.25134,3.25446,3.2792,5.25339,5.19057,5.1944,5.24016,-9999,-9999
201705,17.726,0.0,462.638,254.38,0.0,341.216,0.0,7.721,0.0,96.256,0.0,2.96,0.0,5.299,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.04223,0.0,89.5743,0.0,117.537,-9999,51.2747,0.0,67.2813,-9999,-1.89506,0.0,-9999,-1.9122,-1.89506,-1.87326,0.0,0.0,0.0,4.01911,3.89865,3.9501,4.01959,5.9007,5.7936,5.84516,5.88968,3.5086,3.44387,3.44718,3.47338,6.35699,6.29475,6.29855,6.34799,-9999,-9999
201706,23.857,0.0,485.812,292.218,0.0,375.971,0.0,10.99,0.0,96.349,0.0,2.272,0.0,5.163,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.084,0.0,89.5124,0.0,124.739,-9999,51.2001,0.0,71.3491,-9999,-1.89924,0.0,-9999,-1.9158,-1.89924,-1.87624,0.0,0.0,0.0,4.74027,4.60641,4.67695,4.73698,6.62498,6.52814,6.57619,6.59435,3.76527,3.69582,3.69936,3.72748,7.13347,7.07571,7.07975,7.1298,-9999,-9999
201707,26.404,0.00873656,474.133,286.384,0.00873656,395.23,0.00873656,12.436,0.00873656,96.663,0.00806452,0.632,0.00806452,4.278,0.00806452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.9861,0.00739247,89.7026,0.0,106.736,1.61043,51.2629,0.00806452,60.9972,0.892561,-1.90312,0.0,-9999,-1.91914,-1.90312,-1.87917,0.0,0.0,0.0,5.03543,4.90221,4.97533,5.02414,6.9242,6.82591,6.87657,6.88758,3.86231,3.79106,3.7947,3.82354,7.02391,6.96533,6.96933,7.0194,-9999,-9999
201708,22.734,0.997984,429.175,247.302,0.994624,373.388,0.997984,8.936,0.997984,96.875,0.984543,2.271,1.0,3.642,0.993952,0.2581807580515522,0.9845430107526881,140.71953379649258,0.9939516129032258,496.7926391856115,0.9952956989247312,36.81297696027268,0.9952956989247312,81.42152080139597,0.9952956989247312,45.393884306674494,0.9952956989247312,436.5559646705155,0.9939516129032258,-9999,-9999,23.383,23.103,22.894,22.55,22.298,21.319,20.452,19.333,17.801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.089,-9999,-9999,-9999,-9999,12.865,-9999,27.353,0.000672043,-9999,-9999,-9999,-9999,0.000672043,-9999,0.000672043,2.61801,0.997984,83.954,0.723118,99.896,0.756993,30.041,0.99664,35.7455,0.505002,-1.159,0.111559,0.0749086,-1.1892,-1.15864,-1.11614,0.112903,0.111559,0.110215,4.61056,4.48617,4.54568,4.61057,5.73786,5.663,5.70101,5.71459,3.72355,3.65486,3.65837,3.68617,6.17158,6.11301,6.11665,6.16384,-9999,-9999
201709,22.486,1.0,358.966,199.619,0.99375,368.968,1.0,11.929,1.0,96.813,0.988194,0.533,0.965278,5.253,0.977083,0.34694051435828127,0.9715277777777778,96.45809812801933,0.9986111111111112,400.775594504831,0.9986111111111112,34.61853562801932,0.9986111111111112,70.38040760869566,0.9986111111111112,38.06116425120773,0.9986111111111112,435.52327596618363,0.9986111111111112,407.875,0.984028,22.134,21.724,21.48,21.175,21.11,20.471,19.895,19.189,18.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.122,-9999,-9999,-9999,-9999,12.873,-9999,27.36,0.0,-9999,-9999,-9999,-9999,0.0,-9999,0.0,1.85845,0.989583,47.3352,0.886806,55.9316,0.460995,31.2806,0.979861,36.9613,0.577886,0.0989248,0.798611,0.0344577,0.103926,0.11034,0.131762,0.795833,0.8,0.802083,3.34571,3.3227,3.33224,3.35045,3.23031,3.2113,3.22123,3.22965,2.98679,2.97737,2.98238,3.00414,3.13215,3.09778,3.11103,3.12991,-9999,-9999
201710,14.503,1.0,276.009,148.546,1.0,321.541,1.0,7.522,1.0,96.759,0.99664,1.2,0.9375,6.353,0.953629,0.424223894667374,0.950268817204301,53.47282729924504,0.9973118279569892,299.66732998741713,0.9966397849462366,30.105109528711967,0.9966397849462366,40.555123255547926,0.9973118279569892,28.33965825897964,0.9973118279569892,390.4083504918783,0.9973118279569892,415.42,0.980511,15.063,15.144,15.785,16.159,17.268,17.821,18.158,18.17,17.615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.098,14.426,-9999,-9999,14.265,11.627,-9999,19.029,0.000672043,0.000672043,-9999,-9999,0.000672043,0.000672043,-9999,0.0,-3.41273,0.975806,27.5433,0.922715,31.5748,0.277245,24.9938,0.990591,28.6521,0.545459,0.997098,0.91129,0.0110223,0.991669,0.993745,1.00175,0.891129,0.911962,0.913978,2.01433,2.00067,2.00438,2.0118,1.00955,1.00422,1.00835,1.01258,1.83488,1.81173,1.82351,1.83802,0.959719,0.906916,0.928298,0.952037,-9999,-9999
