TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-5.421,0.0,169.535,89.685,0.0,250.576,0.0,1.72,0.0,97.199,0.0,0.574,0.0,4.656,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.7863,0.0,120.724,-9999,51.5302,0.0,69.2858,-9999,-1.88073,0.0,-9999,-1.89986,-1.88073,-1.86302,0.0,0.0,0.0,1.43192,1.33536,1.37468,1.45819,3.30029,3.24108,3.25564,3.30558,2.17967,2.17758,2.17967,2.19624,2.69336,2.63398,2.6376,2.67275,-9999,-9999
20170108,20170114,-0.699,0.0,176.326,94.93,0.0,266.904,0.0,2.947,0.0,97.099,0.0,0.069,0.0,5.491,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.3255,0.0,127.742,-9999,50.5674,0.0,71.5146,-9999,-1.92508,0.0,-9999,-1.94142,-1.92508,-1.89814,0.0,0.0,0.0,1.89764,1.78365,1.83144,1.9211,3.80418,3.72677,3.75651,3.81341,2.49496,2.49257,2.49496,2.51392,2.84503,2.78272,2.78652,2.82347,-9999,-9999
20170115,20170121,4.151,0.0,185.815,60.933,0.0,309.24,0.0,1.762,0.0,96.133,0.0,2.151,0.0,3.741,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.4255,0.0,138.447,-9999,51.5028,0.0,80.6372,-9999,-1.89192,0.0,-9999,-1.90612,-1.89192,-1.86758,0.0,0.0,0.0,2.42256,2.29446,2.35004,2.44529,4.30213,4.20057,4.24197,4.30554,2.79203,2.78935,2.79203,2.81325,1.92248,1.87188,1.87494,1.90352,-9999,-9999
20170122,20170128,2.189,0.0,197.808,116.228,0.0,263.672,0.0,2.74,0.0,96.31,0.0,0.047,0.0,6.416,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.7863,0.0,135.816,-9999,51.5302,0.0,77.9474,-9999,-1.88073,0.0,-9999,-1.89986,-1.88073,-1.86302,0.0,0.0,0.0,2.20175,2.07834,2.13105,2.22528,4.07012,3.97958,4.01177,4.07738,2.67824,2.67568,2.67824,2.6986,3.38372,3.31696,3.32103,3.36184,-9999,-9999
20170129,20170204,2.303,0.0,212.048,135.072,0.0,259.139,0.0,3.747,0.0,97.202,0.0,0.012,0.0,4.996,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.3255,0.0,136.631,-9999,50.5674,0.0,76.491,-9999,-1.92508,0.0,-9999,-1.94142,-1.92508,-1.89814,0.0,0.0,0.0,2.22099,2.09849,2.15102,2.24393,4.12753,4.0401,4.07609,4.13596,2.67779,2.67522,2.67779,2.69814,3.82826,3.76064,3.76477,3.80756,-9999,-9999
20170205,20170211,4.339,0.0,228.223,130.29,0.0,283.138,0.0,3.496,0.0,96.324,0.0,0.033,0.0,4.662,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.4255,0.0,133.757,-9999,51.5028,0.0,77.9058,-9999,-1.89192,0.0,-9999,-1.90612,-1.89192,-1.86758,0.0,0.0,0.0,2.46087,2.33579,2.39064,2.48196,4.34044,4.2419,4.28256,4.34143,2.78218,2.77951,2.78218,2.80333,3.71788,3.64966,3.65382,3.69646,-9999,-9999
20170212,20170218,8.365,0.0,245.975,154.539,0.0,277.205,0.0,6.326,0.0,96.649,0.0,0.056,0.0,4.835,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.7863,0.0,135.816,-9999,51.5302,0.0,77.9474,-9999,-1.88073,0.0,-9999,-1.89986,-1.88073,-1.86302,0.0,0.0,0.0,2.91637,2.78352,2.84369,2.93508,4.78474,4.68337,4.72441,4.78481,3.00495,3.00207,3.00495,3.02779,4.22515,4.16049,4.16445,4.20738,-9999,-9999
20170219,20170225,9.268,0.0,264.919,143.949,0.0,299.489,0.0,5.123,0.0,96.101,0.0,1.123,0.0,5.837,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.3255,0.0,141.726,-9999,50.5674,0.0,79.3433,-9999,-1.92508,0.0,-9999,-1.94142,-1.92508,-1.89814,0.0,0.0,0.0,3.02941,2.89716,2.95783,3.04655,4.93596,4.8419,4.88291,4.93573,3.04103,3.03812,3.04103,3.06415,3.99531,3.92897,3.93302,3.97583,-9999,-9999
20170226,20170304,8.1,0.0,284.658,193.899,0.0,269.933,0.0,6.21,0.0,96.824,0.0,0.317,0.0,6.299,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.4255,0.0,111.958,-9999,51.5028,0.0,65.209,-9999,-1.89192,0.0,-9999,-1.90612,-1.89192,-1.86758,0.0,0.0,0.0,2.88941,2.75745,2.81717,2.90809,4.76898,4.66356,4.70909,4.76782,2.9881,2.98524,2.9881,3.01081,5.05795,4.99721,5.00093,5.04516,-9999,-9999
20170305,20170311,8.921,0.0,304.804,173.948,0.0,294.099,0.0,6.657,0.0,96.897,0.0,0.318,0.0,7.394,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.7863,0.0,115.107,-9999,51.5302,0.0,66.0625,-9999,-1.88073,0.0,-9999,-1.89986,-1.88073,-1.86302,0.0,0.0,0.0,2.98582,2.85372,2.91408,3.00342,4.85419,4.75358,4.7948,4.85311,3.025,3.0221,3.025,3.04799,4.65811,4.59212,4.59615,4.64118,-9999,-9999
