TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-1.265,0.0,190.92,108.075,0.0,252.03,0.0,2.05,0.0,81.701,0.0,1.151,0.0,2.798,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.2019,0.0,22.2026,-9999,24.362,0.0,35.5811,-9999,0.173665,0.0,-9999,0.133137,0.175432,0.186297,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201702,4.339,0.0,251.03,145.999,0.0,266.59,0.0,3.645,0.0,81.693,0.0,0.591,0.0,3.165,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.4169,0.0,22.5166,-9999,24.3046,0.0,35.4972,-9999,0.176624,0.0,-9999,0.138276,0.17849,0.189692,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201703,9.648,0.0,331.955,220.067,0.0,268.313,0.0,8.847,0.0,81.973,0.0,0.425,0.0,3.35,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.1638,0.0,22.1469,-9999,24.5426,0.0,35.8448,-9999,0.174607,0.0,-9999,0.134976,0.176457,0.187444,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201704,10.703,0.0,409.685,280.813,0.0,268.781,0.0,10.218,0.0,81.674,0.0,0.123,0.0,3.907,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.2557,0.0,22.2811,-9999,24.4063,0.0,35.6458,-9999,0.17491,0.0,-9999,0.13537,0.176736,0.187748,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201705,15.383,0.0,463.318,307.104,0.0,292.757,0.0,13.742,0.0,81.752,0.0,0.414,0.0,3.679,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.1268,0.0,15.2019,0.0,22.2026,-9999,24.362,0.0,35.5811,-9999,0.173665,0.0,-9999,0.133137,0.175432,0.186297,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201706,23.833,0.0,485.522,351.231,0.0,318.664,0.0,26.321,0.0,81.94,0.0,0.037,0.0,3.786,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.15797,0.0,15.2557,0.0,22.2811,-9999,24.4063,0.0,35.6458,-9999,0.17491,0.0,-9999,0.13537,0.176736,0.187748,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201707,24.787,0.0100806,474.248,305.985,0.0100806,361.708,0.0100806,22.239,0.0100806,82.328,0.0094086,0.421,0.0094086,2.534,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.41934,0.0100806,15.4013,0.0,-9999,-9999,24.3144,0.0,-9999,-9999,0.176459,0.0,-9999,0.137995,0.17832,0.189504,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201708,23.403,1.0,430.84,274.832,1.0,341.833,1.0,21.151,1.0,82.342,0.990591,0.609,1.0,2.724,0.0,-9999,-9999,96.40517436438783,0.993279569892473,560.1175791962174,0.9966397849462365,72.9598053479123,0.9959677419354838,70.33504775795012,0.9986559139784946,57.01772491370993,0.9952956989247311,460.4518776172997,0.9973118279569892,407.759,0.942204,26.552,26.338,25.89,25.384,24.82,23.738,21.932,20.66,19.192,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,10.031,-9999,-9999,-9999,-9999,26.25,-9999,-9999,0.000672043,-9999,-9999,-9999,-9999,0.000672043,-9999,-9999,6.08062,0.985215,15.1638,0.0,-9999,-9999,24.5426,0.0,-9999,-9999,0.174607,0.0,-9999,0.134976,0.176457,0.187444,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201709,18.578,1.0,362.521,229.329,1.0,316.94,1.0,15.592,1.0,82.12,0.971528,0.0,1.0,3.056,0.0,-9999,-9999,72.5699732877651,0.9909722222222223,462.7664531602255,0.9965277777777779,64.02915787037037,0.9965277777777779,57.330264492753614,0.9965277777777779,49.470376684825425,0.9923611111111111,422.90676247987113,0.9965277777777779,405.218,0.953472,20.777,20.836,21.1,21.293,21.441,21.662,20.824,20.577,19.497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.041,-9999,-9999,-9999,-9999,26.045,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-2.91258,0.995833,15.2557,0.0,-9999,-9999,24.4063,0.0,-9999,-9999,0.17491,0.0,-9999,0.13537,0.176736,0.187748,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201710,11.175,0.990591,281.107,197.639,0.990591,266.805,0.990591,10.351,0.990591,82.223,0.976478,0.0,0.919355,3.031,0.0,-9999,-9999,41.753811216440965,0.9583333333333333,394.8574034996122,0.9616935483870968,60.219031629235616,0.963709677419355,34.460911373628555,0.9858870967741936,44.350188045681634,0.9791666666666667,373.6523248880814,0.9778225806451614,406.289,0.989919,12.747,12.78,13.149,13.675,14.196,15.309,15.59,17.049,17.096,0.990591,0.990591,0.990591,0.990591,0.990591,0.990591,0.990591,0.990591,0.990591,10.052,7.831,8.457,-9999,12.997,26.198,-9999,-9999,0.000672043,0.000672043,0.000672043,-9999,0.000672043,0.000672043,-9999,-9999,-3.57795,0.980511,15.2019,0.0,-9999,-9999,24.362,0.0,-9999,-9999,0.173665,0.0,-9999,0.133137,0.175432,0.186297,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
