TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,1.514,0.0,197.13,72.613,0.0,292.486,0.0,2.091,0.0,88.273,0.0,4.787,0.0,4.122,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.9504,0.0,53.32,-9999,-5.79388,0.0,-7.73283,-9999,0.532177,0.0,-9999,0.439843,0.538702,0.811681,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201702,4.245,0.0,256.705,130.473,0.0,280.054,0.0,3.186,0.0,88.283,0.0,1.458,0.0,4.4,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,40.0471,0.0,52.7968,-9999,-5.81648,0.0,-7.66827,-9999,0.526517,0.0,-9999,0.43569,0.532955,0.806999,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201703,3.736,0.0,336.337,176.647,0.0,279.029,0.0,2.962,0.0,88.704,0.0,4.358,0.0,4.663,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.8712,0.0,52.565,-9999,-5.83961,0.0,-7.69876,-9999,0.529768,0.0,-9999,0.440285,0.535571,0.813835,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201704,11.352,0.0,412.152,190.942,0.0,323.786,0.0,3.945,0.0,88.433,0.0,7.233,0.0,3.981,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.9532,0.0,53.3237,-9999,-5.81666,0.0,-7.76324,-9999,0.529586,0.0,-9999,0.438703,0.535835,0.810966,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201705,12.78,0.0,463.93,207.365,0.0,338.53,0.0,3.658,0.0,88.127,0.0,10.339,0.0,3.98,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.9504,0.0,52.6694,-9999,-5.79388,0.0,-7.63848,-9999,0.532177,0.0,-9999,0.439843,0.538702,0.811681,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201706,16.044,0.0,485.151,246.952,0.0,347.689,0.0,4.183,0.0,88.483,0.0,5.93,0.0,2.791,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.0338,0.0,39.9532,0.0,52.6731,-9999,-5.81666,0.0,-7.66851,-9999,0.529586,0.0,-9999,0.438703,0.535835,0.810966,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201707,18.76,0.0,474.288,249.403,0.0,366.071,0.0,5.199,0.0,88.589,0.0,3.964,0.0,2.596,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.17739,0.0,40.038,0.0,48.3394,-9999,-5.8165,0.0,-7.02249,-9999,0.526814,0.0,-9999,0.435981,0.533233,0.807383,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201708,17.271,0.00739247,432.454,195.984,0.00739247,361.72,0.00739247,4.594,0.00739247,88.632,0.00672043,3.938,0.00672043,2.357,0.00672043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.85353,0.00672043,39.8712,0.0,43.8392,-9999,-5.83961,0.0,-6.42076,-9999,0.529768,0.0,-9999,0.440285,0.535571,0.813835,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201709,14.387,1.0,366.068,171.569,1.0,332.504,1.0,3.662,1.0,88.752,0.984722,1.799,1.0,2.906,0.513889,-9999,-9999,90.91047283293933,0.9965277777777778,394.4959496480302,0.7083333333333334,-9999,-9999,66.40333835697399,0.9965277777777778,26.49936097320725,0.9965277777777778,389.05368853427893,0.9965277777777778,-9999,-9999,14.281,14.142,13.96,14.024,13.755,13.904,13.584,13.393,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,35.262,28.264,16.194,14.486,-9999,33.673,33.737,31.925,0.00138889,0.000694444,0.000694444,0.00138889,-9999,0.000694444,0.00138889,0.000694444,1.80753,0.966667,39.9532,0.0,46.9477,-9999,-5.81666,0.0,-6.83497,-9999,0.529586,0.0,-9999,0.438703,0.535835,0.810966,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201710,11.394,1.0,286.251,155.889,1.0,308.587,1.0,4.057,1.0,88.78,0.991263,8.443,0.887769,3.203,0.468414,-9999,-9999,70.59592609516277,0.9952956989247312,326.6143035744483,0.9939516129032259,-9999,-9999,41.422159079605706,0.9952956989247312,22.528662410601495,0.9952956989247312,374.1842575945212,0.9952956989247312,-9999,-9999,12.673,12.762,12.949,13.25,13.114,13.376,13.163,13.07,-9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,35.305,28.268,16.194,14.504,13.715,25.285,30.088,31.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.45252,0.995968,39.9504,0.0,53.7091,-9999,-1.87506,0.0,-2.52082,-9999,0.532177,0.0,-9999,0.439843,0.538702,0.811681,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
