TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-8.298,0.0,112.31,63.165,0.0,253.188,0.0,0.536,0.0,94.314,0.0,0.496,0.0,5.897,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.7054,-9999,27.6096,-9999,-9999,-9999,2.1207,-9999,3.09529,-9999,-9999,-9999,0.199501,0.0,-9999,0.193427,0.199501,0.222703,0.0,0.0,0.0,0.527295,0.500236,0.526686,0.527617,0.317404,0.302763,0.307295,0.321147,0.513913,0.47532,0.502025,0.513913,0.25949,0.247188,0.251211,0.253156,-9999,-9999
20170102,-12.466,0.0,112.925,34.174,0.0,257.898,0.0,0.306,0.0,94.757,0.0,1.655,0.0,8.681,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.9909,-9999,29.7242,-9999,-9999,-9999,7.27307,-9999,10.6946,-9999,-9999,-9999,0.191815,0.0,-9999,0.191815,0.193412,0.215018,0.0,0.0,0.0,0.469467,0.423294,0.468394,0.470033,0.259575,0.230545,0.249285,0.263778,0.435438,0.402738,0.425366,0.435438,0.143188,0.136056,0.137133,0.139553,-9999,-9999
20170103,-20.719,0.0,113.599,78.38,0.0,172.823,0.0,0.317,0.0,95.619,0.0,0.007,0.0,9.143,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.3505,-9999,25.7983,-9999,-9999,-9999,5.6081,-9999,8.19184,-9999,-9999,-9999,0.288003,0.0,-9999,0.281844,0.286534,0.288003,0.0,0.0,0.0,0.334333,0.25965,0.332466,0.335323,0.0157065,-0.0232183,0.0444626,0.0485094,0.268132,0.247996,0.261929,0.268132,0.319232,0.305509,0.31064,0.311572,-9999,-9999
20170104,-22.618,0.0,114.332,76.485,0.0,167.45,0.0,0.314,0.0,95.159,0.0,0.006,0.0,6.941,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.7054,-9999,27.5161,-9999,-9999,-9999,2.1207,-9999,3.04349,-9999,-9999,-9999,0.199501,0.0,-9999,0.193427,0.199501,0.222703,0.0,0.0,0.0,0.299216,0.221114,0.297218,0.300276,0.0672345,0.027687,0.0752132,0.0917498,0.228632,0.211462,0.223343,0.228632,0.311909,0.298298,0.303314,0.304406,-9999,-9999
20170105,-21.552,0.0,115.123,79.91,0.0,166.566,0.0,0.316,0.0,94.924,0.0,0.005,0.0,6.648,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.9909,-9999,28.8727,-9999,-9999,-9999,7.27307,-9999,10.2434,-9999,-9999,-9999,0.191815,0.0,-9999,0.191815,0.193412,0.215018,0.0,0.0,0.0,0.319626,0.242653,0.317686,0.320654,0.0960966,0.0501338,0.0993026,0.112804,0.250733,0.231903,0.244933,0.250733,0.325263,0.311383,0.316529,0.317469,-9999,-9999
20170106,-20.356,0.0,115.973,61.45,0.0,188.559,0.0,0.306,0.0,95.073,0.0,0.101,0.0,3.869,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.3505,-9999,24.8907,-9999,-9999,-9999,5.6081,-9999,7.83622,-9999,-9999,-9999,0.288003,0.0,-9999,0.281844,0.286534,0.288003,0.0,0.0,0.0,0.340896,0.267086,0.339057,0.34187,0.0227029,-0.0157826,0.0510541,0.0550605,0.275747,0.25504,0.269369,0.275747,0.253385,0.241061,0.244938,0.247154,-9999,-9999
20170107,-25.953,0.0,116.881,82.317,0.0,167.231,0.0,0.276,0.0,96.199,0.0,0.0,0.0,5.08,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.7054,-9999,26.4728,-9999,-9999,-9999,2.1207,-9999,2.91959,-9999,-9999,-9999,0.199501,0.0,-9999,0.193427,0.199501,0.222703,0.0,0.0,0.0,0.233828,0.15491,0.231705,0.234957,0.000466016,-0.0385174,0.0098747,0.0258478,0.16063,0.148567,0.156914,0.16063,0.334667,0.320589,0.325721,0.326921,-9999,-9999
20170108,-19.117,0.0,117.846,72.162,0.0,206.154,0.0,0.337,0.0,95.062,0.0,0.0,0.0,7.583,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.9909,-9999,27.7159,-9999,-9999,-9999,7.27307,-9999,9.86318,-9999,-9999,-9999,0.191815,0.0,-9999,0.191815,0.193412,0.215018,0.0,0.0,0.0,0.362651,0.292275,0.360919,0.363568,0.142272,0.0997979,0.142322,0.156158,0.301531,0.278887,0.294556,0.301531,0.294609,0.281581,0.286254,0.287506,-9999,-9999
20170109,-17.306,0.0,118.869,49.315,0.0,248.499,0.0,0.313,0.0,93.93,0.0,1.136,0.0,4.714,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.3505,-9999,23.5551,-9999,-9999,-9999,5.6081,-9999,7.44364,-9999,-9999,-9999,0.288003,0.0,-9999,0.281844,0.286534,0.288003,0.0,0.0,0.0,0.39439,0.328869,0.39281,0.395226,0.0801308,0.0460011,0.104807,0.108455,0.338992,0.313535,0.331151,0.338992,0.204084,0.194415,0.196838,0.199028,-9999,-9999
20170110,-16.174,0.0,119.951,81.842,0.0,221.38,0.0,0.438,0.0,93.596,0.0,0.622,0.0,8.034,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.7054,-9999,25.0094,-9999,-9999,-9999,2.1207,-9999,2.76059,-9999,-9999,-9999,0.199501,0.0,-9999,0.193427,0.199501,0.222703,0.0,0.0,0.0,0.412891,0.351426,0.411424,0.413667,0.18891,0.157999,0.18891,0.206094,0.362051,0.334862,0.353676,0.362051,0.332749,0.318743,0.323853,0.325036,-9999,-9999
