TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-11.404,0.0,129.849,76.816,0.0,230.409,0.0,0.651,0.0,94.486,0.0,0.166,0.0,6.714,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.683,0.0,27.4932,-9999,4.90772,0.0,7.22201,-9999,0.229728,0.0,-9999,0.222302,0.225571,0.241254,0.0,0.0,0.0,0.470857,0.434605,0.470274,0.471651,0.20869,0.212303,0.229921,0.240767,0.452407,0.413197,0.436412,0.446746,0.304341,0.299492,0.304567,0.305533,-9999,-9999
201702,-5.605,0.0,193.305,113.198,0.0,243.259,0.0,1.016,0.0,94.264,0.0,0.123,0.0,5.636,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.729,0.0,27.5608,-9999,5.08178,0.0,7.47815,-9999,0.229367,0.0,-9999,0.222201,0.225203,0.240913,0.0,0.0,0.0,0.550322,0.537853,0.55012,0.550598,0.312534,0.312534,0.316207,0.321173,0.55909,0.510634,0.539323,0.552094,0.446682,0.438452,0.444265,0.448051,-9999,-9999
201703,-1.167,0.0,285.224,155.776,0.0,265.414,0.0,1.947,0.0,94.784,0.0,0.211,0.0,5.003,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6393,0.0,27.4438,-9999,5.02022,0.0,7.39158,-9999,0.23238,0.0,-9999,0.225187,0.228426,0.243357,0.0,0.0,0.0,0.60197,0.60197,0.606732,0.609938,0.381513,0.366862,0.373544,0.384582,0.633344,0.578452,0.610952,0.625419,0.612169,0.59935,0.603199,0.614038,-9999,-9999
201704,6.897,0.0,381.015,206.57,0.0,288.332,0.0,4.415,0.0,94.489,0.0,0.238,0.0,4.469,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6822,0.0,26.6397,-9999,5.00062,0.0,7.13056,-9999,0.230529,0.0,-9999,0.223264,0.22644,0.241872,0.0,0.0,0.0,0.684478,0.684478,0.699936,0.72988,0.50435,0.451851,0.458038,0.506616,0.757427,0.691781,0.730648,0.747949,0.808576,0.788765,0.789752,0.809644,-9999,-9999
201705,13.827,0.0,453.117,262.861,0.0,310.156,0.0,8.878,0.0,94.314,0.0,0.277,0.0,5.138,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.683,0.0,27.0757,-9999,4.90772,0.0,7.11236,-9999,0.229728,0.0,-9999,0.222302,0.225571,0.241254,0.0,0.0,0.0,0.739546,0.739546,0.755725,0.815432,0.591405,0.508299,0.513976,0.592754,0.845707,0.77241,0.815807,0.835125,1.02554,0.994328,0.99958,1.02554,-9999,-9999
201706,19.325,0.0,485.396,281.438,0.0,339.731,0.0,12.108,0.0,94.2,0.0,0.246,0.0,5.244,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6822,0.0,26.2517,-9999,5.00062,0.0,7.02671,-9999,0.230529,0.0,-9999,0.223264,0.22644,0.241872,0.0,0.0,0.0,0.777651,0.777651,0.794306,0.876225,0.651811,0.546287,0.552024,0.651811,0.90841,0.829678,0.876292,0.897042,1.09717,1.06195,1.06889,1.09717,-9999,-9999
201707,23.34,0.0,469.909,286.614,0.0,367.066,0.0,13.534,0.0,94.607,0.0,0.258,0.0,4.379,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08105,0.0,18.7245,0.0,25.6792,-9999,5.07393,0.0,6.95852,-9999,0.22948,0.0,-9999,0.222304,0.225323,0.241006,0.0,0.0,0.0,0.802546,0.802546,0.819503,0.916715,0.693753,0.572121,0.578708,0.693753,0.950157,0.867807,0.916563,0.938267,1.1168,1.07985,1.08767,1.1168,-9999,-9999
201708,18.29,0.0,410.615,219.489,0.0,350.638,0.0,7.277,0.0,94.74,0.0,0.584,0.0,3.734,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.979083,0.0,18.6393,0.0,24.4034,-9999,5.02022,0.0,6.5727,-9999,0.23238,0.0,-9999,0.225187,0.228426,0.243357,0.0,0.0,0.0,0.771533,0.771533,0.788115,0.866191,0.639706,0.538731,0.543871,0.639706,0.898066,0.82023,0.866314,0.886828,0.858466,0.836108,0.838022,0.859632,-9999,-9999
201709,14.895,0.00902778,323.577,168.071,0.00902778,332.507,0.00902778,7.247,0.00902778,94.562,0.00833333,0.444,0.00833333,4.731,0.00833333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.25838,0.00833333,18.6801,0.0,22.9956,0.194809,4.1681,0.00902778,5.13103,0.685126,0.230211,0.0,-9999,0.223102,0.226037,0.241621,0.0,0.0,0.0,0.746904,0.746904,0.763175,0.827166,0.602765,0.515386,0.520867,0.603725,0.85781,0.783463,0.827481,0.847075,0.658939,0.644203,0.64587,0.660305,-9999,-9999
201710,7.604,0.850806,227.812,123.17,0.857527,281.756,0.84879,5.223,0.848118,94.37,0.815188,0.161,1.0,5.811,0.755376,0.34523146328489884,0.7244623655913979,30.22130828191936,0.6895161290322581,252.84580661481255,0.7130376344086023,25.059058299704223,0.7385752688172043,48.271535485697136,0.715725806451613,27.30541429142665,0.7177419354838711,351.3676271491116,0.7090053763440861,-9999,-9999,8.574,8.851,9.537,9.921,10.372,11.328,11.73,11.75,11.891,0.877016,0.870296,0.868952,0.869624,0.889113,0.866263,0.856183,0.854839,0.875672,15.373,9.608,-9999,4.122,-9999,5.567,-9999,21.395,0.00134409,0.00134409,-9999,0.000672043,-9999,0.204973,-9999,0.119624,-3.05981,0.865591,18.1784,0.6875,21.5189,0.185762,11.1938,0.850134,13.2508,0.417613,0.166772,0.24328,0.00847347,0.166772,0.175364,0.180671,0.24328,0.245296,0.241263,0.689632,0.689632,0.705001,0.738044,0.572065,0.520035,0.529228,0.557093,0.766406,0.698656,0.737283,0.756815,0.484998,0.474735,0.480723,0.486481,-9999,-9999
