TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-18.852,0.0,114.449,67.983,0.0,196.245,0.0,0.339,0.0,95.149,0.0,0.324,0.0,6.608,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6856,0.0,26.8806,-9999,4.5892,0.0,6.60191,-9999,0.222592,0.0,-9999,0.219002,0.222592,0.239134,0.0,0.0,0.0,0.360666,0.295563,0.35903,0.361533,0.0723729,0.0765617,0.118856,0.13245,0.304746,0.281861,0.297697,0.304746,0.278162,0.265544,0.269952,0.271425,-9999,-9999
20170108,20170114,-19.066,0.0,121.204,78.553,0.0,201.879,0.0,0.369,0.0,94.815,0.0,0.269,0.0,6.608,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.8692,0.0,27.1447,-9999,5.32526,0.0,7.66078,-9999,0.221494,0.0,-9999,0.219012,0.221494,0.238036,0.0,0.0,0.0,0.362589,0.29331,0.360879,0.363494,0.0711674,0.0742991,0.120939,0.134617,0.302563,0.279842,0.295564,0.302563,0.319652,0.306053,0.311076,0.312048,-9999,-9999
20170115,20170121,-8.251,0.0,130.755,77.366,0.0,249.248,0.0,0.658,0.0,93.717,0.0,0.026,0.0,4.504,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.492,0.0,26.6021,-9999,5.0874,0.0,7.31861,-9999,0.235235,0.0,-9999,0.231291,0.235235,0.248447,0.0,0.0,0.0,0.522878,0.49709,0.522279,0.523195,0.261598,0.265314,0.274431,0.283701,0.510632,0.472285,0.49882,0.510632,0.315371,0.301671,0.306768,0.307791,-9999,-9999
20170122,20170128,-4.339,0.0,142.986,75.899,0.0,263.543,0.0,0.844,0.0,94.384,0.0,0.066,0.0,7.543,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6856,0.0,26.8806,-9999,4.5892,0.0,6.60191,-9999,0.222592,0.0,-9999,0.219002,0.222592,0.239134,0.0,0.0,0.0,0.574173,0.566524,0.574002,0.574262,0.343852,0.342608,0.347522,0.348665,0.581414,0.537752,0.567965,0.581414,0.309549,0.296016,0.30099,0.3021,-9999,-9999
20170129,20170204,-8.086,0.0,157.722,99.995,0.0,222.645,0.0,0.918,0.0,94.785,0.0,0.059,0.0,8.511,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.8692,0.0,26.8688,-9999,5.32526,0.0,7.58291,-9999,0.221494,0.0,-9999,0.219012,0.221494,0.238036,0.0,0.0,0.0,0.519875,0.495383,0.519288,0.520185,0.273652,0.276371,0.282149,0.293076,0.508826,0.470615,0.497056,0.508826,0.403859,0.388231,0.394331,0.396371,-9999,-9999
20170205,20170211,-10.813,0.0,174.724,104.305,0.0,236.806,0.0,0.761,0.0,94.181,0.0,0.087,0.0,7.062,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.492,0.0,21.0724,-9999,5.0874,0.0,5.7973,-9999,0.235235,0.0,-9999,0.231291,0.235235,0.248447,0.0,0.0,0.0,0.479992,0.444275,0.479121,0.480452,0.208701,0.212496,0.230341,0.24061,0.456653,0.42236,0.44609,0.456653,0.42064,0.404682,0.410746,0.413277,-9999,-9999
20170212,20170218,0.333,0.0,193.692,127.471,0.0,251.34,0.0,1.473,0.0,94.162,0.0,0.0,0.0,6.35,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6856,0.0,21.2929,-9999,4.5892,0.0,5.22958,-9999,0.222592,0.0,-9999,0.219002,0.222592,0.239134,0.0,0.0,0.0,0.624947,0.625065,0.630698,0.640053,0.417754,0.394336,0.402473,0.421052,0.656373,0.607082,0.64119,0.656373,0.509674,0.492583,0.497895,0.503822,-9999,-9999
20170219,20170225,-0.502,0.0,214.279,104.638,0.0,267.889,0.0,1.295,0.0,94.022,0.0,0.374,0.0,3.706,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.8692,0.0,28.3871,-9999,5.32526,0.0,8.0114,-9999,0.221494,0.0,-9999,0.219012,0.221494,0.238036,0.0,0.0,0.0,0.614937,0.615022,0.619852,0.626132,0.404638,0.384126,0.393528,0.406905,0.641942,0.593735,0.627093,0.641942,0.422109,0.406011,0.412171,0.414616,-9999,-9999
20170226,20170304,-5.886,0.0,236.104,137.742,0.0,246.211,0.0,1.091,0.0,94.478,0.0,0.098,0.0,3.703,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.492,0.0,25.98,-9999,5.0874,0.0,7.14747,-9999,0.235235,0.0,-9999,0.231291,0.235235,0.248447,0.0,0.0,0.0,0.553703,0.538512,0.553355,0.553886,0.303123,0.303123,0.307442,0.315757,0.552864,0.511346,0.540076,0.552864,0.549551,0.53172,0.536904,0.544066,-9999,-9999
20170305,20170311,-5.824,0.0,258.772,139.065,0.0,247.063,0.0,1.622,0.0,94.585,0.0,0.181,0.0,6.626,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6856,0.0,26.252,-9999,4.5892,0.0,6.44753,-9999,0.222592,0.0,-9999,0.219002,0.222592,0.239134,0.0,0.0,0.0,0.549742,0.535362,0.549397,0.549924,0.312632,0.312489,0.316913,0.323094,0.549594,0.508321,0.536881,0.549594,0.553371,0.536139,0.540701,0.548852,-9999,-9999
