ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.0946466,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,-9999,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0908737,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0895265,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0946466,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0968003,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,48.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.0941527,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,-9999,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0893797,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0878918,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0922432,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0946466,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,53.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.0963491,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,51.25,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,-9999,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,51.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0908781,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,51.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0902272,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,51.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.095341,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,51.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0973323,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,76.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.106543,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,-9999,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0908781,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0902272,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.095341,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0973323,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,78.75,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.10848,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,76.25,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,-9999,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,76.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.101924,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,76.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.10048,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,76.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.106543,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,76.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.108871,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,83.75,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.113082,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,63.75,2017
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,-9999,2017
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,63.75,2018
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.0947807,2018
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,63.75,2019
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.0943419,2019
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,63.75,2020
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.100384,2020
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,63.75,2021
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.101996,2021
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,41.25,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.0914619,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2017
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,-9999,2017
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2018
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.0886083,2018
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2019
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.0873867,2019
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2020
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.0914619,2020
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2021
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.093273,2021
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,41.25,-9999
