TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-4.938,0.0,177.106,103.648,0.0,250.701,0.0,1.144,0.0,83.116,0.0,1.567,0.0,1.795,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.16443,0.0,10.9929,-9999,75.9879,0.0,102.313,-9999,0.170265,0.0,-9999,0.1661,0.173199,0.186653,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201702,2.234,0.0,238.284,134.316,0.0,265.344,0.0,2.658,0.0,83.027,0.0,1.526,0.0,2.911,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.16173,0.0,12.0931,-9999,76.2403,0.0,112.964,-9999,0.170679,0.0,-9999,0.166523,0.17367,0.18716,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201703,7.631,0.0,321.972,192.143,0.0,274.045,0.0,6.088,0.0,83.379,0.0,1.411,0.0,3.128,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.16443,0.0,11.2493,-9999,76.3825,0.0,105.244,-9999,0.17084,0.0,-9999,0.16634,0.173731,0.186742,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201704,7.72,0.0,403.902,239.784,0.0,277.376,0.0,5.908,0.0,83.162,0.0,1.079,0.0,3.356,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.16359,0.0,10.9918,-9999,76.2023,0.0,102.602,-9999,0.170592,0.0,-9999,0.166314,0.173529,0.186842,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201705,14.106,0.0,461.667,297.88,0.0,297.342,0.0,10.862,0.0,83.185,0.0,0.546,0.0,2.892,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.16443,0.0,10.4409,-9999,75.9879,0.0,97.1751,-9999,0.170265,0.0,-9999,0.1661,0.173199,0.186653,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201706,21.751,0.0,486.076,331.361,0.0,323.757,0.0,21.339,0.0,83.337,0.0,0.116,0.0,3.565,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.48828,0.0,8.16359,0.0,9.64461,-9999,76.2023,0.0,90.0269,-9999,0.170592,0.0,-9999,0.166314,0.173529,0.186842,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201707,25.751,0.0,473.881,296.144,0.0,358.339,0.0,25.047,0.0,83.691,0.0,0.322,0.0,2.383,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.700085,0.0,8.16191,0.0,8.80834,-9999,76.2366,0.0,82.2747,-9999,0.170671,0.0,-9999,0.166503,0.173656,0.18713,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201708,23.652,0.0107527,426.954,272.069,0.0107527,344.916,0.0107527,21.99,0.0107527,83.622,0.0094086,0.176,0.0094086,2.327,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.417765,0.0107527,8.16443,0.0,8.81106,-9999,76.3825,0.0,82.4321,-9999,0.17084,0.0,-9999,0.16634,0.173731,0.186742,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201709,15.796,0.999306,354.364,206.211,0.999306,316.021,0.999306,12.783,0.999306,83.394,0.969444,0.676,0.933333,2.43,0.0,-9999,-9999,87.79362785620515,0.9743055555555558,408.0029236458791,0.9923611111111111,47.10510829856536,0.9923611111111111,66.7188716146977,0.9923611111111111,34.787360205550335,0.9756944444444445,402.3055753732982,0.9923611111111111,406.093,0.997917,18.12,18.671,18.812,18.822,19.343,19.617,18.463,17.698,0.999306,0.999306,0.999306,0.999306,0.999306,0.999306,0.998611,0.998611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.22054,0.988194,8.16359,0.0,10.5266,-9999,76.2023,0.0,98.2594,-9999,0.170592,0.0,-9999,0.166314,0.173529,0.186842,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201710,8.519,0.997312,269.491,185.862,0.997312,259.511,0.997312,7.654,0.997312,83.591,0.987231,0.255,0.594758,2.649,0.0,-9999,-9999,58.339049207505525,0.9596774193548387,359.79917480397665,0.9939516129032258,43.452624659428885,0.9939516129032258,36.29446012978098,0.9939516129032258,33.101441195005044,0.961021505376344,356.31937238722156,0.9939516129032258,406.423,0.989919,11.122,12.268,11.691,11.726,12.606,14.67,15.822,15.812,1.0,0.38172,1.0,1.0,1.0,1.0,1.0,1.0,10.64,9.175,7.834,-9999,-9999,-9999,-9999,-9999,0.000672043,0.000672043,0.000672043,-9999,-9999,-9999,-9999,-9999,-2.43362,0.991263,8.16443,0.0,10.5566,-9999,75.9879,0.0,98.2526,-9999,0.170265,0.0,-9999,0.1661,0.173199,0.186653,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
