ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.02,-9999
1,TA,ERA_RMSE,3.39,-9999
1,TA,ERA_CORRELATION,0.93,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,-0.01,-9999
2,PA,ERA_RMSE,0.07,-9999
2,PA,ERA_CORRELATION,0.99,-9999
3,VPD,ERA_SLOPE,1.01,-9999
3,VPD,ERA_INTERCEPT,-0.06,-9999
3,VPD,ERA_RMSE,3.08,-9999
3,VPD,ERA_CORRELATION,0.83,-9999
4,WS,ERA_SLOPE,0.70,-9999
4,WS,ERA_INTERCEPT,1.29,-9999
4,WS,ERA_RMSE,1.91,-9999
4,WS,ERA_CORRELATION,0.57,-9999
5,P,ERA_SLOPE,0.13,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.01,-9999
6,SW_IN,ERA_INTERCEPT,-5.86,-9999
6,SW_IN,ERA_RMSE,112.31,-9999
6,SW_IN,ERA_CORRELATION,0.92,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,0.02,-9999
7,LW_IN,ERA_RMSE,23.23,-9999
7,LW_IN,ERA_CORRELATION,0.88,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.15,-9999
8,LW_IN_JSB,ERA_RMSE,30.70,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.84,-9999
