ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.377681,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.426158,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.434617,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.403093,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.359473,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.326717,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.368801,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.409221,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.426158,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.391961,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.350312,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.323858,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,56.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.390856,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,46.25,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.409221,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,46.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.426158,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,46.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.391961,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,46.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.350312,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,46.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.323858,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,56.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.390856,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.390856,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.400912,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.366258,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.32553,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,33.75,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.306536,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,58.75,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.400912,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.446578,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.449602,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.430337,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.384739,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,61.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.349144,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,53.75,-9999
