TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-3.823,0.0,158.868,106.874,0.0,211.336,0.0,3.575,0.0,71.526,0.0,0.002,0.0,3.854,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.51017,-9999,47.1946,-9999,51.4086,-9999,-9999,-9999,56.0739,-9999,53.527,-9999,-9999,-9999,0.637161,0.0,-9999,0.602723,0.622522,0.637161,0.0,0.0,0.0,0.705299,0.701494,0.707241,0.710728,0.0681384,0.0681384,0.0741552,0.0850015,0.81674,0.818112,0.820415,0.823058,0.294878,0.292348,0.296579,0.296682,-9999,-9999
20170102,-4.722,0.0,159.494,95.496,0.0,216.978,0.0,3.259,0.0,71.812,0.0,0.098,0.0,2.87,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.45127,-9999,58.6237,-9999,59.1199,-9999,-9999,-9999,49.415,-9999,44.5078,-9999,-9999,-9999,0.660395,0.0,-9999,0.650141,0.657521,0.660826,0.0,0.0,0.0,0.68885,0.684593,0.691023,0.694921,0.0284557,0.0284557,0.0408792,0.0437606,0.796405,0.797744,0.799989,0.802566,0.263855,0.261575,0.265378,0.265467,-9999,-9999
20170103,-7.452,0.0,160.179,88.444,0.0,230.89,0.0,2.906,0.0,72.385,0.0,1.26,0.0,1.951,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.54386,-9999,52.6156,-9999,54.951,-9999,-9999,-9999,33.7623,-9999,29.1967,-9999,-9999,-9999,0.587895,0.0,-9999,0.565876,0.584651,0.587895,0.0,0.0,0.0,0.636299,0.63071,0.639156,0.643954,0.0484036,0.0484036,0.0552907,0.0655549,0.73172,0.73295,0.735012,0.737381,0.244549,0.242428,0.245961,0.246042,-9999,-9999
20170104,-8.512,0.0,160.923,47.66,0.0,260.814,0.0,2.697,0.0,71.764,0.0,5.899,0.0,2.359,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.51017,-9999,47.1946,-9999,50.5003,-9999,-9999,-9999,56.0739,-9999,47.0523,-9999,-9999,-9999,0.637161,0.0,-9999,0.602723,0.622522,0.637161,0.0,0.0,0.0,0.614694,0.608623,0.6178,0.62229,-0.0224666,-0.0224666,-0.0152852,-0.00786962,0.705287,0.706472,0.70846,0.710743,0.132525,0.131345,0.133294,0.13333,-9999,-9999
20170105,-13.657,0.0,161.724,57.671,0.0,229.885,0.0,2.764,0.0,71.763,0.0,3.709,0.0,1.09,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.45127,-9999,58.6237,-9999,63.8582,-9999,-9999,-9999,49.415,-9999,40.5137,-9999,-9999,-9999,0.660395,0.0,-9999,0.650141,0.657521,0.660826,0.0,0.0,0.0,0.504786,0.496551,0.506853,0.512,-0.155608,-0.155608,-0.144095,-0.138141,0.571518,0.572478,0.574089,0.575939,0.160126,0.158709,0.161053,0.161099,-9999,-9999
20170106,-13.934,0.0,162.584,115.267,0.0,156.241,0.0,3.052,0.0,72.285,0.0,0.0,0.0,4.008,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.54386,-9999,52.6156,-9999,58.1012,-9999,-9999,-9999,33.7623,-9999,27.1753,-9999,-9999,-9999,0.587895,0.0,-9999,0.565876,0.584651,0.587895,0.0,0.0,0.0,0.496458,0.488277,0.498462,0.503579,-0.0914373,-0.0914373,-0.0850348,-0.0775986,0.561912,0.562856,0.56444,0.566258,0.317774,0.315058,0.319605,0.31972,-9999,-9999
20170107,-9.216,0.0,163.501,111.603,0.0,193.731,0.0,3.305,0.0,72.999,0.0,0.009,0.0,4.774,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.51017,-9999,47.1946,-9999,52.6801,-9999,-9999,-9999,56.0739,-9999,44.4624,-9999,-9999,-9999,0.637161,0.0,-9999,0.602723,0.622522,0.637161,0.0,0.0,0.0,0.599731,0.59336,0.602692,0.607276,-0.0374298,-0.0374298,-0.0300926,-0.0231324,0.687064,0.688218,0.690155,0.692378,0.30779,0.305154,0.309564,0.309674,-9999,-9999
20170108,1.547,0.0,164.476,88.567,0.0,262.14,0.0,4.116,0.0,72.899,0.0,0.312,0.0,5.504,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.45127,-9999,58.6237,-9999,63.564,-9999,-9999,-9999,49.415,-9999,38.6982,-9999,-9999,-9999,0.660395,0.0,-9999,0.650141,0.657521,0.660826,0.0,0.0,0.0,0.800933,0.800933,0.801476,0.804683,0.140538,0.140538,0.149798,0.152161,0.935228,0.9368,0.939436,0.942462,0.244973,0.242845,0.246388,0.246468,-9999,-9999
20170109,5.667,0.0,165.507,61.504,0.0,280.289,0.0,5.229,0.0,72.007,0.0,2.051,0.0,6.692,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.54386,-9999,52.6156,-9999,54.8524,-9999,-9999,-9999,33.7623,-9999,24.7863,-9999,-9999,-9999,0.587895,0.0,-9999,0.565876,0.584651,0.587895,0.0,0.0,0.0,0.867491,0.86695,0.867491,0.868789,0.279595,0.280696,0.289438,0.30222,1.01825,1.01996,1.02283,1.02613,0.170712,0.169205,0.171701,0.171751,-9999,-9999
20170110,0.622,0.0,166.596,97.654,0.0,237.127,0.0,4.51,0.0,71.76,0.0,0.454,0.0,6.801,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.51017,-9999,47.1946,-9999,47.2302,-9999,-9999,-9999,56.0739,-9999,38.8246,-9999,-9999,-9999,0.637161,0.0,-9999,0.602723,0.622522,0.637161,0.0,0.0,0.0,0.786153,0.786153,0.786942,0.789481,0.148992,0.149435,0.153857,0.168108,0.916763,0.918304,0.920888,0.923855,0.269892,0.267557,0.27145,0.27154,-9999,-9999
