TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-3.539,0.0,176.401,102.655,0.0,226.827,0.0,3.692,0.0,72.29,0.0,0.642,0.0,3.678,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50204,0.0,52.6301,0.0,53.7464,-9999,46.7286,0.0,47.7197,-9999,0.615217,0.0,-9999,0.614327,0.621945,0.62666,0.0,0.0,0.0,0.707653,0.704058,0.709491,0.713172,0.089731,0.0819973,0.0865115,0.0927224,0.823691,0.821382,0.823693,0.826347,0.285081,0.280912,0.284982,0.285081,-9999,-9999
201702,0.043,0.0126488,237.629,143.461,0.0141369,237.67,0.0126488,4.467,0.0126488,72.385,0.0104167,0.448,0.0104167,3.839,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50156,0.0119048,52.8255,0.0,58.0948,-9999,46.4439,0.0,51.0766,-9999,0.616863,0.0,-9999,0.615902,0.622896,0.626958,0.0,0.0,0.0,0.771249,0.771249,0.772175,0.775173,0.153536,0.146607,0.150826,0.154072,0.902753,0.900221,0.902754,0.905663,0.397095,0.391335,0.396944,0.397095,-9999,-9999
201703,2.658,1.0,321.454,187.721,0.994624,245.589,0.99328,4.689,1.0,72.821,0.998656,0.0,1.0,4.044,0.4375,-9999,-9999,82.96372940435812,0.9657258064516129,389.1348979468599,0.9663978494623656,39.44854559178744,0.9663978494623656,69.54033515252593,0.9838709677419355,25.708413345410627,0.9663978494623656,325.827530771405,0.9657258064516129,-9999,-9999,0.399,0.546,0.687,0.994,1.044,1.186,1.587,1.335,1.728,0.998656,1.0,0.998656,1.0,1.0,1.0,1.0,0.998656,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.765501,0.99664,33.6503,0.0,37.0069,2.90771,38.2312,0.62836,42.0447,1.00224,0.613606,0.0,-9999,0.612694,0.620672,0.624762,0.0,0.0,0.0,0.814683,0.814683,0.81493,0.816801,0.201513,0.193422,0.197271,0.201458,0.957033,0.954349,0.957035,0.960118,0.51642,0.509043,0.516192,0.51642,-9999,-9999
201704,2.833,0.919444,403.596,242.165,0.910417,248.167,0.902778,4.671,0.919444,72.629,0.999306,0.0,1.0,3.592,0.952083,0.5950979387443059,0.9236111111111112,133.5589183272947,0.798611111111111,-9999,-9999,-9999,-9999,85.3244658823463,0.8479166666666667,27.070086805555558,0.8,332.82256944444447,0.8,-9999,-9999,1.621,1.679,1.609,1.83,1.798,1.849,2.169,1.749,2.009,1.0,1.0,1.0,1.0,0.998611,0.998611,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0312695,0.995833,40.594,0.540972,51.2423,0.352837,54.5273,0.977778,68.8306,1.21834,0.615174,0.0,-9999,0.614254,0.621764,0.626099,0.0,0.0,0.0,0.818264,0.818264,0.818473,0.820054,0.203606,0.195772,0.199133,0.203559,0.961416,0.95872,0.961418,0.964516,0.664054,0.654643,0.663739,0.664054,-9999,-9999
201705,6.657,0.84879,461.572,253.276,0.853495,277.054,0.849462,5.058,0.84879,72.945,0.981183,0.0,1.0,3.029,0.862231,0.49818560888503294,0.8225806451612904,152.1650703448276,0.7883064516129032,-9999,-9999,-9999,-9999,86.3164729164044,0.8178763440860215,24.592100707877766,0.7889784946236559,348.48804044014577,0.7889784946236559,-9999,-9999,3.965,3.823,3.422,3.508,3.364,3.324,3.557,2.992,3.118,0.995296,0.995296,0.995296,0.995296,0.995296,0.995296,0.995296,0.994624,0.995296,-9999,30.425,-9999,-9999,-9999,-9999,-9999,1.433,-9999,0.000672043,-9999,-9999,-9999,-9999,-9999,0.000672043,1.61864,0.985887,52.3459,0.69086,67.4159,0.802235,51.7005,0.986559,66.5847,1.20349,0.615217,0.0,-9999,0.614327,0.621945,0.62666,0.0,0.0,0.0,0.880017,0.879229,0.880017,0.881915,0.267249,0.256193,0.261188,0.267249,1.03875,1.03584,1.03875,1.0421,0.694107,0.684285,0.693774,0.694107,-9999,-9999
201706,13.776,0.623611,486.095,290.984,1.0,293.008,1.0,9.422,0.623611,73.33,0.99375,0.0,1.0,3.082,0.976389,0.49159843368797707,0.9625000000000001,174.08735759070817,0.9965277777777779,-9999,-9999,-9999,-9999,84.2525,1.0,23.929630910165486,0.9993055555555556,386.84221778959807,0.9993055555555556,-9999,-9999,10.366,9.736,8.659,8.398,7.917,7.571,7.443,6.403,6.081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,30.425,-9999,-9999,-9999,-9999,-9999,1.478,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.0,5.5334,0.997917,62.9208,0.996528,81.0353,0.888703,67.2321,0.995833,86.5877,1.14366,0.615174,0.0,-9999,0.614254,0.621764,0.626099,0.0,0.0,0.0,0.978994,0.976403,0.978994,0.984732,0.369868,0.353702,0.360609,0.369119,1.16375,1.16049,1.16376,1.16751,0.796623,0.785379,0.796232,0.796623,-9999,-9999
201707,15.431,0.834677,473.852,231.705,1.0,324.219,1.0,8.612,0.834677,73.808,0.959005,0.0,1.0,2.507,0.983199,0.3460807401806983,0.9623655913978496,142.36032926294513,0.9973118279569891,-9999,-9999,-9999,-9999,88.83997311827956,0.9979838709677419,18.284186827956987,0.9979838709677419,395.84151881720425,0.9979838709677419,-9999,-9999,12.919,12.363,11.546,11.349,10.87,10.544,10.402,9.362,8.966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,30.426,-9999,-9999,-9999,-9999,-9999,1.448,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.0,4.02032,1.0,66.4045,0.998656,85.4977,0.882681,41.8471,1.0,53.8792,0.860711,0.6167,0.0,-9999,0.615743,0.622798,0.626875,0.0,0.0,0.0,1.00069,0.997683,1.00069,1.00734,0.390886,0.374124,0.38135,0.388248,1.19123,1.18789,1.19124,1.19507,0.636264,0.627214,0.635971,0.636264,-9999,-9999
201708,14.095,0.754032,426.745,226.425,0.750672,308.595,0.59543,8.954,0.754032,73.636,0.534274,0.048,1.0,2.587,0.846774,0.3851073869362712,0.8185483870967744,-9999,-9999,-9999,-9999,-9999,-9999,76.48939898989899,0.6922043010752689,-9999,-9999,-9999,-9999,-9999,-9999,11.385,11.065,10.806,10.88,10.624,10.54,10.606,9.926,9.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.884,30.417,38.109,28.683,10.272,-9999,-9999,1.434,0.000672043,0.000672043,0.000672043,0.00134409,0.00134409,-9999,-9999,0.00134409,1.15062,0.88172,70.7748,0.724462,87.6987,0.82259,23.7165,0.801075,29.3876,0.778691,0.613606,0.0,-9999,0.612694,0.620672,0.624762,0.0,0.0,0.0,0.983769,0.981093,0.983769,0.989693,0.376369,0.359586,0.366717,0.374964,1.16977,1.16649,1.16977,1.17354,0.622387,0.613514,0.622107,0.622387,-9999,-9999
201709,10.5,0.998611,353.938,184.653,0.998611,295.882,0.998611,7.546,0.997917,73.312,0.0,1.281,1.0,2.67,0.890278,0.4254790952911549,0.8527777777777779,91.4120625734293,0.9916666666666667,-9999,-9999,-9999,-9999,67.89677283473029,0.8277777777777777,14.725524068701196,0.9944444444444444,368.41260015939537,0.9944444444444444,-9999,-9999,9.481,9.254,9.273,9.51,9.394,9.461,9.672,9.255,9.279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.88,30.425,38.116,28.707,10.275,-9999,-9999,1.432,0.0,0.0,0.0,0.0,0.0,-9999,-9999,0.0,-0.665352,0.995833,42.3839,0.990278,50.4673,0.653091,35.9918,0.995139,42.856,1.06536,0.650022,0.0,-9999,0.649987,0.651435,0.657064,0.0,0.0,0.0,0.932627,0.930869,0.932627,0.93652,0.286763,0.279434,0.283154,0.286842,1.10525,1.10215,1.10526,1.10882,0.507949,0.500693,0.507724,0.507949,-9999,-9999
201710,4.723,1.0,268.891,158.459,1.0,249.78,1.0,5.808,1.0,73.068,0.0,0.922,1.0,3.812,0.940188,0.6079871240611366,0.9240591397849462,51.27648674025776,0.9939516129032258,334.28234316689054,0.9193548387096774,18.396691390506046,0.9193548387096774,46.20685550082102,0.9220430107526882,16.01067069892473,0.9979838709677419,336.35944892473117,0.9979838709677419,-9999,-9999,3.794,3.764,4.195,4.698,4.85,5.188,5.676,5.808,6.277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.892,30.428,38.119,28.716,10.275,-9999,-9999,1.433,0.0,0.0,0.0,0.0,0.0,-9999,-9999,0.0,-3.63476,0.997312,35.8742,0.822581,33.9185,0.629973,15.2395,0.862231,14.4087,1.15799,0.690601,0.0,-9999,0.688133,0.690421,0.693006,0.0,0.0,0.0,0.847288,0.847003,0.847288,0.847981,0.157529,0.155942,0.158136,0.161448,0.997887,0.995089,0.997889,1.0011,0.436884,0.430608,0.4367,0.436883,-9999,-9999
