TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-8.76,0.0,161.039,89.002,0.0,214.268,0.0,3.08,0.0,72.076,0.0,1.568,0.0,2.987,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50297,0.0,52.0089,0.0,46.231,-9999,47.7966,0.0,42.4867,-9999,0.622662,0.0,-9999,0.613982,0.622564,0.628586,0.0,0.0,0.0,0.606588,0.600516,0.6097,0.614111,-0.0231349,-0.0222431,-0.0144845,-0.0126303,0.696976,0.696976,0.698937,0.701189,0.24743,0.243803,0.247348,0.247431,-9999,-9999
20170108,20170114,-0.01,0.0,167.851,87.219,0.0,248.24,0.0,3.914,0.0,72.454,0.0,0.716,0.0,4.286,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.49455,0.0,53.6417,0.0,54.9618,-9999,46.8454,0.0,47.9983,-9999,0.625949,0.0,-9999,0.620846,0.626503,0.629534,0.0,0.0,0.0,0.773452,0.773452,0.774405,0.777477,0.14041,0.14572,0.149249,0.152214,0.902656,0.902656,0.905196,0.908113,0.242738,0.23917,0.24266,0.242739,-9999,-9999
20170115,20170121,-1.526,0.0,177.386,104.647,0.0,233.185,0.0,3.705,0.0,72.006,0.0,0.335,0.0,2.798,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50778,0.0,52.7834,0.0,56.5221,-9999,44.6093,0.0,47.769,-9999,0.617024,0.0,-9999,0.607343,0.616926,0.620178,0.0,0.0,0.0,0.748019,0.745366,0.749371,0.753728,0.125334,0.128355,0.133798,0.138585,0.870955,0.870955,0.873406,0.87622,0.290583,0.286336,0.290483,0.290584,-9999,-9999
20170122,20170128,-5.736,0.0,189.458,114.717,0.0,215.182,0.0,3.488,0.0,72.304,0.0,0.226,0.0,3.823,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50297,0.0,52.0089,0.0,56.5775,-9999,47.7966,0.0,51.9952,-9999,0.622662,0.0,-9999,0.613982,0.622564,0.628586,0.0,0.0,0.0,0.667977,0.663264,0.670386,0.674713,0.0382539,0.0405482,0.0462016,0.0523439,0.772186,0.772186,0.774359,0.776854,0.318298,0.313655,0.318186,0.318299,-9999,-9999
20170129,20170204,-0.612,0.0,203.821,131.231,0.0,228.22,0.0,4.25,0.0,72.784,0.0,0.136,0.0,4.24,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.49455,0.0,53.6417,0.0,59.109,-9999,46.8454,0.0,51.62,-9999,0.625949,0.0,-9999,0.620846,0.626503,0.629534,0.0,0.0,0.0,0.763108,0.76229,0.764218,0.767798,0.130066,0.135057,0.138529,0.141984,0.889787,0.889787,0.892291,0.895166,0.363577,0.358292,0.363444,0.363579,-9999,-9999
20170205,20170211,4.482,0.0,220.172,126.332,0.0,256.696,0.0,5.511,0.0,72.398,0.0,0.59,0.0,5.138,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50778,0.0,52.7834,0.0,60.1087,-9999,44.6093,0.0,50.8002,-9999,0.617024,0.0,-9999,0.607343,0.616926,0.620178,0.0,0.0,0.0,0.847733,0.847507,0.847733,0.848278,0.225048,0.230092,0.2344,0.240837,0.995309,0.995309,0.99811,1.00133,0.350294,0.345191,0.350168,0.350295,-9999,-9999
20170212,20170218,0.678,0.0,238.159,152.093,0.0,231.197,0.0,4.685,0.0,72.802,0.0,0.033,0.0,2.902,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50297,0.0,52.0089,0.0,58.775,-9999,47.7966,0.0,54.0147,-9999,0.622662,0.0,-9999,0.613982,0.622564,0.628586,0.0,0.0,0.0,0.784066,0.784066,0.784836,0.787326,0.154343,0.159943,0.162265,0.167982,0.915964,0.915964,0.918542,0.921501,0.420744,0.414651,0.420583,0.420745,-9999,-9999
20170219,20170225,-1.752,0.0,257.401,148.944,0.0,235.184,0.0,4.102,0.0,72.141,0.0,0.78,0.0,3.802,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.145,0.336,0.624,0.979,1.06,1.236,1.659,1.444,1.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.49455,0.0,53.6417,0.0,60.3942,-9999,46.8454,0.0,52.7423,-9999,0.625949,0.0,-9999,0.620846,0.626503,0.629534,0.0,0.0,0.0,0.738303,0.735606,0.739682,0.744153,0.10526,0.109717,0.113879,0.117374,0.859473,0.859473,0.861892,0.864669,0.41214,0.406167,0.411983,0.412141,-9999,-9999
20170226,20170304,-3.369,0.622024,277.503,194.517,0.627976,200.393,0.622024,3.882,0.622024,72.393,0.607143,0.252,0.613095,4.254,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.136,0.323,0.604,0.959,1.042,1.22,1.645,1.432,1.846,0.616071,0.622024,0.616071,0.622024,0.622024,0.622024,0.622024,0.616071,0.622024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.3791,0.607143,42.6561,0.0,47.5186,-9999,49.0608,0.0,54.6534,4.46992,0.617024,0.0,-9999,0.607343,0.616926,0.620178,0.0,0.0,0.0,0.711049,0.707516,0.712854,0.716621,0.0883636,0.0904772,0.0961004,0.10254,0.825513,0.825513,0.827836,0.830503,0.535206,0.527557,0.53497,0.535206,-9999,-9999
20170305,20170311,0.155,1.0,298.074,184.6,1.0,234.085,1.0,4.061,1.0,72.621,1.0,0.0,1.0,5.122,0.0,-9999,-9999,70.82539671985815,0.9965277777777777,376.6222916666666,1.0,48.929097222222225,1.0,58.26063091016548,0.9965277777777777,29.864409722222224,1.0,312.73250591016546,0.9965277777777777,-9999,-9999,0.149,0.316,0.521,0.857,0.935,1.111,1.537,1.329,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.01053,1.0,32.1841,0.0,37.0711,-9999,45.0624,0.133929,51.905,1.93554,0.622662,0.0,-9999,0.613982,0.622564,0.628586,0.0,0.0,0.0,0.771485,0.771485,0.772364,0.775222,0.141761,0.147149,0.149639,0.155194,0.900727,0.900727,0.903262,0.906172,0.508062,0.500796,0.50784,0.508062,-9999,-9999
