TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,16.267,0.00806452,251.055,138.251,0.00873656,337.819,0.00806452,5.566,0.00806452,101.392,0.00672043,2.14,0.00672043,3.095,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.14755,0.00806452,77.4267,0.0,-9999,-9999,61.7224,0.0,-9999,-9999,-0.270679,0.0,-9999,-0.316212,-0.305351,-0.229703,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201702,18.01,1.0,304.598,179.934,1.0,340.283,1.0,6.671,1.0,101.17,0.989583,1.327,1.0,3.071,0.209077,-9999,-9999,83.6897544642857,1.0,368.54237351190477,1.0,25.22153273809524,1.0,-9999,-9999,23.275543154761902,1.0,411.5241071428572,1.0,433.508,0.981399,19.465,19.211,19.102,19.287,19.375,19.443,19.664,20.331,20.699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.455165,0.991071,77.4327,0.0,-9999,-9999,30.2847,0.122768,-9999,-9999,-0.247807,0.0,-9999,-0.29652,-0.285865,-0.21035,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201703,17.99,1.0,371.619,229.885,1.0,340.355,1.0,8.37,1.0,101.54,0.991935,0.664,1.0,3.341,0.962366,0.41938346720710784,0.9563172043010754,123.11901029388359,0.9979838709677419,460.4060215053764,0.9986559139784947,30.064749590930347,0.9986559139784947,-9999,-9999,29.13733257363254,0.9986559139784947,415.1296283309958,0.9986559139784947,428.283,0.9375,20.19,19.976,19.904,20.12,20.215,20.232,20.397,20.813,21.016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.24593,0.924059,77.4471,0.0,-9999,-9999,55.6307,0.778226,-9999,0.176616,-0.264463,0.0,-9999,-0.310727,-0.300484,-0.224559,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201704,22.079,0.99375,430.012,275.114,0.991667,360.176,0.99375,10.761,0.99375,101.111,0.986111,2.142,1.0,3.216,0.985417,0.42214285601178364,0.9763888888888889,155.00884537329884,0.9916666666666667,538.1946908783783,0.9923611111111111,33.00926388888889,0.9923611111111111,-9999,-9999,34.20189827327328,0.9923611111111111,439.96846846846853,0.9923611111111111,431.229,0.49375,24.318,23.961,23.656,23.665,23.261,22.977,22.868,22.524,22.307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.58317,0.204167,77.4356,0.0,-9999,-9999,80.3461,0.479861,-9999,1.46369,-0.261422,0.0,-9999,-0.308196,-0.297612,-0.22191,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201705,24.477,1.0,465.565,291.272,0.995296,377.787,1.0,12.016,1.0,100.854,1.0,4.6,1.0,3.256,0.980511,0.45971243957033725,0.9744623655913979,175.31621882864331,0.9986559139784946,580.0011155913978,1.0,34.09459005376344,1.0,-9999,-9999,36.228158602150536,1.0,456.8141129032258,1.0,431.309,0.973118,27.659,27.303,26.892,26.783,25.985,25.478,25.213,24.48,24.028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.19758,0.995968,77.4267,0.0,-9999,-9999,74.7906,0.765457,-9999,1.25715,-0.270679,0.0,-9999,-0.316212,-0.305351,-0.229703,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201706,25.062,1.0,478.387,216.451,1.0,423.046,1.0,6.085,1.0,100.955,0.991667,17.474,1.0,2.362,0.895833,0.33116535772654904,0.8909722222222222,161.03008348108742,0.9993055555555556,454.0556736111111,1.0,21.99272222222222,1.0,104.87930555555555,1.0,24.435861111111116,1.0,458.3815972222222,1.0,441.232,0.800694,27.724,27.381,27.162,27.248,26.946,26.637,26.495,25.883,25.429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.20942,0.994444,77.4356,0.0,99.1183,-9999,39.7543,0.861806,50.8859,1.06048,-0.261422,0.0,-9999,-0.308196,-0.297612,-0.22191,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201707,26.624,1.0,471.036,240.497,1.0,420.822,1.0,7.539,1.0,101.13,0.998656,9.119,1.0,2.445,0.986559,0.31564714233682717,0.9791666666666667,170.89221102150543,1.0,499.9745381491649,0.9993279569892474,24.500277110501028,0.9993279569892474,91.29197639083682,0.9986559139784947,26.915430107526877,1.0,467.67163978494625,1.0,445.424,0.983871,29.548,29.241,29.04,29.136,28.819,28.482,28.321,27.593,27.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3788,0.991263,77.433,0.0,99.1149,-9999,45.4939,0.836022,58.2326,0.989669,-0.249125,0.0,-9999,-0.29765,-0.287001,-0.211468,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201708,26.605,0.997312,442.836,213.662,1.0,428.031,0.995968,6.617,0.997312,100.993,0.690188,8.018,1.0,2.295,0.820565,0.3115465962507465,0.7708333333333335,155.2875869314056,0.9415322580645162,443.4987042567875,0.9616935483870966,20.890325756329876,0.9637096774193548,85.74214778053485,0.969758064516129,23.400850899957018,0.9522849462365591,467.12823232323234,0.9455645161290324,446.895,0.896505,28.769,28.473,28.335,28.499,28.371,28.137,28.102,27.717,27.293,0.975806,0.975806,0.975806,0.975806,0.975806,0.975806,1.0,1.0,0.998656,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.40453,0.989919,77.4471,0.0,99.133,-9999,46.6508,0.922043,59.7135,0.660883,-0.264463,0.0,-9999,-0.310727,-0.300484,-0.224559,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201709,25.507,0.733333,393.706,197.111,0.735417,408.667,0.733333,7.4,0.733333,100.763,0.706944,9.624,1.0,2.874,0.677083,0.3294227065997835,0.6500000000000001,126.20260204081632,0.6923611111111112,403.971602231978,0.6923611111111112,20.291018727258347,0.6923611111111112,78.80362317407582,0.6923611111111112,22.565476421188627,0.6923611111111112,459.7621710699783,0.6923611111111112,438.694,0.722917,27.537,27.296,27.204,27.444,27.48,27.312,27.382,27.196,26.953,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.29543,0.729861,77.4356,0.0,99.1183,-9999,38.0937,0.377778,48.7604,0.531337,-0.261422,0.0,-9999,-0.308196,-0.297612,-0.22191,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201710,22.535,1.0,328.923,182.55,1.0,381.334,1.0,6.846,1.0,101.094,0.989247,3.45,1.0,3.332,0.957661,0.4226996463126062,0.9549731182795699,103.78620295698926,1.0,379.7567876344086,1.0,21.30887096774193,1.0,61.4516129032258,1.0,22.869415322580643,1.0,439.5224462365591,1.0,435.543,0.948925,24.882,24.755,24.859,25.315,25.886,25.993,26.335,26.648,26.591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.04004,0.979839,77.4267,0.0,99.1069,-9999,36.5651,0.4375,46.8036,1.34686,-0.270679,0.0,-9999,-0.316212,-0.305351,-0.229703,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
