TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,17.619,0.0,236.985,122.649,0.0,354.289,0.0,5.004,0.0,101.058,0.0,2.517,0.0,3.154,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.07206,0.0,77.3963,0.0,-9999,-9999,61.4489,0.0,-9999,-9999,-0.302416,0.0,-9999,-0.343694,-0.331884,-0.256421,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170108,20170114,13.792,0.0,243.317,145.867,0.0,317.498,0.0,5.146,0.0,102.51,0.0,0.085,0.0,2.578,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.13808,0.0,77.424,0.0,-9999,-9999,62.2171,0.0,-9999,-9999,-0.206961,0.0,-9999,-0.261491,-0.250622,-0.175669,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170115,20170121,19.548,0.0,252.057,127.804,0.0,366.384,0.0,6.287,0.0,101.367,0.0,0.505,0.0,2.485,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.16195,0.0,77.4865,0.0,-9999,-9999,61.852,0.0,-9999,-9999,-0.27489,0.0,-9999,-0.319402,-0.310331,-0.23364,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170122,20170128,15.934,0.0,262.956,137.424,0.0,332.731,0.0,5.603,0.0,100.579,0.0,6.338,0.0,4.063,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,437.889,0.0,16.726,16.574,16.554,16.858,17.452,17.937,18.573,20.161,20.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.07206,0.0,77.3963,0.0,-9999,-9999,61.4489,0.0,-9999,-9999,-0.302416,0.0,-9999,-0.343694,-0.331884,-0.256421,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170129,20170204,14.574,0.607143,275.7,174.563,0.610119,311.5,0.607143,6.212,0.607143,101.59,0.592262,0.033,0.60119,2.834,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,436.573,0.60119,16.894,16.755,16.77,17.088,17.627,18.047,18.626,20.129,20.788,0.607143,0.607143,0.607143,0.607143,0.607143,0.607143,0.607143,0.607143,0.607143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.23054,0.607143,77.424,0.0,-9999,-9999,40.1059,0.0,-9999,-9999,-0.206961,0.0,-9999,-0.261491,-0.250622,-0.175669,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170205,20170211,17.348,1.0,289.931,184.287,1.0,332.562,1.0,6.913,1.0,101.414,0.988095,3.372,1.0,3.184,0.0,-9999,-9999,81.56902777777778,1.0,366.90270833333335,1.0,25.34378472222222,1.0,-9999,-9999,23.321875000000002,1.0,408.39826388888883,1.0,432.084,0.970238,18.883,18.63,18.534,18.742,18.925,19.038,19.289,20.066,20.539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478238,1.0,77.4865,0.0,-9999,-9999,32.7187,0.0,-9999,-9999,-0.27489,0.0,-9999,-0.319402,-0.310331,-0.23364,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170212,20170218,17.309,1.0,305.263,174.9,1.0,333.884,1.0,6.49,1.0,100.965,0.979167,0.0,1.0,3.105,0.0,-9999,-9999,81.46125,1.0,373.9618402777778,1.0,26.117500000000003,1.0,-9999,-9999,24.352708333333336,1.0,408.56041666666664,1.0,434.874,0.979167,19.167,19.01,19.046,19.342,19.564,19.635,19.829,20.367,20.666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.993713,0.997024,77.3963,0.0,-9999,-9999,29.7433,0.0,-9999,-9999,-0.302416,0.0,-9999,-0.343694,-0.331884,-0.256421,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170219,20170225,19.537,1.0,321.299,168.763,1.0,366.546,1.0,5.225,1.0,100.659,1.0,1.937,1.0,3.23,0.407738,-9999,-9999,88.9653125,1.0,341.9670138888889,1.0,22.580416666666665,1.0,-9999,-9999,20.605451388888888,1.0,420.6340277777777,1.0,433.501,1.0,20.936,20.545,20.247,20.264,20.026,19.959,20.079,20.527,20.783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.49151,0.991071,77.424,0.0,-9999,-9999,29.8997,0.205357,-9999,-9999,-0.206961,0.0,-9999,-0.261491,-0.250622,-0.175669,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170226,20170304,18.178,1.0,337.652,208.063,1.0,329.247,1.0,9.127,1.0,101.751,0.994048,0.861,1.0,3.531,0.940476,0.39903017926533696,0.9409722222222222,91.24767361111111,1.0,406.21232638888887,1.0,27.07371527777778,1.0,-9999,-9999,25.74076388888889,1.0,417.4895833333333,1.0,425.26,0.979167,20.126,19.96,20.016,20.34,20.598,20.609,20.71,20.905,21.011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.77233,0.955357,77.4865,0.0,-9999,-9999,32.2246,0.717262,-9999,0.781931,-0.27489,0.0,-9999,-0.319402,-0.310331,-0.23364,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20170305,20170311,19.027,1.0,353.962,216.172,1.0,343.381,1.0,8.188,1.0,101.807,1.0,0.0,1.0,3.312,0.97619,0.414118983192126,0.9722222222222222,108.18055555555554,1.0,429.43406250000004,1.0,28.512743055555557,1.0,-9999,-9999,26.621875,1.0,420.13472222222225,1.0,440.357,1.0,20.627,20.332,20.128,20.231,20.163,20.172,20.361,20.879,21.099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.24282,0.985119,77.3963,0.0,-9999,-9999,38.5543,0.720238,-9999,0.391782,-0.302416,0.0,-9999,-0.343694,-0.331884,-0.256421,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
