TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,6.502,0.0,168.893,104.341,0.0,277.641,0.0,4.433,0.0,102.085,0.0,0.01,0.0,2.614,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.5829,-9999,57.3952,-9999,-9999,-9999,4.12719,-9999,4.33983,-9999,-9999,-9999,-2.11716,0.0,-9999,-2.13376,-2.11976,-2.08217,0.0,0.0,0.0,1.67017,1.86465,2.24992,2.49221,3.75235,4.00754,4.35242,4.57107,5.64873,5.4961,5.53192,5.62813,4.569,4.56838,4.58061,4.632,-9999,-9999
20170102,5.567,0.0,169.518,9.579,0.0,346.789,0.0,1.124,0.0,102.486,0.0,12.622,0.0,3.706,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62.5718,-9999,66.0868,-9999,-9999,-9999,10.4265,-9999,11.0122,-9999,-9999,-9999,-1.97898,0.0,-9999,-2.10351,-2.05161,-1.97898,0.0,0.0,0.0,1.49226,1.71996,2.0921,2.29748,3.47124,3.5763,4.17739,4.26076,5.55519,5.40508,5.44031,5.53493,0.686152,0.688957,0.693783,0.708025,-9999,-9999
20170103,5.883,0.0,170.202,8.909,0.0,346.725,0.0,0.544,0.0,100.816,0.0,22.107,0.0,2.428,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.1428,-9999,67.3054,-9999,-9999,-9999,13.9116,-9999,14.8287,-9999,-9999,-9999,-2.07309,0.0,-9999,-2.14455,-2.07934,-2.03675,0.0,0.0,0.0,1.54406,1.76464,2.14159,2.35755,3.62341,3.78425,4.22728,4.40139,5.58815,5.43715,5.47258,5.56776,0.639958,0.642596,0.647102,0.660456,-9999,-9999
20170104,7.279,0.0,170.943,94.958,0.0,286.14,0.0,3.745,0.0,100.219,0.0,0.053,0.0,3.891,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.5829,-9999,58.884,-9999,-9999,-9999,4.12719,-9999,4.45241,-9999,-9999,-9999,-2.11716,0.0,-9999,-2.13376,-2.11976,-2.08217,0.0,0.0,0.0,1.8218,1.98697,2.38303,2.65686,3.90397,4.16915,4.48416,4.71625,5.72596,5.57124,5.60755,5.70508,4.33929,4.33991,4.35285,4.40419,-9999,-9999
20170105,0.799,0.0,171.743,65.628,0.0,268.306,0.0,3.466,0.0,101.338,0.0,0.425,0.0,2.768,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62.5718,-9999,68.3081,-9999,-9999,-9999,10.4265,-9999,11.3824,-9999,-9999,-9999,-1.97898,0.0,-9999,-2.10351,-2.05161,-1.97898,0.0,0.0,0.0,0.839908,1.1178,1.39816,1.49545,2.81889,2.81889,3.4442,3.51972,5.03197,4.896,4.92791,5.01361,3.44528,3.44928,3.46347,3.51173,-9999,-9999
20170106,-0.642,0.0,172.6,85.786,0.0,275.833,0.0,2.363,0.0,101.776,0.0,0.647,0.0,3.262,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.1428,-9999,69.2532,-9999,-9999,-9999,13.9116,-9999,15.2579,-9999,-9999,-9999,-2.07309,0.0,-9999,-2.14455,-2.07934,-2.03675,0.0,0.0,0.0,0.689289,0.963907,1.22164,1.28891,2.76863,2.77688,3.3125,3.41185,4.86403,4.7326,4.76344,4.84629,3.99129,3.99256,4.00524,4.05397,-9999,-9999
20170107,-4.516,0.0,173.513,22.722,0.0,263.629,0.0,1.642,0.0,102.319,0.0,11.409,0.0,5.33,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.5829,-9999,60.1429,-9999,-9999,-9999,4.12719,-9999,4.5476,-9999,-9999,-9999,-2.11716,0.0,-9999,-2.13376,-2.11976,-2.08217,0.0,0.0,0.0,0.375312,0.612611,0.808783,0.817885,2.45748,2.48544,2.9002,2.94912,4.38935,4.27074,4.29858,4.37334,1.50337,1.50823,1.51792,1.54573,-9999,-9999
20170108,-6.799,0.0,174.485,116.59,0.0,198.32,0.0,1.866,0.0,103.175,0.0,0.027,0.0,5.87,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62.5718,-9999,69.3561,-9999,-9999,-9999,10.4265,-9999,11.557,-9999,-9999,-9999,-1.97898,0.0,-9999,-2.10351,-2.05161,-1.97898,0.0,0.0,0.0,0.252023,0.453399,0.600497,0.6208,2.231,2.231,2.65607,2.70609,4.0908,3.98026,4.0062,4.07588,4.91881,4.91697,4.92883,4.98167,-9999,-9999
20170109,-6.498,0.0,175.512,90.377,0.0,217.534,0.0,1.594,0.0,103.88,0.0,0.0,0.0,2.967,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.1428,-9999,70.4035,-9999,-9999,-9999,13.9116,-9999,15.5113,-9999,-9999,-9999,-2.07309,0.0,-9999,-2.14455,-2.07934,-2.03675,0.0,0.0,0.0,0.271194,0.476968,0.631971,0.649455,2.35054,2.35054,2.72404,2.78085,4.12899,4.01742,4.0436,4.11393,4.28462,4.28625,4.30016,4.35302,-9999,-9999
20170110,-1.372,0.0,176.596,54.557,0.0,266.763,0.0,2.484,0.0,103.074,0.0,0.015,0.0,4.211,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.5829,-9999,61.8814,-9999,-9999,-9999,4.12719,-9999,4.67905,-9999,-9999,-9999,-2.11716,0.0,-9999,-2.13376,-2.11976,-2.08217,0.0,0.0,0.0,0.668435,0.923807,1.16958,1.23536,2.75061,2.79283,3.27271,3.36608,4.76491,4.63616,4.66637,4.74753,3.08487,3.09022,3.10491,3.15193,-9999,-9999
