TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,3.793,0.0,186.33,76.147,0.0,292.273,0.0,2.47,0.0,101.564,0.0,3.512,0.0,3.505,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.9212,0.0,75.0632,-9999,9.3155,0.0,11.6695,-9999,-2.05596,0.0,-9999,-2.13239,-2.08103,-2.04797,0.0,0.0,0.0,1.33026,1.54319,1.88443,2.06086,3.37823,3.49783,3.96546,4.11124,5.23336,5.19947,5.23336,5.32438,3.54049,3.542,3.55368,3.59776,-9999,-9999
201702,6.516,0.0,246.814,135.488,0.0,285.491,0.0,4.092,0.0,101.41,0.0,1.56,0.0,3.59,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.1875,0.0,93.18,-9999,9.52194,0.0,14.7415,-9999,-2.05125,0.0,-9999,-2.13174,-2.08112,-2.04441,0.0,0.0,0.0,1.80503,1.93381,2.31335,2.58636,3.84944,4.00123,4.39474,4.57673,5.51135,5.47567,5.51135,5.60721,5.47919,5.47615,5.48959,5.54508,-9999,-9999
201703,6.324,0.0,328.675,174.805,0.0,286.58,0.0,4.304,0.0,101.969,0.0,3.719,0.0,4.078,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.91832,0.0,60.1973,0.0,83.8373,-9999,9.63112,0.0,13.4133,-9999,-2.0543,0.0,-9999,-2.1322,-2.08076,-2.04703,0.0,0.0,0.0,1.80668,1.92463,2.30001,2.57429,3.85456,3.99914,4.38441,4.56549,5.48566,5.45014,5.48566,5.58107,6.44724,6.44079,6.45542,6.5127,-9999,-9999
201704,15.183,0.0,407.809,208.802,0.0,338.515,0.0,6.15,0.0,101.477,0.0,3.123,0.0,3.276,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.8897,0.0,60.0992,0.0,83.7006,-9999,9.48844,0.0,13.2146,-9999,-2.05392,0.0,-9999,-2.13212,-2.08096,-2.04683,0.0,0.0,0.0,3.77617,3.76414,3.88621,4.54621,5.823,5.823,5.98214,6.35485,6.31981,6.27889,6.31981,6.42972,7.35242,7.34342,7.3581,7.42018,-9999,-9999
201705,16.988,0.00739247,462.814,212.378,0.00739247,352.112,0.00672043,6.633,0.00739247,101.09,0.0,5.58,0.00672043,3.229,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.93601,0.00672043,59.9212,0.0,74.1377,-9999,9.3155,0.0,11.5256,-9999,-2.05596,0.0,-9999,-2.13239,-2.08103,-2.04797,0.0,0.0,0.0,4.29136,4.25343,4.29136,4.99599,6.33933,6.32515,6.34526,6.78648,6.47343,6.43151,6.47343,6.58601,7.54005,7.53163,7.54768,7.61298,-9999,-9999
201706,23.742,0.992361,485.747,283.112,0.992361,374.964,0.992361,11.323,0.992361,101.238,0.476389,1.107,1.0,2.939,0.0493056,-9999,-9999,-9999,-9999,573.2812162971072,0.9847222222222224,18.782975405634414,0.9847222222222224,100.61371983551876,0.9875000000000002,-9999,-9999,437.51338466183574,0.9875000000000002,-9999,-9999,19.758,19.615,19.086,18.29,17.507,16.704,14.955,13.701,13.348,0.992361,0.992361,0.992361,0.992361,0.992361,0.992361,0.992361,0.992361,0.992361,22.058,20.894,18.429,34.776,-9999,31.525,31.435,-9999,0.552778,0.450694,0.6625,0.650694,-9999,0.359722,0.431944,-9999,5.12752,0.984722,60.0992,0.0,71.8463,-9999,9.48844,0.0,11.3431,-9999,-2.05392,0.0,-9999,-2.13212,-2.08096,-2.04683,0.0,0.0,0.0,6.68746,5.76687,6.69995,6.9247,8.7343,7.84784,8.62675,8.75694,6.99231,6.94704,6.99231,7.11392,9.32765,9.31294,9.32765,9.39978,-9999,-9999
201707,25.918,1.0,474.169,254.496,1.0,401.345,1.0,10.555,1.0,101.268,0.995968,6.317,1.0,2.804,0.965054,0.3305452896866981,0.9435483870967742,-9999,-9999,548.5085199158058,0.9737903225806452,17.382830986473408,0.9737903225806452,101.11699149781666,0.9979838709677421,-9999,-9999,449.0143290014224,0.9979838709677421,411.095,0.979167,22.525,22.419,21.967,21.226,20.446,19.557,17.385,15.618,14.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.845,20.419,17.808,34.587,-9999,31.301,31.888,-9999,0.0,0.0,0.0,0.0,-9999,0.0,0.0,-9999,5.59459,0.994624,73.0771,0.0,87.3609,-9999,12.7005,0.0,15.183,-9999,-1.76626,0.0,-9999,-2.22206,-1.74905,-1.73439,0.0,0.0,0.0,7.54896,6.27733,7.54896,7.6684,9.29801,8.4994,9.03478,9.33373,7.14964,7.10335,7.14964,7.27399,8.56502,8.55269,8.56755,8.63625,-9999,-9999
201708,23.519,1.0,429.594,223.883,1.0,388.628,0.998656,8.316,1.0,101.485,0.980511,4.942,1.0,2.63,0.952957,0.3125798697014729,0.9469086021505375,-9999,-9999,464.19787483794704,0.9973118279569891,14.901178201021887,0.9973118279569891,88.99552428887363,0.9973118279569891,-9999,-9999,435.9028465794208,0.9919354838709677,409.602,0.965726,21.615,21.626,21.454,20.992,20.688,20.16,18.551,16.954,16.303,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,20.555,20.458,17.716,34.563,-9999,31.263,30.668,-9999,0.0,0.0,0.0,0.0,-9999,0.0,0.0,-9999,2.92913,0.990591,68.0677,0.0,82.2268,-9999,11.9105,0.00134409,14.3881,-9999,-1.92331,0.0,-9999,-2.25312,-1.92218,-1.90488,0.0,0.0,0.0,6.55162,5.70304,6.56182,6.82986,8.46753,8.00141,8.46671,8.57446,6.98132,6.93612,6.98132,7.10274,7.71869,7.70876,7.72358,7.78782,-9999,-9999
201709,21.042,1.0,359.852,190.638,1.0,368.369,1.0,7.775,1.0,101.495,0.975694,1.983,1.0,2.809,0.956944,0.3146600469364548,0.9520833333333335,112.02561450945626,0.9979166666666667,392.3798564150992,0.9979166666666667,13.930248940024667,0.9979166666666667,69.91851391458526,0.9979166666666667,27.69820803782506,0.9979166666666667,420.9334103582074,0.9979166666666667,415.135,0.970139,19.272,19.358,19.318,18.993,18.987,18.748,18.008,17.142,16.742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.652,20.983,17.395,34.458,-9999,31.55,31.182,-9999,0.0,0.0,0.0,0.0,-9999,0.0,0.0,-9999,0.206756,0.997917,61.9139,0.498611,82.9001,0.949245,7.56242,0.5,10.1258,0.592995,-1.30476,0.278472,0.19375,-1.63896,-1.23813,-1.17861,0.0729167,0.278472,0.3,5.55866,5.14335,5.55866,5.95789,6.7968,6.77246,6.80919,6.95121,6.79266,6.74868,6.79266,6.9108,6.89048,6.8828,6.89749,6.95716,-9999,-9999
201710,17.423,1.0,277.275,143.21,1.0,342.75,1.0,6.054,1.0,101.746,0.983871,2.687,1.0,3.239,0.926747,0.4042372621673949,0.9092741935483871,63.62927253364566,0.9979838709677419,289.25831330881397,0.9979838709677419,12.877918140063464,0.9979838709677419,45.11761828205664,0.9979838709677419,22.06960667765808,0.9979838709677419,400.9941043612546,0.9979838709677419,415.514,0.613575,16.539,16.761,16.976,16.902,17.331,17.418,17.297,16.853,16.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.664,20.984,17.395,34.46,-9999,31.549,31.163,-9999,0.0,0.0,0.0,0.0,-9999,0.0,0.0,-9999,-2.68051,0.997312,42.7088,0.951613,57.1853,0.617351,5.95327,0.999328,7.97117,0.601282,-1.45956,0.602823,0.102113,-1.46504,-1.3294,-1.07333,0.602823,0.581317,0.606183,3.16826,3.16826,3.41082,3.73078,4.6333,4.60778,4.66235,4.79709,3.70761,3.41854,3.65365,3.7891,5.27422,5.20394,5.27422,5.99167,-9999,-9999
