TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,2.982,0.0,171.059,55.989,0.0,295.009,0.0,2.474,0.0,101.577,0.0,6.753,0.0,3.428,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.3111,0.0,72.1186,-9999,8.72255,0.0,10.6061,-9999,-2.06509,0.0,-9999,-2.13329,-2.08126,-2.05188,0.0,0.0,0.0,1.20469,1.43293,1.76154,1.91912,3.25657,3.36845,3.8428,3.98421,5.1489,5.11556,5.1489,5.23845,2.73919,2.74142,2.75164,2.78801,-9999,-9999
20170108,20170114,1.865,0.0,177.845,81.275,0.0,277.018,0.0,2.425,0.0,102.952,0.0,2.54,0.0,4.157,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.4524,0.0,73.5063,-9999,9.62245,0.0,11.7003,-9999,-2.04535,0.0,-9999,-2.13009,-2.08158,-2.03714,0.0,0.0,0.0,1.2192,1.3921,1.69882,1.85927,3.25634,3.30494,3.78041,3.89606,4.99397,4.96164,4.99397,5.08083,3.77587,3.77722,3.7894,3.83584,-9999,-9999
20170115,20170121,4.918,0.0,187.325,61.881,0.0,313.501,0.0,1.58,0.0,101.788,0.0,1.556,0.0,2.001,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.534,0.0,82.1618,-9999,10.1203,0.0,13.7362,-9999,-2.05879,0.0,-9999,-2.13247,-2.08005,-2.04586,0.0,0.0,0.0,1.41743,1.64507,2.00536,2.19707,3.4689,3.61697,4.0861,4.24351,5.3683,5.33354,5.3683,5.46167,3.09703,3.10016,3.1124,3.15484,-9999,-9999
20170122,20170128,5.93,0.0,199.302,85.733,0.0,295.097,0.0,3.072,0.0,100.233,0.0,4.059,0.0,4.739,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.3111,0.0,96.2076,-9999,8.72255,0.0,14.1487,-9999,-2.06509,0.0,-9999,-2.13329,-2.08126,-2.05188,0.0,0.0,0.0,1.58429,1.78822,2.16451,2.38953,3.63617,3.81519,4.24577,4.42371,5.47197,5.43654,5.47197,5.56714,3.88472,3.88561,3.89757,3.9443,-9999,-9999
20170129,20170204,2.502,0.0,213.518,112.571,0.0,263.722,0.0,3.522,0.0,101.584,0.0,0.698,0.0,2.863,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.4524,0.0,98.0588,-9999,9.62245,0.0,15.6084,-9999,-2.04535,0.0,-9999,-2.13009,-2.08158,-2.03714,0.0,0.0,0.0,1.0828,1.33895,1.66121,1.79259,3.11994,3.20753,3.74279,3.85601,5.10885,5.07577,5.10885,5.1977,4.79282,4.79164,4.80388,4.85668,-9999,-9999
20170205,20170211,6.034,0.0,229.66,126.234,0.0,287.125,0.0,4.074,0.0,101.254,0.0,2.926,0.0,4.253,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.534,0.0,85.2551,-9999,10.1203,0.0,14.2533,-9999,-2.05879,0.0,-9999,-2.13247,-2.08005,-2.04586,0.0,0.0,0.0,1.73793,1.87368,2.24574,2.5056,3.78941,3.93219,4.32579,4.50814,5.45916,5.42381,5.45916,5.55411,5.24925,5.24714,5.25962,5.31571,-9999,-9999
20170212,20170218,4.407,0.0,247.368,132.327,0.0,269.228,0.0,3.98,0.0,100.884,0.0,0.916,0.0,3.941,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.3111,0.0,71.7299,-9999,8.72255,0.0,10.5489,-9999,-2.06509,0.0,-9999,-2.13329,-2.08126,-2.05188,0.0,0.0,0.0,1.39028,1.60283,1.95372,2.14076,3.44216,3.58316,4.03498,4.19381,5.30598,5.27162,5.30598,5.39826,5.41007,5.40752,5.42045,5.47701,-9999,-9999
20170219,20170225,11.066,0.0,266.257,146.972,0.0,313.241,0.0,4.338,0.0,101.323,0.0,1.607,0.0,3.262,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.4524,0.0,78.6808,-9999,9.62245,0.0,12.5239,-9999,-2.04535,0.0,-9999,-2.13009,-2.08158,-2.03714,0.0,0.0,0.0,2.66158,2.66158,3.06865,3.51813,4.69872,4.90024,5.15024,5.39222,5.96178,5.92318,5.96178,6.06547,5.84834,5.84431,5.85925,5.91534,-9999,-9999
20170226,20170304,7.006,0.0,285.93,177.89,0.0,275.765,0.0,4.641,0.0,102.071,0.0,1.429,0.0,4.478,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.26825,0.0,60.534,0.0,79.9014,-9999,10.1203,0.0,13.3583,-9999,-2.05879,0.0,-9999,-2.13247,-2.08005,-2.04586,0.0,0.0,0.0,1.9121,2.01454,2.39993,2.69515,3.96358,4.11754,4.50452,4.67631,5.55784,5.52186,5.55784,5.65451,6.52381,6.51649,6.53032,6.58666,-9999,-9999
20170305,20170311,6.371,0.0,305.998,180.488,0.0,273.07,0.0,5.52,0.0,102.221,0.0,2.148,0.0,4.101,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.82035,0.0,59.3111,0.0,78.2873,-9999,8.72255,0.0,11.5133,-9999,-2.06509,0.0,-9999,-2.13329,-2.08126,-2.05188,0.0,0.0,0.0,1.85485,1.95288,2.32739,2.61261,3.90673,4.05636,4.42862,4.60349,5.48328,5.44777,5.48328,5.57865,6.4497,6.44211,6.45536,6.5104,-9999,-9999
