TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,8.795,0.0,219.167,59.023,0.0,316.392,0.0,2.945,0.0,89.604,0.0,9.024,0.0,3.355,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.70117,-9999,2.28404,-9999,-9999,-9999,75.6819,-9999,63.9947,-9999,-9999,-9999,0.182775,0.0,-9999,0.182775,0.186039,0.195223,0.0,0.0,0.0,0.0374122,0.035819,0.036596,0.0374122,-0.147199,-0.146179,-0.145703,-0.14502,0.0307856,0.0307856,0.0307856,0.0307856,0.0,0.0,0.0,0.0,-9999,-9999
20170102,8.756,0.0,219.77,153.408,0.0,271.303,0.0,6.108,0.0,90.246,0.0,0.0,0.0,1.911,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.20604,-9999,2.71095,-9999,-9999,-9999,52.7775,-9999,44.6274,-9999,-9999,-9999,0.188531,0.0,-9999,0.188531,0.191148,0.195442,0.0,0.0,0.0,0.0387604,0.0372391,0.0379811,0.0387604,-0.151525,-0.151292,-0.15055,-0.149771,0.0330681,0.0330681,0.0330681,0.0330681,0.0,0.0,0.0,0.0,-9999,-9999
20170103,11.222,0.0,220.427,144.995,0.0,301.642,0.0,7.926,0.0,90.429,0.0,0.0,0.0,1.391,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.79163,-9999,3.20962,-9999,-9999,-9999,54.5795,-9999,46.2016,-9999,-9999,-9999,0.199103,0.0,-9999,0.199103,0.200228,0.213264,0.0,0.0,0.0,0.0495307,0.0480282,0.0487627,0.0495307,-0.151305,-0.151075,-0.15034,-0.149572,0.0459292,0.0459292,0.0459292,0.0459292,0.0,0.0,0.0,0.0,-9999,-9999
20170104,13.83,0.0,221.14,153.876,0.0,295.722,0.0,9.176,0.0,90.286,0.0,0.0,0.0,1.912,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.70117,-9999,2.29031,-9999,-9999,-9999,75.6819,-9999,64.1703,-9999,-9999,-9999,0.182775,0.0,-9999,0.182775,0.186039,0.195223,0.0,0.0,0.0,0.0607318,0.05925,0.0599758,0.0607318,-0.123753,-0.122799,-0.122797,-0.122043,0.0593729,0.0593729,0.0593729,0.0593729,0.0,0.0,0.0,0.0,-9999,-9999
20170105,13.27,0.0,221.907,154.256,0.0,289.15,0.0,7.334,0.0,89.939,0.0,0.0,0.0,2.992,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.20604,-9999,2.72286,-9999,-9999,-9999,52.7775,-9999,44.8235,-9999,-9999,-9999,0.188531,0.0,-9999,0.188531,0.191148,0.195442,0.0,0.0,0.0,0.0583748,0.0568935,0.0576188,0.0583748,-0.131866,-0.131638,-0.130913,-0.130157,0.0566007,0.0566007,0.0566007,0.0566007,0.0,0.0,0.0,0.0,-9999,-9999
20170106,12.09,0.0,222.728,146.681,0.0,285.568,0.0,7.008,0.0,90.136,0.0,0.204,0.0,2.521,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.79163,-9999,3.25821,-9999,-9999,-9999,54.5795,-9999,46.901,-9999,-9999,-9999,0.199103,0.0,-9999,0.199103,0.200228,0.213264,0.0,0.0,0.0,0.0514806,0.0498798,0.0506629,0.0514806,-0.149469,-0.149223,-0.14844,-0.147622,0.0471981,0.0471981,0.0471981,0.0471981,0.0,0.0,0.0,0.0,-9999,-9999
20170107,11.676,0.0,223.603,148.885,0.0,279.923,0.0,9.065,0.0,90.817,0.0,0.0,0.0,1.89,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.70117,-9999,2.34714,-9999,-9999,-9999,75.6819,-9999,65.7627,-9999,-9999,-9999,0.182775,0.0,-9999,0.182775,0.186039,0.195223,0.0,0.0,0.0,0.0528296,0.0514195,0.0521088,0.0528296,-0.131572,-0.130666,-0.130335,-0.129945,0.0508352,0.0508352,0.0508352,0.0508352,0.0,0.0,0.0,0.0,-9999,-9999
20170108,15.301,0.0,224.532,153.769,0.0,310.937,0.0,11.443,0.0,91.028,0.0,0.084,0.0,1.777,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.20604,-9999,2.81669,-9999,-9999,-9999,52.7775,-9999,46.3681,-9999,-9999,-9999,0.188531,0.0,-9999,0.188531,0.191148,0.195442,0.0,0.0,0.0,0.0712205,0.0700442,0.0706205,0.0712205,-0.118669,-0.118487,-0.117911,-0.117311,0.0752049,0.0752049,0.0752049,0.0752049,0.0,0.0,0.0,0.0,-9999,-9999
20170109,16.567,0.0,225.512,106.895,0.0,323.809,0.0,11.459,0.0,90.633,0.0,0.0,0.0,3.031,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.79163,-9999,3.36765,-9999,-9999,-9999,54.5795,-9999,48.4764,-9999,-9999,-9999,0.199103,0.0,-9999,0.199103,0.200228,0.213264,0.0,0.0,0.0,0.0761321,0.0749098,0.0755097,0.0761321,-0.124382,-0.124193,-0.123593,-0.122971,0.0804047,0.0804047,0.0804047,0.0804047,0.0,0.0,0.0,0.0,-9999,-9999
20170110,15.138,0.0,226.545,144.845,0.0,297.109,0.0,12.259,0.0,90.313,0.0,0.0,0.0,2.038,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.70117,-9999,2.4262,-9999,-9999,-9999,75.6819,-9999,67.9776,-9999,-9999,-9999,0.182775,0.0,-9999,0.182775,0.186039,0.195223,0.0,0.0,0.0,0.0679015,0.0665284,0.0672017,0.0679015,-0.116459,-0.11559,-0.115573,-0.114873,0.0690165,0.0690165,0.0690165,0.0690165,0.0,0.0,0.0,0.0,-9999,-9999
