TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,10.909,0.0,235.697,142.4,0.0,288.455,0.0,7.76,0.0,90.26,0.0,1.63,0.0,2.623,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.21579,0.0,3.25351,-9999,61.4861,0.0,62.2074,-9999,0.189899,0.0,-9999,0.189899,0.190412,0.20129,0.0,0.0,0.0,0.0481377,0.0469744,0.0476966,0.0484526,-0.141446,-0.142924,-0.142202,-0.141446,0.0449657,0.0449657,0.0449657,0.0449657,0.0,0.0,0.0,0.0,-9999,-9999
201702,14.138,0.0,291.21,190.742,0.0,295.308,0.0,10.691,0.0,90.198,0.0,0.719,0.0,2.69,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.23198,0.0,3.35812,-9999,60.7188,0.0,63.0885,-9999,0.190079,0.0,-9999,0.190079,0.190662,0.201354,0.0,0.0,0.0,0.0634468,0.0623748,0.0630413,0.0637357,-0.126343,-0.127704,-0.127038,-0.126343,0.0642913,0.0642913,0.0642913,0.0642913,0.0,0.0,0.0,0.0,-9999,-9999
201703,19.025,0.0,362.079,263.183,0.0,302.537,0.0,18.599,0.0,90.288,0.0,0.118,0.0,2.777,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.25097,0.0,3.65038,-9999,60.8054,0.0,68.2759,-9999,0.190426,0.0,-9999,0.190426,0.191,0.20195,0.0,0.0,0.0,0.0928696,0.0921836,0.0926532,0.0928928,-0.0974022,-0.0981294,-0.0977723,-0.0975244,0.106113,0.106113,0.106113,0.106113,0.0,0.0,0.0,0.0,-9999,-9999
201704,20.713,0.0,425.592,317.716,0.0,302.086,0.0,21.674,0.0,89.988,0.0,0.033,0.0,3.016,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.23295,0.0,3.48938,-9999,61.013,0.0,65.8524,-9999,0.190136,0.0,-9999,0.190136,0.190692,0.201573,0.0,0.0,0.0,0.103696,0.102285,0.103339,0.103562,-0.0863443,-0.0870823,-0.0865745,-0.0864399,0.122007,0.122007,0.122007,0.122007,0.0,0.0,0.0,0.0,-9999,-9999
201705,23.514,0.0,465.802,340.582,0.0,318.594,0.0,25.733,0.0,89.91,0.0,0.158,0.0,3.123,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.21579,0.0,3.36682,-9999,61.4861,0.0,64.3738,-9999,0.189899,0.0,-9999,0.189899,0.190412,0.20129,0.0,0.0,0.0,0.124376,0.119607,0.124364,0.124455,-0.0655787,-0.0690319,-0.0655344,-0.0654435,0.154969,0.154969,0.154969,0.154969,0.0,0.0,0.0,0.0,-9999,-9999
201706,30.325,0.0,481.001,343.916,0.0,359.023,0.0,38.223,0.0,89.989,0.0,0.062,0.0,2.755,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.90201,0.0,3.23295,0.0,3.46494,-9999,61.013,0.0,65.3912,-9999,0.190136,0.0,-9999,0.190136,0.190692,0.201573,0.0,0.0,0.0,0.179881,0.17385,0.179771,0.180637,-0.0107887,-0.0150771,-0.0103649,-0.00949894,0.248249,0.248249,0.248249,0.248249,0.0,0.0,0.0,0.0,-9999,-9999
201707,27.735,0.0,472.655,265.604,0.0,401.248,0.0,19.639,0.0,90.346,0.0,3.997,0.0,1.993,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.83073,0.0,3.23208,0.0,4.03052,-9999,60.7473,0.0,75.7542,-9999,0.190085,0.0,-9999,0.190085,0.190665,0.201375,0.0,0.0,0.0,0.155343,0.149779,0.155287,0.155733,-0.0350172,-0.0391415,-0.034798,-0.0343511,0.203827,0.203827,0.203827,0.203827,0.0,0.0,0.0,0.0,-9999,-9999
201708,27.013,0.0107527,440.565,279.244,0.0107527,386.09,0.0107527,20.785,0.0107527,90.257,0.0094086,1.016,0.0094086,2.085,0.0094086,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.27036,0.0100806,3.24825,0.0,4.0507,-9999,61.9802,0.0107527,77.2917,0.747331,0.190009,0.0,-9999,0.190009,0.190584,0.201536,0.0,0.0,0.0,0.149057,0.143624,0.149012,0.149362,-0.0411681,-0.0451761,-0.0409965,-0.0406472,0.192833,0.192833,0.192833,0.192833,0.0,0.0,0.0,0.0,-9999,-9999
201709,26.26,1.0,386.421,252.741,1.0,357.607,1.0,23.954,1.0,90.027,0.968056,0.082,1.0,2.91,0.994444,0.27920182537032534,0.976388888888889,90.03995857744886,0.992361111111111,528.4785308934629,0.9944444444444446,65.65395077988488,0.9930555555555555,53.92054885736801,0.9944444444444446,46.63886451588035,0.99375,472.00425583307634,0.99375,404.005,0.992361,31.74,31.645,31.667,31.418,31.025,30.551,30.074,29.055,27.959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.176,-9999,-9999,-9999,-9999,-9999,4.956,1.109,0.0201389,-9999,-9999,-9999,-9999,-9999,0.000694444,0.000694444,1.76067,0.995833,4.33693,0.0,5.40831,-9999,71.0725,0.998611,88.6301,0.525411,0.182518,0.0,-9999,0.179622,0.182144,0.182757,0.0,0.0,0.0,0.144191,0.138903,0.144152,0.144462,-0.0387709,-0.0432407,-0.0386051,-0.0380561,0.185867,0.185867,0.185867,0.185867,0.0,0.0,0.0,0.0,-9999,-9999
201710,24.033,1.0,317.135,224.06,1.0,329.02,1.0,24.238,1.0,90.128,0.982527,0.013,0.436828,2.939,1.0,0.26556551889926705,0.9798387096774196,58.01014784946236,1.0,470.5869825268817,1.0,61.78499327956989,1.0,36.81639784946236,1.0,43.65475806451612,1.0,449.2971774193548,1.0,405.663,0.998656,28.387,28.211,28.401,28.195,28.19,28.332,28.178,27.947,27.428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.17,-9999,-9999,-9999,-9999,-9999,4.956,1.107,0.0,-9999,-9999,-9999,-9999,-9999,0.0,0.0,-1.35257,0.99664,4.09338,0.671371,3.96777,0.10539,51.6964,0.997312,50.11,0.555764,0.170261,0.640457,0.0034363,0.165,0.170261,0.171439,0.637769,0.640457,0.640457,0.108143,0.104772,0.10793,0.108143,-0.063393,-0.0665988,-0.0632535,-0.0629563,0.15332,0.149114,0.153028,0.153938,0.00157023,0.00157023,0.00165275,0.00173168,-9999,-9999
