TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,11.377,0.0,221.249,137.304,0.0,291.386,0.0,7.08,0.0,90.208,0.0,1.318,0.0,2.282,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.15698,0.0,3.75307,-9999,63.1085,0.0,75.0245,-9999,0.20251,0.0,-9999,0.189085,0.189783,0.200516,0.0,0.0,0.0,0.0495523,0.0483613,0.0491009,0.0498743,-0.140956,-0.14065,-0.139984,-0.13921,0.0462557,0.0462557,0.0462557,0.0462557,0.0,0.0,0.0,0.0,-9999,-9999
20170108,20170114,14.047,0.0,227.732,132.168,0.0,304.96,0.0,10.329,0.0,90.303,0.0,1.074,0.0,2.363,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.2291,0.0,3.52141,-9999,59.8365,0.0,65.2531,-9999,0.204163,0.0,-9999,0.189907,0.190648,0.200697,0.0,0.0,0.0,0.0626039,0.0615052,0.0621883,0.0628999,-0.128617,-0.128402,-0.127719,-0.127007,0.0629108,0.0629108,0.0629108,0.0629108,0.0,0.0,0.0,0.0,-9999,-9999
20170115,20170121,9.592,0.0,236.705,103.811,0.0,312.23,0.0,4.795,0.0,89.912,0.0,4.308,0.0,3.221,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.31276,0.0,3.58924,-9999,60.0939,0.0,65.1093,-9999,0.206212,0.0,-9999,0.191417,0.192054,0.203243,0.0,0.0,0.0,0.0406833,0.0394363,0.04021,0.0410215,-0.152223,-0.151778,-0.151207,-0.150396,0.0350939,0.0350939,0.0350939,0.0350939,0.0,0.0,0.0,0.0,-9999,-9999
20170122,20170128,8.087,0.0,247.93,174.177,0.0,258.463,0.0,6.907,0.0,90.415,0.0,0.518,0.0,2.716,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.15698,0.0,3.32701,-9999,63.1085,0.0,66.5074,-9999,0.20251,0.0,-9999,0.189085,0.189783,0.200516,0.0,0.0,0.0,0.036579,0.0354213,0.036139,0.0368938,-0.153888,-0.153099,-0.152946,-0.152191,0.0313664,0.0313664,0.0313664,0.0313664,0.0,0.0,0.0,0.0,-9999,-9999
20170129,20170204,13.15,0.0,261.103,193.402,0.0,266.948,0.0,12.623,0.0,90.549,0.0,0.0,0.0,2.072,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.2291,0.0,3.45803,-9999,59.8365,0.0,64.0786,-9999,0.204163,0.0,-9999,0.189907,0.190648,0.200697,0.0,0.0,0.0,0.05998,0.0589373,0.0595852,0.0602614,-0.131173,-0.13097,-0.130322,-0.129646,0.0605603,0.0605603,0.0605603,0.0605603,0.0,0.0,0.0,0.0,-9999,-9999
20170205,20170211,16.258,0.0,275.872,195.451,0.0,302.061,0.0,12.955,0.0,90.36,0.0,0.003,0.0,2.405,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.31276,0.0,3.58865,-9999,60.0939,0.0,65.0986,-9999,0.206212,0.0,-9999,0.191417,0.192054,0.203243,0.0,0.0,0.0,0.0754695,0.0745686,0.0751291,0.0757116,-0.117025,-0.116849,-0.116288,-0.115706,0.0808914,0.0808914,0.0808914,0.0808914,0.0,0.0,0.0,0.0,-9999,-9999
20170212,20170218,13.421,0.0,291.855,162.972,0.0,307.866,0.0,8.554,0.0,89.953,0.0,2.31,0.0,3.144,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.15698,0.0,3.53912,-9999,63.1085,0.0,70.7476,-9999,0.20251,0.0,-9999,0.189085,0.189783,0.200516,0.0,0.0,0.0,0.0582137,0.0570205,0.0577622,0.0585351,-0.132298,-0.132064,-0.131322,-0.13055,0.0564191,0.0564191,0.0564191,0.0564191,0.0,0.0,0.0,0.0,-9999,-9999
20170219,20170225,13.154,0.0,308.654,218.114,0.0,283.06,0.0,9.714,0.0,90.265,0.0,0.303,0.0,2.314,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.2291,0.0,3.67902,-9999,59.8365,0.0,68.1736,-9999,0.204163,0.0,-9999,0.189907,0.190648,0.200697,0.0,0.0,0.0,0.0588626,0.0577682,0.0584483,0.0591579,-0.132353,-0.132139,-0.131459,-0.130749,0.0585789,0.0585789,0.0585789,0.0585789,0.0,0.0,0.0,0.0,-9999,-9999
20170226,20170304,14.878,0.0,325.878,205.113,0.0,298.347,0.0,12.448,0.0,90.249,0.0,0.262,0.0,3.516,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.31276,0.0,3.91867,-9999,60.0939,0.0,71.0851,-9999,0.206212,0.0,-9999,0.191417,0.192054,0.203243,0.0,0.0,0.0,0.0668761,0.0658124,0.066474,0.0671621,-0.125813,-0.125605,-0.124943,-0.124255,0.0684069,0.0684069,0.0684069,0.0684069,0.0,0.0,0.0,0.0,-9999,-9999
20170305,20170311,18.602,0.0,343.157,245.457,0.0,299.482,0.0,18.361,0.0,90.358,0.0,0.0,0.0,2.363,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.15698,0.0,3.78055,-9999,63.1085,0.0,75.5738,-9999,0.20251,0.0,-9999,0.189085,0.189783,0.200516,0.0,0.0,0.0,0.0905224,0.089796,0.0902932,0.0905558,-0.0992887,-0.0991695,-0.0987915,-0.098477,0.102843,0.102843,0.102843,0.102843,0.0,0.0,0.0,0.0,-9999,-9999
