TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-5.604,0.0,121.253,57.251,0.0,258.728,0.0,0.935,0.0,95.791,0.0,0.079,0.0,2.343,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.2801,-9999,70.4344,-9999,-9999,-9999,34.3237,-9999,34.8956,-9999,-9999,-9999,-4.3417,0.0,-9999,-4.52102,-4.3417,-4.30173,0.0,0.0,0.0,1.45781,1.61959,1.99722,2.08664,6.15237,6.14062,6.26915,6.34425,1.92372,1.76051,1.85151,2.14373,0.575024,0.575024,0.575024,0.575024,-9999,-9999
20170102,-2.844,0.0,121.873,26.325,0.0,292.166,0.0,0.794,0.0,96.242,0.0,1.289,0.0,2.775,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44.8905,-9999,45.2267,-9999,-9999,-9999,13.5412,-9999,13.4795,-9999,-9999,-9999,-1.99131,0.0,-9999,-2.08087,-1.99131,-1.9225,0.0,0.0,0.0,1.84234,2.02904,2.38688,2.48483,3.96934,4.1099,4.29781,4.5028,2.28123,2.11376,2.20638,2.5064,0.269025,0.269025,0.269025,0.269025,-9999,-9999
20170103,-4.722,0.0,122.552,26.379,0.0,285.577,0.0,0.602,0.0,95.351,0.0,0.485,0.0,2.658,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.6144,-9999,60.9736,-9999,-9999,-9999,11.946,-9999,11.8729,-9999,-9999,-9999,-2.47046,0.0,-9999,-2.58465,-2.47046,-2.34625,0.0,0.0,0.0,1.64189,1.81105,2.15451,2.23875,4.3162,4.36082,4.50586,4.6963,2.06402,1.90542,1.99329,2.27847,0.26943,0.26943,0.26943,0.26943,-9999,-9999
20170104,-19.223,0.0,123.29,76.086,0.0,185.409,0.0,0.375,0.0,95.474,0.0,0.116,0.0,4.052,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.2801,-9999,69.4526,-9999,-9999,-9999,34.3237,-9999,33.9957,-9999,-9999,-9999,-4.3417,0.0,-9999,-4.52102,-4.3417,-4.30173,0.0,0.0,0.0,0.229378,0.272827,0.45577,0.487178,4.92394,4.74562,4.79329,4.81568,0.498831,0.414085,0.461986,0.61782,0.754717,0.754717,0.754717,0.754717,-9999,-9999
20170105,-22.157,0.0,124.086,80.848,0.0,165.239,0.0,0.364,0.0,95.61,0.0,0.024,0.0,2.734,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44.8905,-9999,44.5066,-9999,-9999,-9999,13.5412,-9999,13.2623,-9999,-9999,-9999,-1.99131,0.0,-9999,-2.08087,-1.99131,-1.9225,0.0,0.0,0.0,0.119296,0.145195,0.269244,0.294199,2.24629,2.21654,2.22927,2.26372,0.307667,0.246942,0.281176,0.396142,0.80069,0.80069,0.80069,0.80069,-9999,-9999
20170106,-21.55,0.0,124.941,84.307,0.0,161.713,0.0,0.395,0.0,96.227,0.0,0.002,0.0,2.172,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.6144,-9999,59.4269,-9999,-9999,-9999,11.946,-9999,11.5681,-9999,-9999,-9999,-2.47046,0.0,-9999,-2.58465,-2.47046,-2.34625,0.0,0.0,0.0,0.158248,0.189476,0.328619,0.353502,2.83255,2.70164,2.75332,2.80643,0.36509,0.298985,0.336279,0.459862,0.83354,0.83354,0.83354,0.83354,-9999,-9999
20170107,-19.331,0.0,125.854,81.565,0.0,169.057,0.0,0.435,0.0,97.067,0.0,0.026,0.0,3.085,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.2801,-9999,67.0882,-9999,-9999,-9999,34.3237,-9999,32.8243,-9999,-9999,-9999,-4.3417,0.0,-9999,-4.52102,-4.3417,-4.30173,0.0,0.0,0.0,0.234732,0.278268,0.458719,0.489553,4.92929,4.74863,4.7956,4.81992,0.500296,0.416612,0.463898,0.617696,0.807468,0.807468,0.807468,0.807468,-9999,-9999
20170108,-16.613,0.0,126.825,72.716,0.0,207.316,0.0,0.549,0.0,97.233,0.0,0.808,0.0,2.469,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44.8905,-9999,43.1191,-9999,-9999,-9999,13.5412,-9999,12.8438,-9999,-9999,-9999,-1.99131,0.0,-9999,-2.08087,-1.99131,-1.9225,0.0,0.0,0.0,0.425591,0.491569,0.718336,0.759278,2.55259,2.61475,2.6527,2.7134,0.753364,0.649878,0.708298,0.893899,0.722872,0.722872,0.722872,0.722872,-9999,-9999
20170109,-8.587,0.0,127.854,45.087,0.0,261.002,0.0,0.522,0.0,96.033,0.0,1.797,0.0,2.516,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.6144,-9999,58.6837,-9999,-9999,-9999,11.946,-9999,11.4216,-9999,-9999,-9999,-2.47046,0.0,-9999,-2.58465,-2.47046,-2.34625,0.0,0.0,0.0,1.08529,1.21933,1.55355,1.68554,3.7596,3.83613,3.9491,4.015,1.55383,1.39969,1.48621,1.76298,0.456022,0.456022,0.456022,0.456022,-9999,-9999
20170110,-5.262,0.0,128.941,9.849,0.0,282.578,0.0,0.533,0.0,94.057,0.0,12.155,0.0,3.643,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.2801,-9999,67.6003,-9999,-9999,-9999,34.3237,-9999,33.078,-9999,-9999,-9999,-4.3417,0.0,-9999,-4.52102,-4.3417,-4.30173,0.0,0.0,0.0,1.52365,1.68841,2.05552,2.14336,6.21821,6.20944,6.32598,6.42359,1.97603,1.81404,1.90418,2.19456,0.101629,0.101629,0.101629,0.101629,-9999,-9999
