TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-13.633,0.0,123.407,61.823,0.0,216.841,0.0,0.557,0.0,95.966,0.0,0.289,0.0,2.831,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.8357,0.0,73.6251,-9999,21.9922,0.0,27.0604,-9999,-3.238,0.0,-9999,-3.27059,-3.13552,-3.06324,0.0,0.0,0.0,0.811957,0.906491,1.13472,1.23057,4.19571,4.19571,4.23749,4.28832,1.13441,1.02233,1.08493,1.29031,0.615699,0.615699,0.615699,0.615699,-9999,-9999
20170108,20170114,-12.95,0.0,130.198,59.361,0.0,226.383,0.0,0.569,0.0,96.285,0.0,2.521,0.0,2.484,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.3515,0.0,61.5939,-9999,19.0233,0.0,20.793,-9999,-2.89018,0.0,-9999,-2.92199,-2.79975,-2.72335,0.0,0.0,0.0,0.730249,0.82669,1.09929,1.18998,3.74721,3.77948,3.86049,3.91138,1.11727,0.991468,1.06222,1.28883,0.589959,0.589959,0.589959,0.589959,-9999,-9999
20170115,20170121,-1.874,0.0,139.78,58.592,0.0,277.019,0.0,0.877,0.0,95.545,0.0,1.637,0.0,2.054,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58.5978,0.0,64.0491,-9999,18.7954,0.0,20.544,-9999,-2.95886,0.0,-9999,-2.99396,-2.8682,-2.78389,0.0,0.0,0.0,2.03712,2.2314,2.55301,2.7166,5.13226,5.20838,5.3369,5.52563,2.42958,2.26675,2.35618,2.64927,0.582863,0.582863,0.582863,0.582863,-9999,-9999
20170122,20170128,-1.529,0.0,152.021,45.389,0.0,294.712,0.0,0.803,0.0,94.968,0.0,0.474,0.0,2.243,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.8357,0.0,58.017,-9999,21.9922,0.0,21.3238,-9999,-3.238,0.0,-9999,-3.27059,-3.13552,-3.06324,0.0,0.0,0.0,2.04882,2.24663,2.58252,2.73819,5.43258,5.50091,5.64577,5.82512,2.45905,2.29211,2.38393,2.6837,0.45815,0.45815,0.45815,0.45815,-9999,-9999
20170129,20170204,-10.961,0.0,166.729,85.467,0.0,221.553,0.0,0.699,0.0,95.691,0.0,0.783,0.0,2.92,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.3515,0.0,73.79,-9999,19.0233,0.0,24.9102,-9999,-2.89018,0.0,-9999,-2.92199,-2.79975,-2.72335,0.0,0.0,0.0,0.887107,0.999953,1.29986,1.41575,3.90407,3.94705,4.04967,4.08036,1.30993,1.17141,1.24924,1.49921,0.843379,0.843379,0.843379,0.843379,-9999,-9999
20170205,20170211,-7.496,0.0,183.65,92.703,0.0,251.615,0.0,0.948,0.0,95.38,0.0,0.832,0.0,2.508,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58.5978,0.0,66.838,-9999,18.7954,0.0,21.4385,-9999,-2.95886,0.0,-9999,-2.99396,-2.8682,-2.78389,0.0,0.0,0.0,1.30481,1.44895,1.79127,1.87461,4.39996,4.43697,4.56945,4.67487,1.72822,1.57837,1.66188,1.93198,0.911884,0.911884,0.911884,0.911884,-9999,-9999
20170212,20170218,-1.458,0.0,202.473,115.419,0.0,258.999,0.0,1.815,0.0,95.271,0.0,0.331,0.0,3.229,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.8357,0.0,68.2501,-9999,21.9922,0.0,25.0849,-9999,-3.238,0.0,-9999,-3.27059,-3.13552,-3.06324,0.0,0.0,0.0,2.10191,2.2985,2.60916,2.79335,5.48566,5.5308,5.67241,5.84061,2.48023,2.31821,2.40698,2.69929,1.12983,1.12983,1.12983,1.12983,-9999,-9999
20170219,20170225,1.295,0.0,222.842,98.14,0.0,288.669,0.0,1.812,0.0,95.291,0.0,4.144,0.0,3.053,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.3515,0.0,64.2759,-9999,19.0233,0.0,21.6984,-9999,-2.89018,0.0,-9999,-2.92199,-2.79975,-2.72335,0.0,0.0,0.0,2.55401,2.77226,3.02307,3.30566,5.57097,5.62085,5.74643,5.92554,2.85476,2.69656,2.78199,3.06977,0.965479,0.965479,0.965479,0.965479,-9999,-9999
20170226,20170304,-5.392,0.0,244.372,130.594,0.0,244.584,0.0,1.275,0.0,96.046,0.0,0.759,0.0,2.992,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58.5978,0.0,66.838,-9999,18.7954,0.0,21.4385,-9999,-2.95886,0.0,-9999,-2.99396,-2.8682,-2.78389,0.0,0.0,0.0,1.55155,1.71435,2.06029,2.14472,4.6467,4.70763,4.83745,4.99112,1.9773,1.82018,1.90738,2.19003,1.2671,1.2671,1.2671,1.2671,-9999,-9999
20170305,20170311,-3.313,0.0,266.668,141.772,0.0,249.866,0.0,1.821,0.0,95.82,0.0,0.875,0.0,4.43,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59.8357,0.0,82.137,-9999,21.9922,0.0,30.1889,-9999,-3.238,0.0,-9999,-3.27059,-3.13552,-3.06324,0.0,0.0,0.0,1.90496,2.08396,2.37913,2.53431,5.28871,5.30039,5.44237,5.59964,2.26509,2.11205,2.19599,2.47334,1.36701,1.36701,1.36701,1.36701,-9999,-9999
