ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.324801,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.290518,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.291516,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.319474,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.349764,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.401219,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.318934,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.278983,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.272163,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.30395,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.333941,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.374144,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,48.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.323319,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.272163,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.265349,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.295868,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.324046,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.358825,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,48.75,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.323319,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,38.75,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.276837,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,38.75,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.268672,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,38.75,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.301528,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,38.75,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.328765,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,38.75,2021
