TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,-5.736,0.0,121.361,56.899,0.0,256.729,0.0,0.922,0.0,95.874,0.0,0.078,0.0,2.722,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86.8846,-9999,57.3324,-9999,-9999,-9999,39.9837,-9999,26.3839,-9999,-9999,-9999,-4.56194,0.0,-9999,-4.58641,-4.5252,-4.37684,0.0,0.0,0.0,1.41817,1.05314,1.41817,1.54292,5.87249,5.61434,5.87383,5.95991,2.73995,2.71363,2.85631,2.95403,3.62514,3.34345,3.51936,3.62514,-9999,-9999
20170102,-2.951,0.0,121.981,26.163,0.0,289.758,0.0,0.776,0.0,96.322,0.0,1.27,0.0,3.224,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,68.4854,-9999,45.1914,-9999,-9999,-9999,28.0092,-9999,18.4823,-9999,-9999,-9999,-3.15292,0.0,-9999,-3.1643,-3.15292,-3.07459,0.0,0.0,0.0,1.70879,1.36948,1.70879,1.82339,4.79324,4.54014,4.79324,4.89456,2.96886,2.94034,3.09495,3.20636,2.10649,1.89684,2.03179,2.10649,-9999,-9999
20170103,-4.846,0.0,122.66,26.217,0.0,283.249,0.0,0.578,0.0,95.438,0.0,0.477,0.0,3.088,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117.395,-9999,89.4074,-9999,-9999,-9999,36.3848,-9999,27.7105,-9999,-9999,-9999,-3.30224,0.0,-9999,-3.39831,-3.30224,-3.26807,0.0,0.0,0.0,1.53834,1.21522,1.53834,1.65103,4.80951,4.74356,4.84058,4.91964,2.79581,2.76895,2.91455,3.01896,2.09626,1.88887,2.02224,2.09626,-9999,-9999
20170104,-19.483,0.0,123.398,75.618,0.0,184.308,0.0,0.344,0.0,95.559,0.0,0.115,0.0,4.707,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86.8846,-9999,73.0454,-9999,-9999,-9999,39.9837,-9999,29.9995,-9999,-9999,-9999,-4.56194,0.0,-9999,-4.58641,-4.5252,-4.37684,0.0,0.0,0.0,0.320987,0.130612,0.320987,0.389708,4.77531,4.65581,4.77531,4.88292,1.44145,1.40801,1.49981,1.55408,4.21618,3.93055,4.10333,4.21618,-9999,-9999
20170105,-22.445,0.0,124.194,80.35,0.0,164.385,0.0,0.333,0.0,95.695,0.0,0.024,0.0,3.176,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,68.4854,-9999,61.9119,-9999,-9999,-9999,28.0092,-9999,20.6861,-9999,-9999,-9999,-3.15292,0.0,-9999,-3.1643,-3.15292,-3.07459,0.0,0.0,0.0,0.188066,0.062366,0.188066,0.23635,3.27252,3.23302,3.28447,3.34099,1.13857,1.11215,1.18467,1.22753,4.39881,4.10764,4.28249,4.39881,-9999,-9999
20170106,-21.832,0.0,125.049,83.788,0.0,160.903,0.0,0.365,0.0,96.307,0.0,0.002,0.0,2.524,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117.395,-9999,110.494,-9999,-9999,-9999,36.3848,-9999,28.7728,-9999,-9999,-9999,-3.30224,0.0,-9999,-3.39831,-3.30224,-3.26807,0.0,0.0,0.0,0.230061,0.088151,0.230061,0.283085,3.50123,3.53107,3.55171,3.60201,1.20244,1.17455,1.25113,1.29639,4.50995,4.21694,4.39182,4.50995,-9999,-9999
20170107,-19.592,0.0,125.962,81.063,0.0,168.157,0.0,0.406,0.0,97.141,0.0,0.026,0.0,3.584,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86.8846,-9999,86.9381,-9999,-9999,-9999,39.9837,-9999,33.9938,-9999,-9999,-9999,-4.56194,0.0,-9999,-4.58641,-4.5252,-4.37684,0.0,0.0,0.0,0.323371,0.135444,0.323371,0.391271,4.77769,4.66065,4.77769,4.88531,1.42955,1.39638,1.48743,1.54124,4.42502,4.1326,4.3081,4.42502,-9999,-9999
20170108,-16.849,0.0,126.933,72.268,0.0,205.947,0.0,0.524,0.0,97.306,0.0,0.796,0.0,2.868,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,68.4854,-9999,72.5956,-9999,-9999,-9999,28.0092,-9999,25.4768,-9999,-9999,-9999,-3.15292,0.0,-9999,-3.1643,-3.15292,-3.07459,0.0,0.0,0.0,0.512287,0.269794,0.512287,0.597754,3.59674,3.42071,3.61169,3.66521,1.70107,1.66161,1.76994,1.83398,4.12723,3.83995,4.01518,4.12723,-9999,-9999
20170109,-8.747,0.0,127.962,44.809,0.0,258.975,0.0,0.496,0.0,96.114,0.0,1.771,0.0,2.923,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117.395,-9999,124.152,-9999,-9999,-9999,36.3848,-9999,33.0058,-9999,-9999,-9999,-3.30224,0.0,-9999,-3.39831,-3.30224,-3.26807,0.0,0.0,0.0,1.12199,0.755204,1.12199,1.25134,4.39315,4.31772,4.42108,4.48425,2.47966,2.42213,2.58005,2.6734,3.11617,2.85029,3.017,3.11617,-9999,-9999
20170110,-5.391,0.0,129.049,9.788,0.0,280.287,0.0,0.507,0.0,94.152,0.0,11.976,0.0,4.233,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86.8846,-9999,91.6721,-9999,-9999,-9999,39.9837,-9999,36.1723,-9999,-9999,-9999,-4.56194,0.0,-9999,-4.58641,-4.5252,-4.37684,0.0,0.0,0.0,1.4625,1.1103,1.4625,1.58339,5.91682,5.65812,5.91742,5.99944,2.76327,2.73673,2.88063,2.97918,0.924547,0.816402,0.887517,0.924547,-9999,-9999
20170111,-14.727,0.0,130.193,20.365,0.0,237.718,0.0,0.404,0.0,95.297,0.0,2.81,0.0,2.652,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,68.4854,-9999,72.0909,-9999,-9999,-9999,28.0092,-9999,25.2704,-9999,-9999,-9999,-3.15292,0.0,-9999,-3.1643,-3.15292,-3.07459,0.0,0.0,0.0,0.618621,0.326308,0.618621,0.719271,3.70307,3.4648,3.70307,3.77154,1.91918,1.87465,1.99688,2.06913,1.7622,1.57372,1.6963,1.7622,-9999,-9999
