TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,-7.81,0.0,138.963,57.067,0.0,250.977,0.0,0.68,0.0,95.705,0.0,1.244,0.0,2.793,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.7914,0.0,121.675,-9999,34.96,0.0,46.8521,-9999,-3.70106,0.0,-9999,-3.77903,-3.70106,-3.59909,0.0,0.0,0.0,1.30227,1.01217,1.30227,1.40763,4.96349,4.77361,4.9619,5.00047,2.51793,2.49374,2.61987,2.71466,3.35567,3.19227,3.35567,3.45392,-9999,-9999
201702,-3.987,0.0,202.159,102.151,0.0,255.499,0.0,1.406,0.0,95.537,0.0,1.384,0.0,3.449,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.1203,0.0,116.187,-9999,34.5503,0.0,44.5437,-9999,-3.65381,0.0,-9999,-3.73112,-3.65381,-3.55536,0.0,0.0,0.0,1.64756,1.37014,1.64756,1.75013,5.26104,5.07997,5.26104,5.30138,2.84874,2.82137,2.96973,3.07662,5.07078,4.87842,5.07078,5.20486,-9999,-9999
201703,-2.186,0.0,292.641,142.787,0.0,257.701,0.0,2.066,0.0,96.386,0.0,1.048,0.0,3.354,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.7756,0.0,117.487,-9999,34.8439,0.0,44.6057,-9999,-3.66043,0.0,-9999,-3.74557,-3.66043,-3.56333,0.0,0.0,0.0,1.82714,1.56335,1.82714,1.92748,5.44497,5.29412,5.44497,5.48756,2.9991,2.97029,3.12647,3.23901,6.19929,6.00291,6.19929,6.35333,-9999,-9999
201704,7.158,0.0,385.81,155.773,0.0,305.432,0.0,4.07,0.0,95.866,0.0,3.803,0.0,3.08,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.9216,0.0,115.672,-9999,34.7925,0.0,44.2635,-9999,-3.67237,0.0,-9999,-3.75404,-3.67237,-3.57317,0.0,0.0,0.0,2.85857,2.80641,2.85948,2.90321,6.43803,6.46188,6.53093,6.57362,3.68732,3.6519,3.91707,3.98229,6.68857,6.46662,6.68857,6.85612,-9999,-9999
201705,11.071,0.0,455.103,199.508,0.0,318.454,0.0,5.016,0.0,95.603,0.0,3.865,0.0,2.878,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.79575,0.0,90.7914,0.0,124.426,-9999,34.96,0.0,47.9113,-9999,-3.70106,0.0,-9999,-3.77903,-3.70106,-3.59909,0.0,0.0,0.0,3.31684,3.29891,3.31684,3.47508,6.89136,6.89357,7.0179,7.22822,3.93726,3.89944,4.20399,4.31871,8.14218,7.89772,8.14218,8.33846,-9999,-9999
201706,17.576,0.0,485.812,237.954,0.0,346.82,0.0,6.723,0.0,95.619,0.0,3.296,0.0,2.791,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.67148,0.0,90.9216,0.0,115.408,-9999,34.7925,0.0,44.1626,-9999,-3.67237,0.0,-9999,-3.75404,-3.67237,-3.57317,0.0,0.0,0.0,4.08228,3.9948,4.08228,4.49616,7.57082,7.57082,7.75465,8.20371,4.31275,4.27132,4.60492,4.74172,9.17856,8.90315,9.17856,9.30051,-9999,-9999
201707,19.334,0.00873656,470.982,241.979,0.00873656,357.903,0.00873656,6.334,0.00873656,96.141,0.00806452,2.568,0.00806452,2.212,0.00806452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.87708,0.00873656,92.8539,0.00806452,115.598,1.53978,34.6932,0.00873656,43.1913,0.858616,-3.65057,0.00806452,0.107236,-3.7423,-3.65057,-3.54746,0.00806452,0.00806452,0.00806452,4.28856,4.18334,4.28856,4.72944,7.73375,7.75058,7.93913,8.4568,4.40693,4.3646,4.70548,4.84527,9.23347,8.97935,9.2339,9.39802,-9999,-9999
201708,16.461,1.0,414.133,195.711,1.0,352.025,1.0,4.776,1.0,96.139,0.975134,3.826,1.0,2.562,0.954973,0.37930218805860133,0.9516129032258065,118.50784946236561,1.0,408.17245694266154,0.6081989247311828,15.630538635323722,0.9993279569892473,93.42586584146038,0.9966397849462366,33.01968413978495,1.0,399.8278897849463,1.0,400.467,0.983871,16.028,15.983,15.906,15.704,15.236,15.301,14.649,13.759,12.768,0.999328,0.999328,1.0,1.0,1.0,0.998656,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.62142,0.995296,67.4062,0.993952,83.9172,0.849075,25.5451,0.993952,31.8023,0.599335,-3.50004,0.538978,0.0841734,-3.57674,-3.49966,-3.43612,0.532258,0.538978,0.541667,4.43427,4.34538,4.39037,4.43427,7.94037,7.8042,7.93393,7.94999,2.37901,2.15397,2.78478,4.15783,6.60762,6.51581,6.77474,7.40382,-9999,-9999
201709,15.927,1.0,329.876,161.701,1.0,341.057,1.0,5.203,1.0,96.185,0.995833,1.268,1.0,2.857,0.965278,0.4390762679382123,0.9625,81.39509722222222,1.0,351.5947222222221,1.0,16.597770833333332,1.0,68.48284722222223,1.0,26.854833333333332,1.0,396.89916666666653,1.0,409.341,0.986806,15.163,15.152,15.032,14.882,14.5,14.596,14.054,13.418,12.734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.513,-9999,6.287,7.515,-9999,-9999,-9999,8.467,0.0,-9999,0.0,0.0,-9999,-9999,-9999,0.0,1.82323,0.995833,51.0026,0.997917,59.8807,0.646948,17.0343,0.999306,19.9995,0.564237,0.0992706,0.567361,0.0640433,0.123247,0.141744,0.174693,0.567361,0.567361,0.567361,4.41205,4.31404,4.40985,4.53583,4.28121,4.16524,4.2295,4.28121,1.84323,1.83095,1.93035,2.44137,3.07062,2.95486,3.07062,3.34644,-9999,-9999
201710,8.756,1.0,236.1,92.052,1.0,314.421,1.0,3.504,1.0,95.781,0.997984,4.263,0.927419,3.35,0.885081,0.5187039387450598,0.8803763440860214,33.74526209677419,1.0,222.94956196581194,0.8306451612903226,13.684314516129033,1.0,45.67271505376345,1.0,13.830651881720431,1.0,359.95604838709676,1.0,415.287,0.986559,9.969,10.388,10.929,11.358,11.822,12.209,12.338,12.474,12.362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.161,-9999,5.576,5.795,-9999,-9999,-9999,7.872,0.0,-9999,0.0,0.0,-9999,-9999,-9999,0.0,-5.66848,0.998656,22.0774,0.997312,28.9574,0.359132,7.82832,0.998656,10.2678,0.480635,1.65347,0.0302419,0.108302,1.57031,1.66063,1.71654,0.0295699,0.031586,0.0322581,3.46909,3.20351,3.46909,4.38155,1.82021,1.63935,1.75254,2.65755,2.09862,1.97647,2.13584,2.36828,1.89021,1.87137,1.89625,1.9239,-9999,-9999
