TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-13.841,0.0,123.515,61.442,0.0,215.356,0.0,0.532,0.0,96.048,0.0,0.285,0.0,3.289,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.3449,0.0,70.7812,-9999,35.5341,0.0,27.8394,-9999,-3.79945,0.0,-9999,-3.8643,-3.79945,-3.68798,0.0,0.0,0.0,0.818255,0.579201,0.818255,0.911811,4.56244,4.44183,4.56454,4.6177,1.95952,1.91406,2.03885,2.11262,3.62541,3.35955,3.52412,3.62541,-9999,-9999
20170108,20170114,-13.151,0.0,130.307,58.995,0.0,224.78,0.0,0.544,0.0,96.365,0.0,2.483,0.0,2.886,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,87.7164,0.0,92.7769,-9999,33.8235,0.0,35.7748,-9999,-3.59816,0.0,-9999,-3.66236,-3.59816,-3.50194,0.0,0.0,0.0,0.790081,0.496304,0.790081,0.895728,4.3599,4.1579,4.31927,4.38824,2.05437,2.00671,2.13754,2.21488,3.4262,3.17682,3.33081,3.4262,-9999,-9999
20170115,20170121,-1.972,0.0,139.889,58.231,0.0,274.796,0.0,0.862,0.0,95.63,0.0,1.613,0.0,2.386,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94.7035,0.0,92.6949,-9999,35.02,0.0,34.2773,-9999,-3.61949,0.0,-9999,-3.70562,-3.61949,-3.52958,0.0,0.0,0.0,1.83555,1.54171,1.83555,1.94108,5.42413,5.26118,5.42413,5.45504,3.03146,3.00234,3.16021,3.27396,3.42127,3.16868,3.32527,3.42127,-9999,-9999
20170122,20170128,-1.623,0.0,152.13,45.11,0.0,292.273,0.0,0.785,0.0,95.057,0.0,0.467,0.0,2.606,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.3449,0.0,95.5202,-9999,35.5341,0.0,37.5697,-9999,-3.79945,0.0,-9999,-3.8643,-3.79945,-3.68798,0.0,0.0,0.0,1.85586,1.54484,1.85586,1.965,5.60409,5.38396,5.60409,5.65399,3.07053,3.04103,3.20094,3.31616,3.09508,2.83132,2.99689,3.09508,-9999,-9999
20170129,20170204,-11.144,0.0,166.837,84.94,0.0,220.009,0.0,0.678,0.0,95.775,0.0,0.772,0.0,3.392,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,87.7164,0.0,91.9204,-9999,33.8235,0.0,35.4445,-9999,-3.59816,0.0,-9999,-3.66236,-3.59816,-3.50194,0.0,0.0,0.0,0.93625,0.611287,0.93625,1.05332,4.51052,4.26136,4.46544,4.53441,2.24788,2.19573,2.33889,2.42352,4.57704,4.27159,4.45538,4.57704,-9999,-9999
20170205,20170211,-7.646,0.0,183.757,92.133,0.0,249.703,0.0,0.935,0.0,95.466,0.0,0.819,0.0,2.913,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94.7035,0.0,99.2423,-9999,35.02,0.0,36.6984,-9999,-3.61949,0.0,-9999,-3.70562,-3.61949,-3.52958,0.0,0.0,0.0,1.27003,0.945222,1.27003,1.38621,4.86958,4.67258,4.82811,4.90073,2.55264,2.52812,2.65599,2.75209,4.8168,4.50536,4.69081,4.8168,-9999,-9999
20170212,20170218,-1.551,0.0,202.578,114.709,0.0,256.997,0.0,1.829,0.0,95.358,0.0,0.326,0.0,3.751,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.3449,0.0,89.0087,-9999,35.5341,0.0,35.0086,-9999,-3.79945,0.0,-9999,-3.8643,-3.79945,-3.68798,0.0,0.0,0.0,1.8779,1.59987,1.8779,1.98121,5.62142,5.4224,5.62142,5.67326,3.06153,3.03213,3.19156,3.30644,5.66032,5.32277,5.51813,5.66032,-9999,-9999
20170219,20170225,1.228,0.0,222.944,97.535,0.0,286.304,0.0,1.826,0.0,95.377,0.0,4.083,0.0,3.547,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,87.7164,0.0,91.4852,-9999,33.8235,0.0,35.2767,-9999,-3.59816,0.0,-9999,-3.66236,-3.59816,-3.50194,0.0,0.0,0.0,2.19009,1.99051,2.19009,2.27902,5.73284,5.59758,5.73284,5.78825,3.26584,3.23447,3.40455,3.5271,5.12035,4.7868,4.98589,5.12035,-9999,-9999
20170226,20170304,-5.523,0.0,244.471,129.789,0.0,242.759,0.0,1.272,0.0,96.127,0.0,0.748,0.0,3.476,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94.7035,0.0,103.638,-9999,35.02,0.0,38.3238,-9999,-3.61949,0.0,-9999,-3.70562,-3.61949,-3.52958,0.0,0.0,0.0,1.46824,1.14216,1.46824,1.58285,5.06607,4.86684,5.03195,5.09736,2.73888,2.71258,2.85521,2.95289,6.02254,5.67918,5.87431,6.02254,-9999,-9999
20170305,20170311,-3.423,0.0,266.763,140.899,0.0,247.976,0.0,1.835,0.0,95.903,0.0,0.862,0.0,5.146,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.3449,0.0,101.591,-9999,35.5341,0.0,39.9576,-9999,-3.79945,0.0,-9999,-3.8643,-3.79945,-3.68798,0.0,0.0,0.0,1.70922,1.44923,1.70922,1.80879,5.45197,5.28308,5.45197,5.50866,2.88973,2.86197,3.01246,3.1209,6.22628,5.88765,6.07627,6.22628,-9999,-9999
