TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,0.621,0.0,185.255,82.883,0.0,277.823,0.0,2.196,0.0,97.796,0.0,1.115,0.0,3.895,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.586,0.0,178.21,-9999,26.3678,0.0,37.1211,-9999,-2.48171,0.0,-9999,-2.93425,-2.48171,-2.3423,0.0,0.0,0.0,4.05519,3.52907,4.04794,4.05407,6.31007,6.32782,6.41684,6.5156,0.531925,0.240625,0.394521,0.891517,3.34191,2.81763,3.17502,3.46384,-9999,-9999
201702,6.733,0.0,245.823,136.32,0.0,286.346,0.0,4.593,0.0,97.617,0.0,0.586,0.0,4.049,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.24,0.0,169.277,-9999,26.2619,0.0,35.2149,-9999,-2.47845,0.0,-9999,-2.92869,-2.47845,-2.34032,0.0,0.0,0.0,5.43159,4.5637,5.42606,5.43074,7.67653,7.40741,7.671,7.83566,0.986099,0.418353,0.749447,1.49977,4.97721,4.30339,4.75691,5.17062,-9999,-9999
201703,9.319,0.0,327.901,151.785,0.0,312.514,0.0,5.618,0.0,97.984,0.0,3.311,0.0,4.608,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.264,0.0,155.904,-9999,26.8514,0.0,33.1548,-9999,-2.50445,0.0,-9999,-2.9293,-2.50445,-2.36708,0.0,0.0,0.0,6.03311,5.00922,6.02851,6.0324,8.30934,7.87901,8.30475,8.46293,1.20372,0.518275,0.930468,1.86217,5.42059,4.70411,5.18464,5.63285,-9999,-9999
201704,14.119,0.0,407.363,195.404,0.0,332.461,0.0,6.165,0.0,97.428,0.0,5.817,0.0,4.538,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.368,0.0,158.318,-9999,26.5015,0.0,33.2019,-9999,-2.48853,0.0,-9999,-2.93081,-2.48853,-2.35022,0.0,0.0,0.0,7.16987,5.83874,7.16742,7.1695,9.42902,8.77557,9.42656,9.57119,1.66769,0.737833,1.32473,2.43973,6.55404,5.77023,6.28963,6.80107,-9999,-9999
201705,18.311,0.0,462.689,245.328,0.0,344.407,0.0,8.449,0.0,97.339,0.0,4.83,0.0,3.989,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.110851,0.0,126.586,0.0,159.334,-9999,26.3678,0.0,33.1893,-9999,-2.48171,0.0,-9999,-2.93425,-2.48171,-2.3423,0.0,0.0,0.0,8.18014,6.55452,8.13164,8.18021,10.435,9.51874,10.435,10.5636,2.19644,1.00017,1.79585,3.3398,7.94489,7.05378,7.64742,8.25167,-9999,-9999
201706,23.768,0.0,485.794,278.977,0.0,377.068,0.0,10.888,0.0,97.463,0.0,3.02,0.0,3.785,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.125436,0.0,126.368,0.0,168.759,-9999,26.5015,0.0,35.3918,-9999,-2.48853,0.0,-9999,-2.93081,-2.48853,-2.35022,0.0,0.0,0.0,9.49021,7.46859,9.24971,9.49296,11.7494,10.4394,11.7382,11.8635,2.98392,1.40209,2.5177,4.23054,8.78645,7.85379,8.48919,9.13221,-9999,-9999
201707,26.402,0.00873656,474.144,281.312,0.00873656,398.1,0.00873656,12.067,0.00873656,97.75,0.00806452,1.987,0.00806452,2.987,0.00806452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0131809,0.00806452,126.763,0.00806452,181.913,2.0784,26.2522,0.00806452,37.6734,0.810849,-2.46311,0.00806452,0.228572,-2.93227,-2.46311,-2.32207,0.00806452,0.00806452,0.00806452,10.1155,7.89816,9.75136,10.1199,12.3472,10.8662,12.2145,12.4665,3.41528,1.62842,2.92423,4.49208,8.85173,7.91887,8.55669,8.92218,-9999,-9999
201708,22.59,1.0,429.296,250.153,1.0,373.226,1.0,8.509,1.0,97.749,0.992608,7.832,1.0,3.123,0.975806,0.3125770870628639,0.9684139784946236,160.05420179402117,0.9939516129032258,516.8634291733395,0.9952956989247311,21.093447456722334,0.9952956989247311,79.47983813772593,0.9952956989247311,39.60286397086861,0.9946236559139785,426.6273462403721,0.9952956989247311,403.569,0.992608,21.724,21.602,21.411,21.246,21.273,21.201,20.868,20.727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.288,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000672043,0.904527,0.997312,95.0387,0.991263,136.386,1.1382,16.1147,0.995296,23.1255,0.569424,-1.51392,0.960349,0.119066,-1.58554,-1.52702,-1.49117,0.948925,0.967742,0.967742,9.21928,9.10351,9.19881,9.25397,10.6859,10.6066,10.7072,10.806,9.16714,7.37849,9.16714,9.73223,10.4991,9.57585,10.5102,10.7483,-9999,-9999
201709,22.068,0.980556,359.221,201.684,0.978472,366.873,0.980556,9.805,0.980556,97.738,0.946528,2.798,1.0,3.624,0.948611,0.35996408980586375,0.9208333333333333,115.36351602035644,0.9361111111111112,439.1410736586494,0.7652777777777777,20.620556968855993,0.7652777777777777,67.94019125591942,0.9597222222222223,32.33352598159217,0.9361111111111112,422.3470538361105,0.9361111111111112,412.421,0.904167,20.715,20.605,20.477,20.448,20.46,20.442,20.17,20.076,0.981944,0.981944,0.981944,0.981944,0.981944,0.981944,0.981944,0.981944,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.581357,0.954167,76.4636,0.706944,102.786,0.8564,3.09141,0.769444,4.15562,0.474489,0.36002,0.624306,0.0728341,0.324361,0.36002,0.462738,0.628472,0.624306,0.620833,6.97261,6.9573,6.97961,7.20159,6.65113,6.60131,6.64811,6.73187,7.17966,4.02634,6.02977,7.17843,6.64035,5.187,6.0827,6.57344,-9999,-9999
201710,14.616,0.995968,276.372,139.153,0.995968,326.69,0.995968,6.727,0.995968,97.672,0.985887,3.957,1.0,4.719,0.926747,0.5263466780505346,0.9106182795698925,57.2099238160604,0.9926075268817204,296.1146137325555,0.993279569892473,17.315181708991076,0.993279569892473,41.96781848994857,0.9919354838709676,21.78365382635553,0.993279569892473,383.22667867764807,0.993279569892473,419.186,0.614919,15.813,16.034,16.582,17.111,17.532,17.887,17.93,18.092,0.999328,1.0,0.999328,0.999328,0.999328,0.999328,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000672043,-4.78604,0.987231,41.2762,0.984543,51.7373,0.597835,10.5797,0.99664,13.261,0.667247,0.877136,0.436156,0.0629425,0.837051,0.849662,0.866403,0.435484,0.436828,0.436156,3.88115,3.86812,3.87967,3.88876,3.01474,3.01474,3.02372,3.05041,3.92992,3.42409,3.46379,3.92981,3.26897,3.04343,3.0571,3.26825,-9999,-9999
