TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,20170107,-5.842,0.0,169.972,85.531,0.0,251.055,0.0,1.416,0.0,98.317,0.0,1.741,0.0,3.687,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,127.335,0.0,135.136,-9999,25.9097,0.0,27.4971,-9999,-2.75652,0.0,-9999,-2.94602,-2.45833,-2.31513,0.0,0.0,0.0,2.75216,2.49138,2.74494,2.75105,4.99243,5.09959,5.23379,5.35855,0.292756,0.131328,0.217675,0.459738,2.91052,2.87987,3.23531,3.52747,-9999,-9999
20170108,20170114,-0.474,0.0,176.761,81.805,0.0,270.123,0.0,2.522,0.0,98.263,0.0,0.117,0.0,4.48,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.859,0.0,151.747,-9999,25.5433,0.0,30.7974,-9999,-2.75909,0.0,-9999,-2.92231,-2.44822,-2.30733,0.0,0.0,0.0,3.78862,3.32933,3.78104,3.78746,5.99095,6.09341,6.14324,6.23118,0.479536,0.210739,0.346744,0.766801,2.84432,2.80286,3.1643,3.45334,-9999,-9999
20170115,20170121,4.409,0.0,186.248,54.732,0.0,314.733,0.0,1.391,0.0,97.295,0.0,2.929,0.0,2.81,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.909,0.0,156.995,-9999,28.0514,0.0,34.9769,-9999,-2.79001,0.0,-9999,-2.92411,-2.55902,-2.4249,0.0,0.0,0.0,4.85541,4.15556,4.84844,4.85434,7.19025,7.01757,7.18327,7.33894,0.732601,0.314989,0.514205,1.1535,1.99321,1.94532,2.22179,2.43038,-9999,-9999
20170122,20170128,2.31,0.0,198.237,100.16,0.0,274.111,0.0,2.529,0.0,97.353,0.0,0.15,0.0,4.747,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,127.335,0.0,173.187,-9999,25.9097,0.0,35.2395,-9999,-2.75652,0.0,-9999,-2.94602,-2.45833,-2.31513,0.0,0.0,0.0,4.37382,3.79202,4.3663,4.37266,6.61409,6.60657,6.72088,6.79208,0.590363,0.258435,0.424427,0.945295,3.39053,3.35783,3.76823,4.10765,-9999,-9999
20170129,20170204,2.046,0.0,212.47,125.248,0.0,261.109,0.0,3.617,0.0,98.294,0.0,0.02,0.0,3.952,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.859,0.0,175.709,-9999,25.5433,0.0,35.6606,-9999,-2.75909,0.0,-9999,-2.92231,-2.44822,-2.30733,0.0,0.0,0.0,4.32938,3.75127,4.32202,4.32825,6.5317,6.54492,6.63432,6.71706,0.601031,0.261161,0.42795,0.970288,4.03587,4.03344,4.47742,4.87053,-9999,-9999
20170205,20170211,4.683,0.0,228.635,116.917,0.0,290.162,0.0,3.332,0.0,97.445,0.0,0.154,0.0,3.816,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.909,0.0,177.285,-9999,28.0514,0.0,39.4974,-9999,-2.79001,0.0,-9999,-2.92411,-2.55902,-2.4249,0.0,0.0,0.0,4.96075,4.21238,4.95456,4.9598,7.29558,7.06738,7.28939,7.44506,0.849563,0.355407,0.615976,1.23257,3.82665,3.81226,4.24804,4.62449,-9999,-9999
20170212,20170218,8.386,0.0,246.374,150.813,0.0,279.173,0.0,6.202,0.0,97.738,0.0,0.106,0.0,3.737,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,127.335,0.0,167.498,-9999,25.9097,0.0,34.082,-9999,-2.75652,0.0,-9999,-2.94602,-2.45833,-2.31513,0.0,0.0,0.0,5.79973,4.84641,5.79448,5.79892,8.04,7.71275,8.02984,8.18595,1.10677,0.456424,0.818531,1.63801,4.66125,4.69135,5.16423,5.60881,-9999,-9999
20170219,20170225,10.013,0.0,265.303,128.85,0.0,305.727,0.0,4.854,0.0,97.186,0.0,1.722,0.0,4.248,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.859,0.0,174.967,-9999,25.5433,0.0,35.5099,-9999,-2.75909,0.0,-9999,-2.92231,-2.44822,-2.30733,0.0,0.0,0.0,6.20235,5.1309,6.19813,6.2017,8.40468,8.00139,8.40045,8.55876,1.30787,0.553165,0.993121,1.98761,4.07703,4.08243,4.52171,4.91709,-9999,-9999
20170226,20170304,8.408,0.0,285.023,182.343,0.0,279.981,0.0,6.052,0.0,97.972,0.0,0.375,0.0,5.021,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.909,0.0,168.114,-9999,28.0514,0.0,37.4542,-9999,-2.79001,0.0,-9999,-2.92411,-2.55902,-2.4249,0.0,0.0,0.0,5.81594,4.85226,5.81089,5.81516,8.15077,7.71127,8.14572,8.30139,1.13627,0.471561,0.84658,1.69419,5.37601,5.4535,5.94711,6.43054,-9999,-9999
20170305,20170311,8.844,0.0,305.147,149.547,0.0,301.408,0.0,6.14,0.0,98.052,0.0,2.017,0.0,5.432,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,127.335,0.0,163.419,-9999,25.9097,0.0,33.2521,-9999,-2.75652,0.0,-9999,-2.94602,-2.45833,-2.31513,0.0,0.0,0.0,5.91936,4.92646,5.91454,5.91862,8.15963,7.80705,8.14991,8.30602,1.18643,0.496113,0.890673,1.78249,4.60162,4.62707,5.0995,5.5404,-9999,-9999
